,name_short,Matrix short,Polarity,detectability,intensity,log10_intensity
0,2-Oxoglutaric acid,9AA,negative,1,65207.863,4.814306627793246
1,2-Oxoglutaric acid,9AA,positive,0,0.0,0.0
2,2-Oxoglutaric acid,CHCA,negative,1,1489.3842,3.173298237829419
3,2-Oxoglutaric acid,CHCA,positive,0,0.0,0.0
4,2-Oxoglutaric acid,CMBT,negative,1,879.0179,2.9444915060048995
5,2-Oxoglutaric acid,CMBT,positive,0,0.0,0.0
6,2-Oxoglutaric acid,ClCCA,negative,1,88.82836,1.9534134708215005
7,2-Oxoglutaric acid,ClCCA,positive,0,0.0,0.0
8,2-Oxoglutaric acid,DAN,negative,1,6752.459,3.829526267622287
9,2-Oxoglutaric acid,DAN,positive,0,0.0,0.0
10,2-Oxoglutaric acid,DHAP,negative,1,1492.5983,3.174233810631274
11,2-Oxoglutaric acid,DHAP,positive,0,0.0,0.0
12,2-Oxoglutaric acid,DHB,negative,1,930.48126,2.9691741219692886
13,2-Oxoglutaric acid,DHB,positive,0,0.0,0.0
14,2-Oxoglutaric acid,MAPS,negative,1,388.89798,2.590950985182533
15,2-Oxoglutaric acid,MAPS,positive,0,0.0,0.0
16,2-Oxoglutaric acid,NEDC,negative,0,0.0,0.0
17,2-Oxoglutaric acid,NEDC,positive,0,0.0,0.0
18,2-Oxoglutaric acid,NOR,negative,1,36786.184,4.565696544556646
19,2-Oxoglutaric acid,NOR,positive,0,0.0,0.0
20,2-Oxoglutaric acid,pNA,negative,1,6166.8667,3.7901349791674126
21,3-Hydroxyanthranilic acid,9AA,negative,1,5635.4595,3.751006390785782
22,3-Hydroxyanthranilic acid,9AA,positive,0,0.0,0.0
23,3-Hydroxyanthranilic acid,CHCA,negative,0,0.0,0.0
24,3-Hydroxyanthranilic acid,CHCA,positive,1,854.46674,2.932203129113515
25,3-Hydroxyanthranilic acid,CMBT,negative,0,0.0,0.0
26,3-Hydroxyanthranilic acid,CMBT,positive,0,0.0,0.0
27,3-Hydroxyanthranilic acid,ClCCA,negative,0,0.0,0.0
28,3-Hydroxyanthranilic acid,ClCCA,positive,1,129.4211,2.11534785882126
29,3-Hydroxyanthranilic acid,DAN,positive,0,0.0,0.0
30,3-Hydroxyanthranilic acid,DHAP,negative,0,0.0,0.0
31,3-Hydroxyanthranilic acid,DHAP,positive,1,23.555162,1.3901428036874959
32,3-Hydroxyanthranilic acid,DHB,negative,0,0.0,0.0
33,3-Hydroxyanthranilic acid,MAPS,negative,1,950.47253,2.9783962542713494
34,3-Hydroxyanthranilic acid,MAPS,positive,0,0.0,0.0
35,3-Hydroxyanthranilic acid,NEDC,negative,0,0.0,0.0
36,3-Hydroxyanthranilic acid,NEDC,positive,0,0.0,0.0
37,3-Hydroxyanthranilic acid,NOR,negative,0,0.0,0.0
38,3-Hydroxyanthranilic acid,NOR,positive,0,0.0,0.0
39,3-Hydroxyanthranilic acid,pNA,negative,0,0.0,0.0
40,3-Hydroxyanthranilic acid,pNA,positive,0,0.0,0.0
41,3-Hydroxymethylglutaric acid,9AA,negative,0,0.0,0.0
42,3-Hydroxymethylglutaric acid,9AA,positive,0,0.0,0.0
43,3-Hydroxymethylglutaric acid,CHCA,negative,0,0.0,0.0
44,3-Hydroxymethylglutaric acid,CHCA,positive,0,0.0,0.0
45,3-Hydroxymethylglutaric acid,CMBT,negative,1,2040.8381,3.3100213033414287
46,3-Hydroxymethylglutaric acid,CMBT,positive,1,44.459694,1.6576265080594594
47,3-Hydroxymethylglutaric acid,ClCCA,negative,1,579.8331,2.7640513575848473
48,3-Hydroxymethylglutaric acid,ClCCA,positive,1,838.8174,2.9241848684511247
49,3-Hydroxymethylglutaric acid,DAN,negative,0,0.0,0.0
50,3-Hydroxymethylglutaric acid,DAN,positive,0,0.0,0.0
51,3-Hydroxymethylglutaric acid,DHAP,negative,1,2897.0745,3.4621095455668427
52,3-Hydroxymethylglutaric acid,DHAP,positive,1,11.582249,1.0997582755283675
53,3-Hydroxymethylglutaric acid,DHB,negative,0,0.0,0.0
54,3-Hydroxymethylglutaric acid,DHB,positive,0,0.0,0.0
55,3-Hydroxymethylglutaric acid,MAPS,negative,1,4850.6377,3.685888362110946
56,3-Hydroxymethylglutaric acid,MAPS,positive,0,0.0,0.0
57,3-Hydroxymethylglutaric acid,NEDC,negative,1,352.04083,2.5478249354679043
58,3-Hydroxymethylglutaric acid,NEDC,positive,0,0.0,0.0
59,3-Hydroxymethylglutaric acid,NOR,negative,0,0.0,0.0
60,3-Hydroxymethylglutaric acid,NOR,positive,0,0.0,0.0
61,3-Hydroxymethylglutaric acid,pNA,negative,0,0.0,0.0
62,3-Hydroxymethylglutaric acid,pNA,positive,0,0.0,0.0
63,3-Phosphoglyceric acid,9AA,negative,1,146078.0,5.164587787189345
64,3-Phosphoglyceric acid,9AA,positive,0,0.0,0.0
65,3-Phosphoglyceric acid,CHCA,negative,1,1875.6426,3.273381570635653
66,3-Phosphoglyceric acid,CHCA,positive,1,296.45044,2.4734146156863686
67,3-Phosphoglyceric acid,CMBT,negative,0,0.0,0.0
68,3-Phosphoglyceric acid,CMBT,positive,0,0.0,0.0
69,3-Phosphoglyceric acid,ClCCA,negative,1,183.77728,2.2666485698211445
70,3-Phosphoglyceric acid,ClCCA,positive,1,52.880165,1.7314289170153094
71,3-Phosphoglyceric acid,DAN,negative,1,339.9789,2.5327275053940004
72,3-Phosphoglyceric acid,DAN,positive,0,0.0,0.0
73,3-Phosphoglyceric acid,DHAP,negative,1,87.839325,1.9486052501253226
74,3-Phosphoglyceric acid,DHAP,positive,0,0.0,0.0
75,3-Phosphoglyceric acid,DHB,negative,1,509.05933,2.7076206960841422
76,3-Phosphoglyceric acid,DHB,positive,1,18.55582,1.2912760311809517
77,3-Phosphoglyceric acid,MAPS,negative,0,0.0,0.0
78,3-Phosphoglyceric acid,MAPS,positive,0,0.0,0.0
79,3-Phosphoglyceric acid,NEDC,negative,1,54.33839,1.7430265197437271
80,3-Phosphoglyceric acid,NEDC,positive,0,0.0,0.0
81,3-Phosphoglyceric acid,NOR,negative,1,58597.375,4.767885572702078
82,3-Phosphoglyceric acid,NOR,positive,0,0.0,0.0
83,3-Phosphoglyceric acid,pNA,negative,1,141.76958,2.154635681911425
84,3-Phosphoglyceric acid,pNA,positive,0,0.0,0.0
85,"4,5-Dihydroorotic acid",9AA,negative,1,93481.85,4.970731944203777
86,"4,5-Dihydroorotic acid",9AA,positive,0,0.0,0.0
87,"4,5-Dihydroorotic acid",CHCA,negative,1,2834.2925,3.4525978690783834
88,"4,5-Dihydroorotic acid",CHCA,positive,1,252.09502,2.4032835998884097
89,"4,5-Dihydroorotic acid",CMBT,negative,1,128.98422,2.113890632438432
90,"4,5-Dihydroorotic acid",CMBT,positive,0,0.0,0.0
91,"4,5-Dihydroorotic acid",ClCCA,negative,1,104.67583,2.023975667553854
92,"4,5-Dihydroorotic acid",ClCCA,positive,1,29.125195,1.478929866774622
93,"4,5-Dihydroorotic acid",DAN,negative,1,4853.601,3.686153541016593
94,"4,5-Dihydroorotic acid",DAN,positive,0,0.0,0.0
95,"4,5-Dihydroorotic acid",DHAP,negative,1,388.35788,2.590348968568283
96,"4,5-Dihydroorotic acid",DHAP,positive,0,0.0,0.0
97,"4,5-Dihydroorotic acid",DHB,negative,1,747.35974,2.8741104154311916
98,"4,5-Dihydroorotic acid",DHB,positive,1,40.500538,1.6180537268064727
99,"4,5-Dihydroorotic acid",MAPS,negative,0,0.0,0.0
100,"4,5-Dihydroorotic acid",MAPS,positive,0,0.0,0.0
101,"4,5-Dihydroorotic acid",NEDC,negative,0,0.0,0.0
102,"4,5-Dihydroorotic acid",NEDC,positive,0,0.0,0.0
103,"4,5-Dihydroorotic acid",NOR,negative,1,19093.518,4.280908700018459
104,"4,5-Dihydroorotic acid",NOR,positive,0,0.0,0.0
105,"4,5-Dihydroorotic acid",pNA,negative,1,2257.4182,3.3538043650183007
106,"4,5-Dihydroorotic acid",pNA,positive,0,0.0,0.0
107,4-Hydroxyproline,9AA,negative,1,2332.6228,3.3680306592855205
108,4-Hydroxyproline,9AA,positive,0,0.0,0.0
109,4-Hydroxyproline,CHCA,negative,0,0.0,0.0
110,4-Hydroxyproline,CHCA,positive,1,27148.082,4.433755149244398
111,4-Hydroxyproline,CMBT,negative,0,0.0,0.0
112,4-Hydroxyproline,CMBT,positive,1,900.9108,2.95516358744949
113,4-Hydroxyproline,ClCCA,negative,0,0.0,0.0
114,4-Hydroxyproline,ClCCA,positive,1,3772.8613,3.576785934580487
115,4-Hydroxyproline,DAN,negative,1,4162.0317,3.619409717896785
116,4-Hydroxyproline,DAN,positive,1,350.61737,2.5460703212049687
117,4-Hydroxyproline,DHAP,negative,1,237.07237,2.376708995351015
118,4-Hydroxyproline,DHAP,positive,1,775.2833,2.8900202433888964
119,4-Hydroxyproline,DHB,negative,0,0.0,0.0
120,4-Hydroxyproline,DHB,positive,1,10469.678,4.019974804135893
121,4-Hydroxyproline,MAPS,negative,0,0.0,0.0
122,4-Hydroxyproline,MAPS,positive,0,0.0,0.0
123,4-Hydroxyproline,NEDC,negative,0,0.0,0.0
124,4-Hydroxyproline,NEDC,positive,0,0.0,0.0
125,4-Hydroxyproline,NOR,negative,1,1675.1226,3.2243057819291914
126,4-Hydroxyproline,NOR,positive,0,0.0,0.0
127,4-Hydroxyproline,pNA,negative,1,319.6381,2.5060151263669748
128,4-Hydroxyproline,pNA,positive,1,1520.3328,3.182224228776012
129,5-Hydroxyindoleacetic acid,9AA,negative,1,296.88385,2.4740469582468996
130,5-Hydroxyindoleacetic acid,9AA,positive,0,0.0,0.0
131,5-Hydroxyindoleacetic acid,CMBT,negative,0,0.0,0.0
132,5-Hydroxyindoleacetic acid,CMBT,positive,1,23.333462,1.3862039018011607
133,5-Hydroxyindoleacetic acid,ClCCA,negative,0,0.0,0.0
134,5-Hydroxyindoleacetic acid,ClCCA,positive,1,316.75818,2.502096739346063
135,5-Hydroxyindoleacetic acid,DAN,negative,1,6172.612,3.7905393314055487
136,5-Hydroxyindoleacetic acid,DAN,positive,0,0.0,0.0
137,5-Hydroxyindoleacetic acid,DHAP,negative,1,76.438995,1.888959708081503
138,5-Hydroxyindoleacetic acid,DHAP,positive,1,133.37004,2.128302446447499
139,5-Hydroxyindoleacetic acid,DHB,negative,0,0.0,0.0
140,5-Hydroxyindoleacetic acid,DHB,positive,1,808.4305,2.9081795649334024
141,5-Hydroxyindoleacetic acid,MAPS,negative,0,0.0,0.0
142,5-Hydroxyindoleacetic acid,MAPS,positive,0,0.0,0.0
143,5-Hydroxyindoleacetic acid,NEDC,negative,0,0.0,0.0
144,5-Hydroxyindoleacetic acid,NEDC,positive,0,0.0,0.0
145,5-Hydroxyindoleacetic acid,NOR,negative,0,0.0,0.0
146,5-Hydroxyindoleacetic acid,NOR,positive,0,0.0,0.0
147,5-Hydroxyindoleacetic acid,pNA,negative,0,0.0,0.0
148,5-Hydroxyindoleacetic acid,pNA,positive,0,0.0,0.0
149,6-Phosphogluconic acid,9AA,negative,1,102873.76,5.012308835041252
150,6-Phosphogluconic acid,9AA,positive,0,0.0,0.0
151,6-Phosphogluconic acid,CHCA,negative,1,872.72015,2.941372351658768
152,6-Phosphogluconic acid,CHCA,positive,1,33.364746,1.5361131382579967
153,6-Phosphogluconic acid,CMBT,negative,0,0.0,0.0
154,6-Phosphogluconic acid,CMBT,positive,0,0.0,0.0
155,6-Phosphogluconic acid,ClCCA,negative,1,41.54446,1.6288430156997347
156,6-Phosphogluconic acid,ClCCA,positive,0,0.0,0.0
157,6-Phosphogluconic acid,DAN,negative,0,0.0,0.0
158,6-Phosphogluconic acid,DAN,positive,0,0.0,0.0
159,6-Phosphogluconic acid,DHAP,negative,0,0.0,0.0
160,6-Phosphogluconic acid,DHAP,positive,0,0.0,0.0
161,6-Phosphogluconic acid,DHB,negative,1,271.84552,2.435916827258794
162,6-Phosphogluconic acid,DHB,positive,0,0.0,0.0
163,6-Phosphogluconic acid,MAPS,negative,0,0.0,0.0
164,6-Phosphogluconic acid,MAPS,positive,0,0.0,0.0
165,6-Phosphogluconic acid,NEDC,negative,0,0.0,0.0
166,6-Phosphogluconic acid,NEDC,positive,0,0.0,0.0
167,6-Phosphogluconic acid,NOR,negative,1,8021.8633,3.904329392406726
168,6-Phosphogluconic acid,NOR,positive,0,0.0,0.0
169,6-Phosphogluconic acid,pNA,negative,1,40.37429,1.6167305541740389
170,6-Phosphogluconic acid,pNA,positive,0,0.0,0.0
171,Acetoacetic acid,9AA,positive,0,0.0,0.0
172,Acetoacetic acid,CHCA,negative,0,0.0,0.0
173,Acetoacetic acid,CHCA,positive,0,0.0,0.0
174,Acetoacetic acid,CMBT,positive,0,0.0,0.0
175,Acetoacetic acid,ClCCA,negative,0,0.0,0.0
176,Acetoacetic acid,ClCCA,positive,0,0.0,0.0
177,Acetoacetic acid,DAN,positive,0,0.0,0.0
178,Acetoacetic acid,DHAP,positive,0,0.0,0.0
179,Acetoacetic acid,DHB,positive,0,0.0,0.0
180,Acetoacetic acid,MAPS,positive,0,0.0,0.0
181,Acetoacetic acid,NEDC,positive,0,0.0,0.0
182,Acetoacetic acid,pNA,positive,0,0.0,0.0
183,Acetyl-CoA,9AA,negative,1,204906.36,5.311557557961862
184,Acetyl-CoA,9AA,positive,0,0.0,0.0
185,Acetyl-CoA,CHCA,negative,1,9388.563,3.9726453802208543
186,Acetyl-CoA,CHCA,positive,1,1737.4437,3.2401606304951187
187,Acetyl-CoA,CMBT,negative,0,0.0,0.0
188,Acetyl-CoA,CMBT,positive,0,0.0,0.0
189,Acetyl-CoA,ClCCA,negative,1,496.38724,2.6966946396619615
