,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
0,9AA,negative,+Cl,2-Oxoglutaric acid,0,0.0
1,9AA,negative,+Cl,3-Hydroxyanthranilic acid,1,41.60611
2,9AA,negative,+Cl,3-Hydroxymethylglutaric acid,0,0.0
3,9AA,negative,+Cl,3-Phosphoglyceric acid,0,0.0
4,9AA,negative,+Cl,"4,5-Dihydroorotic acid",1,160.79555
5,9AA,negative,+Cl,4-Hydroxyproline,1,46.253326
6,9AA,negative,+Cl,5-Hydroxyindoleacetic acid,0,0.0
7,9AA,negative,+Cl,6-Phosphogluconic acid,0,0.0
8,9AA,negative,+Cl,Acetoacetic acid,0,0.0
9,9AA,negative,+Cl,Acetyl-CoA,0,0.0
10,9AA,negative,+Cl,Acetylcarnitine,0,0.0
11,9AA,negative,+Cl,Acetylcholine,0,0.0
12,9AA,negative,+Cl,Adenine,0,0.0
13,9AA,negative,+Cl,Adenosine diphosphate,0,0.0
14,9AA,negative,+Cl,Adenosine monophosphate,1,478.82788
15,9AA,negative,+Cl,Adenosine triphosphate,0,0.0
16,9AA,negative,+Cl,Agmatine,0,0.0
17,9AA,negative,+Cl,Arachidonic acid,0,0.0
18,9AA,negative,+Cl,Arginine,1,620.27826
19,9AA,negative,+Cl,Argininosuccinic acid,0,0.0
20,9AA,negative,+Cl,Ascorbic acid,0,0.0
21,9AA,negative,+Cl,Asparagine,0,0.0
22,9AA,negative,+Cl,Aspartic acid,0,0.0
23,9AA,negative,+Cl,Biotin,0,0.0
24,9AA,negative,+Cl,Butyric acid,0,0.0
25,9AA,negative,+Cl,CAR 16:0,0,0.0
26,9AA,negative,+Cl,Carbamoyl phosphate,0,0.0
27,9AA,negative,+Cl,Cardiolipin 18:1,0,0.0
28,9AA,negative,+Cl,Carnitine,1,74.69462
29,9AA,negative,+Cl,Carnosine,1,868.1262
30,9AA,negative,+Cl,Cer d8:1/22:0 Cer,1,137.54987
31,9AA,negative,+Cl,Cholecalciferol,0,0.0
32,9AA,negative,+Cl,Cholesterol,0,0.0
33,9AA,negative,+Cl,Cholesteryl acetate,0,0.0
34,9AA,negative,+Cl,Cholesteryl ester 17:0,0,0.0
35,9AA,negative,+Cl,Cholic acid,0,0.0
36,9AA,negative,+Cl,Choline,0,0.0
37,9AA,negative,+Cl,Citric acid,0,0.0
38,9AA,negative,+Cl,Citrulline,1,560.01855
39,9AA,negative,+Cl,Coenzyme A,0,0.0
40,9AA,negative,+Cl,Creatine,0,0.0
41,9AA,negative,+Cl,Creatinine,0,0.0
42,9AA,negative,+Cl,Cyclic adenosine monophosphate,0,0.0
43,9AA,negative,+Cl,Cysteine,0,0.0
44,9AA,negative,+Cl,Cystine,0,0.0
45,9AA,negative,+Cl,Cytidine,0,0.0
46,9AA,negative,+Cl,Cytidine monophosphate,0,0.0
47,9AA,negative,+Cl,Cytosine,0,0.0
48,9AA,negative,+Cl,DG 18:0-22:6,0,0.0
49,9AA,negative,+Cl,Dihydroxyacetone,0,0.0
50,9AA,negative,+Cl,Dihydroxyacetone phosphate,0,0.0
51,9AA,negative,+Cl,Dopamine,0,0.0
52,9AA,negative,+Cl,Epinephrine,0,0.0
53,9AA,negative,+Cl,Estradiol,0,0.0
54,9AA,negative,+Cl,Flavin adenine dinucleotide,0,0.0
55,9AA,negative,+Cl,Flavin mononucleotide,0,0.0
56,9AA,negative,+Cl,Folic acid,0,0.0
57,9AA,negative,+Cl,"Fructose 1,6-bisphosphate",0,0.0
58,9AA,negative,+Cl,Fumaric acid,0,0.0
59,9AA,negative,+Cl,GM3 Ganglioside 18:0,1,18.269638
60,9AA,negative,+Cl,GlcCer d18:1/18:0,1,1327.945
61,9AA,negative,+Cl,Gluconic acid,0,0.0
62,9AA,negative,+Cl,Glucosamine,0,0.0
63,9AA,negative,+Cl,Glucosamine 6-phosphate,1,116.408066
64,9AA,negative,+Cl,Glucose,1,514.41516
65,9AA,negative,+Cl,Glucose 6-phosphate,1,110.46362
66,9AA,negative,+Cl,Glucosyl cholesterol,1,548.4807
67,9AA,negative,+Cl,Glutamic acid,1,141.85072
68,9AA,negative,+Cl,Glutamine,1,247.43361
69,9AA,negative,+Cl,Glutathione,0,0.0
70,9AA,negative,+Cl,Glycerol 3-phosphate,1,85.91227
71,9AA,negative,+Cl,Glycerophosphocholine,0,0.0
72,9AA,negative,+Cl,Glycine,0,0.0
73,9AA,negative,+Cl,Guanine,0,0.0
74,9AA,negative,+Cl,Histamine,1,40.691837
75,9AA,negative,+Cl,Histidine,0,0.0
76,9AA,negative,+Cl,Homocysteine,0,0.0
77,9AA,negative,+Cl,Hypoxanthine,0,0.0
78,9AA,negative,+Cl,Indole,0,0.0
79,9AA,negative,+Cl,Kynurenic acid,1,111.74509
80,9AA,negative,+Cl,Kynurenine,0,0.0
81,9AA,negative,+Cl,L-Dopa,0,0.0
82,9AA,negative,+Cl,Lactic acid,0,0.0
83,9AA,negative,+Cl,Lyso PA 18:1,1,857.54767
84,9AA,negative,+Cl,Lyso PC 15:0,1,7252.1104
85,9AA,negative,+Cl,Lyso PE 18:0,0,0.0
86,9AA,negative,+Cl,Lyso PG 16:0,0,0.0
87,9AA,negative,+Cl,Lyso PI 17:1,0,0.0
88,9AA,negative,+Cl,Lyso PS 17:1,1,94.42893
89,9AA,negative,+Cl,MG 18:1,0,0.0
90,9AA,negative,+Cl,Malic acid,0,0.0
91,9AA,negative,+Cl,Malonic acid,0,0.0
92,9AA,negative,+Cl,Melatonin,0,0.0
93,9AA,negative,+Cl,Methionine,0,0.0
94,9AA,negative,+Cl,Mevalonic acid,1,160.29076
95,9AA,negative,+Cl,Myo-inositol 1-phosphate,0,0.0
96,9AA,negative,+Cl,N-Acetylaspartic acid,0,0.0
97,9AA,negative,+Cl,N-Acetylaspartylglutamic acid,0,0.0
98,9AA,negative,+Cl,N-Acetylgalactosamine 6-phosphate,0,0.0
99,9AA,negative,+Cl,N-Acetylglucosamine,1,2326.2415
100,9AA,negative,+Cl,"N6,N6,N6-Trimethyllysine",1,52.616753
