,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
166,9AA,negative,+H,2-Oxoglutaric acid,0,0.0
167,9AA,negative,+H,3-Hydroxyanthranilic acid,0,0.0
168,9AA,negative,+H,3-Hydroxymethylglutaric acid,0,0.0
169,9AA,negative,+H,3-Phosphoglyceric acid,0,0.0
170,9AA,negative,+H,"4,5-Dihydroorotic acid",0,0.0
171,9AA,negative,+H,4-Hydroxyproline,0,0.0
172,9AA,negative,+H,5-Hydroxyindoleacetic acid,0,0.0
173,9AA,negative,+H,6-Phosphogluconic acid,0,0.0
174,9AA,negative,+H,Acetoacetic acid,0,0.0
175,9AA,negative,+H,Acetyl-CoA,0,0.0
176,9AA,negative,+H,Acetylcarnitine,0,0.0
177,9AA,negative,+H,Adenine,0,0.0
178,9AA,negative,+H,Adenosine diphosphate,0,0.0
179,9AA,negative,+H,Adenosine monophosphate,0,0.0
180,9AA,negative,+H,Adenosine triphosphate,0,0.0
181,9AA,negative,+H,Agmatine,0,0.0
182,9AA,negative,+H,Arachidonic acid,0,0.0
183,9AA,negative,+H,Arginine,0,0.0
184,9AA,negative,+H,Argininosuccinic acid,0,0.0
185,9AA,negative,+H,Ascorbic acid,0,0.0
186,9AA,negative,+H,Asparagine,0,0.0
187,9AA,negative,+H,Aspartic acid,0,0.0
188,9AA,negative,+H,Biotin,0,0.0
189,9AA,negative,+H,Butyric acid,0,0.0
190,9AA,negative,+H,CAR 16:0,0,0.0
191,9AA,negative,+H,Carbamoyl phosphate,0,0.0
192,9AA,negative,+H,Cardiolipin 18:1,0,0.0
193,9AA,negative,+H,Carnitine,0,0.0
194,9AA,negative,+H,Carnosine,0,0.0
195,9AA,negative,+H,Cer d8:1/22:0 Cer,0,0.0
196,9AA,negative,+H,Cholecalciferol,0,0.0
197,9AA,negative,+H,Cholesterol,0,0.0
198,9AA,negative,+H,Cholesteryl acetate,0,0.0
199,9AA,negative,+H,Cholesteryl ester 17:0,0,0.0
200,9AA,negative,+H,Cholic acid,0,0.0
201,9AA,negative,+H,Citric acid,0,0.0
202,9AA,negative,+H,Citrulline,0,0.0
203,9AA,negative,+H,Coenzyme A,0,0.0
204,9AA,negative,+H,Creatine,0,0.0
205,9AA,negative,+H,Creatinine,0,0.0
206,9AA,negative,+H,Cyclic adenosine monophosphate,0,0.0
207,9AA,negative,+H,Cysteine,0,0.0
208,9AA,negative,+H,Cystine,0,0.0
209,9AA,negative,+H,Cytidine,0,0.0
210,9AA,negative,+H,Cytidine monophosphate,0,0.0
211,9AA,negative,+H,Cytosine,0,0.0
212,9AA,negative,+H,DG 18:0-22:6,0,0.0
213,9AA,negative,+H,Dihydroxyacetone,0,0.0
214,9AA,negative,+H,Dihydroxyacetone phosphate,0,0.0
215,9AA,negative,+H,Dopamine,0,0.0
216,9AA,negative,+H,Epinephrine,0,0.0
217,9AA,negative,+H,Estradiol,0,0.0
218,9AA,negative,+H,Flavin adenine dinucleotide,0,0.0
219,9AA,negative,+H,Flavin mononucleotide,0,0.0
220,9AA,negative,+H,Folic acid,0,0.0
221,9AA,negative,+H,"Fructose 1,6-bisphosphate",0,0.0
222,9AA,negative,+H,Fumaric acid,0,0.0
223,9AA,negative,+H,GM3 Ganglioside 18:0,0,0.0
224,9AA,negative,+H,GlcCer d18:1/18:0,0,0.0
225,9AA,negative,+H,Gluconic acid,0,0.0
226,9AA,negative,+H,Glucosamine,0,0.0
227,9AA,negative,+H,Glucosamine 6-phosphate,0,0.0
228,9AA,negative,+H,Glucose,0,0.0
229,9AA,negative,+H,Glucose 6-phosphate,0,0.0
230,9AA,negative,+H,Glucosyl cholesterol,0,0.0
231,9AA,negative,+H,Glutamic acid,0,0.0
232,9AA,negative,+H,Glutamine,0,0.0
233,9AA,negative,+H,Glutathione,0,0.0
234,9AA,negative,+H,Glycerol 3-phosphate,0,0.0
235,9AA,negative,+H,Glycerophosphocholine,0,0.0
236,9AA,negative,+H,Glycine,0,0.0
237,9AA,negative,+H,Guanine,0,0.0
238,9AA,negative,+H,Histamine,0,0.0
239,9AA,negative,+H,Histidine,0,0.0
240,9AA,negative,+H,Homocysteine,0,0.0
241,9AA,negative,+H,Hypoxanthine,0,0.0
242,9AA,negative,+H,Indole,0,0.0
243,9AA,negative,+H,Kynurenic acid,0,0.0
244,9AA,negative,+H,Kynurenine,0,0.0
245,9AA,negative,+H,L-Dopa,0,0.0
246,9AA,negative,+H,Lactic acid,0,0.0
247,9AA,negative,+H,Lyso PA 18:1,0,0.0
248,9AA,negative,+H,Lyso PC 15:0,0,0.0
249,9AA,negative,+H,Lyso PE 18:0,0,0.0
250,9AA,negative,+H,Lyso PG 16:0,0,0.0
251,9AA,negative,+H,Lyso PI 17:1,0,0.0
252,9AA,negative,+H,Lyso PS 17:1,0,0.0
253,9AA,negative,+H,MG 18:1,0,0.0
254,9AA,negative,+H,Malic acid,0,0.0
255,9AA,negative,+H,Malonic acid,0,0.0
256,9AA,negative,+H,Melatonin,0,0.0
257,9AA,negative,+H,Methionine,0,0.0
258,9AA,negative,+H,Mevalonic acid,0,0.0
259,9AA,negative,+H,Myo-inositol 1-phosphate,0,0.0
260,9AA,negative,+H,N-Acetylaspartic acid,0,0.0
261,9AA,negative,+H,N-Acetylaspartylglutamic acid,0,0.0
262,9AA,negative,+H,N-Acetylgalactosamine 6-phosphate,0,0.0
263,9AA,negative,+H,N-Acetylglucosamine,0,0.0
264,9AA,negative,+H,"N6,N6,N6-Trimethyllysine",0,0.0
265,9AA,negative,+H,Niacinamide,0,0.0
266,9AA,negative,+H,Nicotinamide adenine dinucleotide (NAD),0,0.0
267,9AA,negative,+H,"Nicotinamide adenine dinucleotide, reduced (NADH)",0,0.0
268,9AA,negative,+H,Nicotinic acid,0,0.0
269,9AA,negative,+H,Ornithine,0,0.0
270,9AA,negative,+H,Orotic acid,0,0.0
271,9AA,negative,+H,Oxalacetic acid,0,0.0
272,9AA,negative,+H,Oxidized glutathione,0,0.0
273,9AA,negative,+H,PA 16:0-18:1,0,0.0
274,9AA,negative,+H,PC (O) C16-18:1,0,0.0
275,9AA,negative,+H,PC 15:0-18:1,0,0.0
276,9AA,negative,+H,PE 18:0-20:4,0,0.0
277,9AA,negative,+H,PG 16:0-18:1,0,0.0
278,9AA,negative,+H,PI 16:0-18:1,0,0.0
279,9AA,negative,+H,PI(5)P 18:1,0,0.0
280,9AA,negative,+H,PS (POPS) 16:0-18:1,0,0.0
281,9AA,negative,+H,Palmitic acid,0,0.0
282,9AA,negative,+H,Palmitoyl-CoA,0,0.0
283,9AA,negative,+H,Pantetheine,0,0.0
284,9AA,negative,+H,Pantothenic acid,0,0.0
285,9AA,negative,+H,Phenylalanine,0,0.0
286,9AA,negative,+H,Phosphocreatine,0,0.0
287,9AA,negative,+H,Phosphoenolpyruvic acid,0,0.0
288,9AA,negative,+H,Phosphoserine,0,0.0
289,9AA,negative,+H,Phylloquinone,0,0.0
290,9AA,negative,+H,Proline,0,0.0
291,9AA,negative,+H,Propionylcarnitine,0,0.0
292,9AA,negative,+H,Prostaglandin E1,0,0.0
293,9AA,negative,+H,Putrescine,0,0.0
294,9AA,negative,+H,Pyridoxine,0,0.0
295,9AA,negative,+H,Pyruvic acid,0,0.0
