,name_short,adduct,spot_intensity_bgr_corrected,pred_val,Matrix short,Polarity,formal_charge,detectability,matrix_obscured
0,Malic acid,-H,237378.92,0.9996346654311102,9AA,negative,0.0,True,0
8,Malic acid,+Cl,0.0,0.0061678046235247,9AA,negative,0.0,False,0
15,Malic acid,[M]-,-0.11945587,0.0061678046235247,9AA,negative,0.0,False,0
24,Malic acid,-H,14853.444,0.999663436134027,CHCA,negative,0.0,True,0
35,Malic acid,[M]-,-0.11558699,0.0061678046235247,CHCA,negative,0.0,False,0
37,Malic acid,+Cl,-0.24390285,0.0061678046235247,CHCA,negative,0.0,False,0
49,Malic acid,-H,167.09163,0.9981397621570788,ClCCA,negative,0.0,True,0
56,Malic acid,[M]-,-0.019514404,0.0061678046235247,ClCCA,negative,0.0,False,0
63,Malic acid,+Cl,-0.011542497,0.0061678046235247,ClCCA,negative,0.0,False,0
72,Malic acid,-H,46541.77,0.9983396864364372,DAN,negative,0.0,True,0
79,Malic acid,+Cl,0.0,0.0061678046235247,DAN,negative,0.0,False,0
89,Malic acid,[M]-,-0.3226886,0.0061678046235247,DAN,negative,0.0,False,0
99,Malic acid,-H,975.96216,0.9987786695521008,DHAP,negative,0.0,True,0
108,Malic acid,+Cl,-0.009935558,0.0061678046235247,DHAP,negative,0.0,False,0
109,Malic acid,[M]-,-0.009153689,0.0061678046235247,DHAP,negative,0.0,False,0
123,Malic acid,-H,2891.726,0.9993788717181784,DHB,negative,0.0,True,0
130,Malic acid,+Cl,0.0,0.0061678046235247,DHB,negative,0.0,False,0
134,Malic acid,[M]-,-0.0325162,0.0061678046235247,DHB,negative,0.0,False,0
147,Malic acid,-H,807.26447,0.9960169412392276,MAPS,negative,0.0,True,0
152,Malic acid,+Cl,-0.011757642,0.0061678046235247,MAPS,negative,0.0,False,0
168,Malic acid,[M]-,-0.10635748,0.0061678046235247,MAPS,negative,0.0,False,0
172,Malic acid,-H,112.23842,0.9949535484318976,NEDC,negative,0.0,True,0
185,Malic acid,+Cl,-0.005721201,0.0061678046235247,NEDC,negative,0.0,False,0
186,Malic acid,[M]-,-0.118083626,0.0061678046235247,NEDC,negative,0.0,False,0
