,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.0003723204,True,pytorch_NN,2-Oxoglutaric acid,9AA,negative,0
1,0.99604475,True,pytorch_NN,3-Hydroxyanthranilic acid,9AA,negative,0
2,0.99963,True,pytorch_NN,3-Phosphoglyceric acid,9AA,negative,0
3,0.91298854,True,pytorch_NN,"4,5-Dihydroorotic acid",9AA,negative,0
4,0.9990964,True,pytorch_NN,4-Hydroxyproline,9AA,negative,0
5,0.026966434,True,pytorch_NN,5-Hydroxyindoleacetic acid,9AA,negative,0
6,0.9999602,True,pytorch_NN,6-Phosphogluconic acid,9AA,negative,0
7,0.9999993,True,pytorch_NN,Acetyl-CoA,9AA,negative,0
8,0.99612635,True,pytorch_NN,Adenine,9AA,negative,0
9,0.99983656,True,pytorch_NN,Adenosine diphosphate,9AA,negative,0
10,0.9853698,True,pytorch_NN,Adenosine monophosphate,9AA,negative,0
11,0.9999676,True,pytorch_NN,Arginine,9AA,negative,0
12,0.99999726,True,pytorch_NN,Argininosuccinic acid,9AA,negative,0
13,0.99912184,False,pytorch_NN,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.00033574647,False,pytorch_NN,Acetoacetic acid,9AA,negative,0
15,0.34927565,False,pytorch_NN,Acetylcarnitine,9AA,negative,0
16,4.429679e-06,False,pytorch_NN,Acetylcholine,9AA,negative,0
17,0.12785423,False,pytorch_NN,Agmatine,9AA,negative,0
0,0.99835086,True,pytorch_NN,Ascorbic acid,9AA,negative,1
1,0.99994993,True,pytorch_NN,Asparagine,9AA,negative,1
2,0.99999225,True,pytorch_NN,Aspartic acid,9AA,negative,1
3,0.999979,True,pytorch_NN,Cardiolipin 18:1,9AA,negative,1
4,0.0008219088,True,pytorch_NN,Carnitine,9AA,negative,1
5,0.99987006,True,pytorch_NN,Carnosine,9AA,negative,1
6,0.017342024,True,pytorch_NN,Cer d8:1/22:0 Cer,9AA,negative,1
7,0.9998661,True,pytorch_NN,Cholic acid,9AA,negative,1
8,0.9966048,True,pytorch_NN,Citric acid,9AA,negative,1
9,0.999134,True,pytorch_NN,Citrulline,9AA,negative,1
10,0.99875903,True,pytorch_NN,Coenzyme A,9AA,negative,1
11,0.99347514,True,pytorch_NN,Creatine,9AA,negative,1
12,0.0062237075,True,pytorch_NN,Creatinine,9AA,negative,1
13,0.99997604,False,pytorch_NN,Biotin,9AA,negative,1
14,0.09720633,False,pytorch_NN,Butyric acid,9AA,negative,1
15,0.0353207,False,pytorch_NN,CAR 16:0,9AA,negative,1
16,2.3350033e-06,False,pytorch_NN,Cholecalciferol,9AA,negative,1
0,0.13814737,True,pytorch_NN,Cysteine,9AA,negative,2
1,0.9998857,True,pytorch_NN,Cystine,9AA,negative,2
2,6.7621727e-06,True,pytorch_NN,Cytidine,9AA,negative,2
3,0.99963474,True,pytorch_NN,Cytosine,9AA,negative,2
4,0.9996419,True,pytorch_NN,Dihydroxyacetone phosphate,9AA,negative,2
5,0.000240475,True,pytorch_NN,Dopamine,9AA,negative,2
6,0.020303603,True,pytorch_NN,Epinephrine,9AA,negative,2
7,0.99998474,True,pytorch_NN,Flavin adenine dinucleotide,9AA,negative,2
8,0.99995303,True,pytorch_NN,Flavin mononucleotide,9AA,negative,2
9,0.99997854,True,pytorch_NN,"Fructose 1,6-bisphosphate",9AA,negative,2
10,0.99997675,True,pytorch_NN,GM3 Ganglioside 18:0,9AA,negative,2
11,0.9998406,True,pytorch_NN,GlcCer d18:1/18:0,9AA,negative,2
12,0.002343839,False,pytorch_NN,Cholesterol,9AA,negative,2
13,0.000339566,False,pytorch_NN,Cholesteryl acetate,9AA,negative,2
14,0.00037063437,False,pytorch_NN,Choline,9AA,negative,2
15,0.98907757,False,pytorch_NN,Cyclic adenosine monophosphate,9AA,negative,2
0,0.999258,True,pytorch_NN,Gluconic acid,9AA,negative,3
1,0.9647078,True,pytorch_NN,Glucosamine 6-phosphate,9AA,negative,3
2,0.028778909,True,pytorch_NN,Glucose,9AA,negative,3
3,0.91845304,True,pytorch_NN,Glucose 6-phosphate,9AA,negative,3
4,0.21916741,True,pytorch_NN,Glucosyl cholesterol,9AA,negative,3
5,0.99995255,True,pytorch_NN,Glutamic acid,9AA,negative,3
6,0.99974805,True,pytorch_NN,Glutamine,9AA,negative,3
7,0.999912,True,pytorch_NN,Glutathione,9AA,negative,3
8,0.626331,True,pytorch_NN,Glycerol 3-phosphate,9AA,negative,3
9,0.9995999,True,pytorch_NN,Glycine,9AA,negative,3
10,0.99980074,True,pytorch_NN,Guanine,9AA,negative,3
11,0.98741746,True,pytorch_NN,Histamine,9AA,negative,3
12,0.9976412,False,pytorch_NN,Cytidine monophosphate,9AA,negative,3
13,0.997027,False,pytorch_NN,Dihydroxyacetone,9AA,negative,3
14,0.019830968,False,pytorch_NN,Estradiol,9AA,negative,3
15,0.53824055,False,pytorch_NN,Folic acid,9AA,negative,3
0,0.99997187,True,pytorch_NN,Histidine,9AA,negative,4
1,0.9999852,True,pytorch_NN,Hypoxanthine,9AA,negative,4
2,0.9973984,True,pytorch_NN,Kynurenic acid,9AA,negative,4
3,0.9997832,True,pytorch_NN,Kynurenine,9AA,negative,4
4,0.99999976,True,pytorch_NN,L-Dopa,9AA,negative,4
5,0.9997042,True,pytorch_NN,Lyso PA 18:1,9AA,negative,4
6,0.9998621,True,pytorch_NN,Lyso PC 15:0,9AA,negative,4
7,0.99977654,True,pytorch_NN,Lyso PE 18:0,9AA,negative,4
8,0.99859065,True,pytorch_NN,Lyso PG 16:0,9AA,negative,4
9,0.9999,True,pytorch_NN,Lyso PI 17:1,9AA,negative,4
10,0.99998903,True,pytorch_NN,Lyso PS 17:1,9AA,negative,4
11,0.99985313,True,pytorch_NN,Malic acid,9AA,negative,4
12,0.99885046,False,pytorch_NN,Fumaric acid,9AA,negative,4
13,0.9998011,False,pytorch_NN,Glucosamine,9AA,negative,4
14,0.99993885,False,pytorch_NN,Glycerophosphocholine,9AA,negative,4
15,0.99980885,False,pytorch_NN,Homocysteine,9AA,negative,4
0,0.016328536,True,pytorch_NN,Malonic acid,9AA,negative,5
1,0.1027108,True,pytorch_NN,Melatonin,9AA,negative,5
2,0.13182278,True,pytorch_NN,Methionine,9AA,negative,5
3,0.00010680046,True,pytorch_NN,Mevalonic acid,9AA,negative,5
4,0.9997471,True,pytorch_NN,Myo-inositol 1-phosphate,9AA,negative,5
5,0.13994932,True,pytorch_NN,N-Acetylaspartic acid,9AA,negative,5
6,0.9978229,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,negative,5
7,0.9985917,True,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,0.9982693,True,pytorch_NN,N-Acetylglucosamine,9AA,negative,5
