,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.00090346957,True,pytorch_NN,2-Oxoglutaric acid,9AA,negative,0
1,0.9836089,True,pytorch_NN,3-Hydroxyanthranilic acid,9AA,negative,0
2,0.99996066,True,pytorch_NN,3-Phosphoglyceric acid,9AA,negative,0
3,0.8789287,True,pytorch_NN,"4,5-Dihydroorotic acid",9AA,negative,0
4,0.9884679,True,pytorch_NN,4-Hydroxyproline,9AA,negative,0
5,0.0021711106,True,pytorch_NN,5-Hydroxyindoleacetic acid,9AA,negative,0
6,0.9999944,True,pytorch_NN,6-Phosphogluconic acid,9AA,negative,0
7,0.99999607,True,pytorch_NN,Acetyl-CoA,9AA,negative,0
8,0.99209166,True,pytorch_NN,Adenine,9AA,negative,0
9,0.9945833,True,pytorch_NN,Adenosine diphosphate,9AA,negative,0
10,0.9681132,True,pytorch_NN,Adenosine monophosphate,9AA,negative,0
11,0.9998684,True,pytorch_NN,Arginine,9AA,negative,0
12,0.9999826,True,pytorch_NN,Argininosuccinic acid,9AA,negative,0
13,0.9996164,False,pytorch_NN,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0036801486,False,pytorch_NN,Acetoacetic acid,9AA,negative,0
15,0.016568258,False,pytorch_NN,Acetylcarnitine,9AA,negative,0
16,0.0010557817,False,pytorch_NN,Acetylcholine,9AA,negative,0
17,0.68605775,False,pytorch_NN,Agmatine,9AA,negative,0
0,0.99817836,True,pytorch_NN,Ascorbic acid,9AA,negative,1
1,0.9991953,True,pytorch_NN,Asparagine,9AA,negative,1
2,0.99988973,True,pytorch_NN,Aspartic acid,9AA,negative,1
3,0.99986374,True,pytorch_NN,Cardiolipin 18:1,9AA,negative,1
4,0.0010552735,True,pytorch_NN,Carnitine,9AA,negative,1
5,0.9994511,True,pytorch_NN,Carnosine,9AA,negative,1
6,0.016839972,True,pytorch_NN,Cer d8:1/22:0 Cer,9AA,negative,1
7,0.9993831,True,pytorch_NN,Cholic acid,9AA,negative,1
8,0.9903652,True,pytorch_NN,Citric acid,9AA,negative,1
9,0.99896204,True,pytorch_NN,Citrulline,9AA,negative,1
10,0.9996568,True,pytorch_NN,Coenzyme A,9AA,negative,1
11,0.9503491,True,pytorch_NN,Creatine,9AA,negative,1
12,0.9991032,True,pytorch_NN,Creatinine,9AA,negative,1
13,0.9995254,False,pytorch_NN,Biotin,9AA,negative,1
14,0.10938767,False,pytorch_NN,Butyric acid,9AA,negative,1
15,0.0010734566,False,pytorch_NN,CAR 16:0,9AA,negative,1
16,5.5264945e-06,False,pytorch_NN,Cholecalciferol,9AA,negative,1
0,0.25275952,True,pytorch_NN,Cysteine,9AA,negative,2
1,0.9996891,True,pytorch_NN,Cystine,9AA,negative,2
2,6.0470695e-05,True,pytorch_NN,Cytidine,9AA,negative,2
3,0.55795157,True,pytorch_NN,Cytosine,9AA,negative,2
4,0.9984419,True,pytorch_NN,Dihydroxyacetone phosphate,9AA,negative,2
5,0.0006348112,True,pytorch_NN,Dopamine,9AA,negative,2
6,0.37526676,True,pytorch_NN,Epinephrine,9AA,negative,2
7,0.9997229,True,pytorch_NN,Flavin adenine dinucleotide,9AA,negative,2
8,0.99943954,True,pytorch_NN,Flavin mononucleotide,9AA,negative,2
9,0.99992895,True,pytorch_NN,"Fructose 1,6-bisphosphate",9AA,negative,2
10,0.9999982,True,pytorch_NN,GM3 Ganglioside 18:0,9AA,negative,2
11,0.9996457,True,pytorch_NN,GlcCer d18:1/18:0,9AA,negative,2
12,0.0016407078,False,pytorch_NN,Cholesterol,9AA,negative,2
13,0.004414489,False,pytorch_NN,Cholesteryl acetate,9AA,negative,2
14,8.214047e-05,False,pytorch_NN,Choline,9AA,negative,2
15,0.96798766,False,pytorch_NN,Cyclic adenosine monophosphate,9AA,negative,2
0,0.9944283,True,pytorch_NN,Gluconic acid,9AA,negative,3
1,0.22134049,True,pytorch_NN,Glucosamine 6-phosphate,9AA,negative,3
2,0.03759962,True,pytorch_NN,Glucose,9AA,negative,3
3,0.90428776,True,pytorch_NN,Glucose 6-phosphate,9AA,negative,3
4,0.018267771,True,pytorch_NN,Glucosyl cholesterol,9AA,negative,3
5,0.9999944,True,pytorch_NN,Glutamic acid,9AA,negative,3
6,0.99996376,True,pytorch_NN,Glutamine,9AA,negative,3
7,0.99996567,True,pytorch_NN,Glutathione,9AA,negative,3
8,0.904326,True,pytorch_NN,Glycerol 3-phosphate,9AA,negative,3
9,0.9998178,True,pytorch_NN,Glycine,9AA,negative,3
10,0.99721634,True,pytorch_NN,Guanine,9AA,negative,3
11,0.9171503,True,pytorch_NN,Histamine,9AA,negative,3
12,0.99527365,False,pytorch_NN,Cytidine monophosphate,9AA,negative,3
13,0.99808216,False,pytorch_NN,Dihydroxyacetone,9AA,negative,3
14,0.050372563,False,pytorch_NN,Estradiol,9AA,negative,3
15,0.8885649,False,pytorch_NN,Folic acid,9AA,negative,3
0,0.99996424,True,pytorch_NN,Histidine,9AA,negative,4
1,0.9999528,True,pytorch_NN,Hypoxanthine,9AA,negative,4
2,0.86265135,True,pytorch_NN,Kynurenic acid,9AA,negative,4
3,0.99947864,True,pytorch_NN,Kynurenine,9AA,negative,4
4,0.9999919,True,pytorch_NN,L-Dopa,9AA,negative,4
5,0.99542916,True,pytorch_NN,Lyso PA 18:1,9AA,negative,4
6,0.9965599,True,pytorch_NN,Lyso PC 15:0,9AA,negative,4
7,0.9922638,True,pytorch_NN,Lyso PE 18:0,9AA,negative,4
8,0.99045944,True,pytorch_NN,Lyso PG 16:0,9AA,negative,4
9,0.9988782,True,pytorch_NN,Lyso PI 17:1,9AA,negative,4
10,0.99998033,True,pytorch_NN,Lyso PS 17:1,9AA,negative,4
11,0.99884796,True,pytorch_NN,Malic acid,9AA,negative,4
12,0.9969735,False,pytorch_NN,Fumaric acid,9AA,negative,4
13,0.9998375,False,pytorch_NN,Glucosamine,9AA,negative,4
14,0.99955815,False,pytorch_NN,Glycerophosphocholine,9AA,negative,4
15,0.99893636,False,pytorch_NN,Homocysteine,9AA,negative,4
0,0.36056572,True,pytorch_NN,Malonic acid,9AA,negative,5
1,0.007949542,True,pytorch_NN,Melatonin,9AA,negative,5
2,0.31256098,True,pytorch_NN,Methionine,9AA,negative,5
3,0.00015431481,True,pytorch_NN,Mevalonic acid,9AA,negative,5
4,0.99953973,True,pytorch_NN,Myo-inositol 1-phosphate,9AA,negative,5
5,0.96844155,True,pytorch_NN,N-Acetylaspartic acid,9AA,negative,5
6,0.99664813,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,negative,5
7,0.9953896,True,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,0.9954556,True,pytorch_NN,N-Acetylglucosamine,9AA,negative,5
9,0.34106925,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,0.7925824,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5
11,0.99998224,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5
12,0.96227133,False,pytorch_NN,Lactic acid,9AA,negative,5
13,0.99332786,False,pytorch_NN,MG 18:1,9AA,negative,5
14,0.00015754244,False,pytorch_NN,Niacinamide,9AA,negative,5
15,0.0031341028,False,pytorch_NN,Nicotinamide riboside,9AA,negative,5
0,0.9995427,True,pytorch_NN,Ornithine,9AA,negative,6
1,0.9998356,True,pytorch_NN,Orotic acid,9AA,negative,6
2,0.9999987,True,pytorch_NN,Oxidized glutathione,9AA,negative,6
3,0.6285714,True,pytorch_NN,PA 16:0-18:1,9AA,negative,6
4,0.0023665845,True,pytorch_NN,PC (O) C16-18:1,9AA,negative,6
5,0.011144108,True,pytorch_NN,PC 15:0-18:1,9AA,negative,6
6,0.92112684,True,pytorch_NN,PE 18:0-20:4,9AA,negative,6
7,0.970096,True,pytorch_NN,PG 16:0-18:1,9AA,negative,6
8,0.9974928,True,pytorch_NN,PI 16:0-18:1,9AA,negative,6
9,0.99981207,True,pytorch_NN,PI(5)P 18:1,9AA,negative,6
10,0.99924797,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,negative,6
11,0.99999547,True,pytorch_NN,Palmitoyl-CoA,9AA,negative,6
12,0.10915443,False,pytorch_NN,Nicotinamide ribotide,9AA,negative,6
13,0.11140464,False,pytorch_NN,Nicotinic acid,9AA,negative,6
14,0.998904,False,pytorch_NN,Oxalacetic acid,9AA,negative,6
15,0.009923962,False,pytorch_NN,Palmitic acid,9AA,negative,6
0,0.6829751,True,pytorch_NN,Pantetheine,9AA,negative,7
1,0.8134496,True,pytorch_NN,Pantothenic acid,9AA,negative,7
2,0.9990237,True,pytorch_NN,Phenylalanine,9AA,negative,7
3,0.99999356,True,pytorch_NN,Phosphocreatine,9AA,negative,7
4,0.9982168,True,pytorch_NN,Phosphoenolpyruvic acid,9AA,negative,7
5,0.9973201,True,pytorch_NN,Proline,9AA,negative,7
6,0.21370961,True,pytorch_NN,Prostaglandin E1,9AA,negative,7
7,0.03287828,True,pytorch_NN,Pyridoxine,9AA,negative,7
