,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.011313514,True,pytorch_NN,2-Oxoglutaric acid,9AA,negative,0
1,0.9946091,True,pytorch_NN,3-Hydroxyanthranilic acid,9AA,negative,0
2,0.99908054,True,pytorch_NN,3-Phosphoglyceric acid,9AA,negative,0
3,0.88381124,True,pytorch_NN,"4,5-Dihydroorotic acid",9AA,negative,0
4,0.99816906,True,pytorch_NN,4-Hydroxyproline,9AA,negative,0
5,0.27295387,True,pytorch_NN,5-Hydroxyindoleacetic acid,9AA,negative,0
6,0.9997613,True,pytorch_NN,6-Phosphogluconic acid,9AA,negative,0
7,0.99996567,True,pytorch_NN,Acetyl-CoA,9AA,negative,0
8,0.94277656,True,pytorch_NN,Adenine,9AA,negative,0
9,0.9922869,True,pytorch_NN,Adenosine diphosphate,9AA,negative,0
10,0.97844803,True,pytorch_NN,Adenosine monophosphate,9AA,negative,0
11,0.9989882,True,pytorch_NN,Arginine,9AA,negative,0
12,0.99989974,True,pytorch_NN,Argininosuccinic acid,9AA,negative,0
13,0.99895597,False,pytorch_NN,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.007067301,False,pytorch_NN,Acetoacetic acid,9AA,negative,0
15,0.09380885,False,pytorch_NN,Acetylcarnitine,9AA,negative,0
16,0.00010514203,False,pytorch_NN,Acetylcholine,9AA,negative,0
17,0.9651059,False,pytorch_NN,Agmatine,9AA,negative,0
0,0.9751226,True,pytorch_NN,Ascorbic acid,9AA,negative,1
1,0.99592245,True,pytorch_NN,Asparagine,9AA,negative,1
2,0.9989379,True,pytorch_NN,Aspartic acid,9AA,negative,1
3,0.99625754,True,pytorch_NN,Cardiolipin 18:1,9AA,negative,1
4,4.71201e-05,True,pytorch_NN,Carnitine,9AA,negative,1
5,0.9928094,True,pytorch_NN,Carnosine,9AA,negative,1
6,0.1114069,True,pytorch_NN,Cer d8:1/22:0 Cer,9AA,negative,1
7,0.99542075,True,pytorch_NN,Cholic acid,9AA,negative,1
8,0.95389163,True,pytorch_NN,Citric acid,9AA,negative,1
9,0.99447954,True,pytorch_NN,Citrulline,9AA,negative,1
10,0.9966563,True,pytorch_NN,Coenzyme A,9AA,negative,1
11,0.91283226,True,pytorch_NN,Creatine,9AA,negative,1
12,0.83891517,True,pytorch_NN,Creatinine,9AA,negative,1
13,0.9942292,False,pytorch_NN,Biotin,9AA,negative,1
14,0.12646236,False,pytorch_NN,Butyric acid,9AA,negative,1
15,0.01130298,False,pytorch_NN,CAR 16:0,9AA,negative,1
16,0.0002774119,False,pytorch_NN,Cholecalciferol,9AA,negative,1
0,0.28350067,True,pytorch_NN,Cysteine,9AA,negative,2
1,0.99864155,True,pytorch_NN,Cystine,9AA,negative,2
2,0.005399405,True,pytorch_NN,Cytidine,9AA,negative,2
3,0.907119,True,pytorch_NN,Cytosine,9AA,negative,2
4,0.98868036,True,pytorch_NN,Dihydroxyacetone phosphate,9AA,negative,2
5,0.012646812,True,pytorch_NN,Dopamine,9AA,negative,2
6,0.013169328,True,pytorch_NN,Epinephrine,9AA,negative,2
7,0.9993411,True,pytorch_NN,Flavin adenine dinucleotide,9AA,negative,2
8,0.99943143,True,pytorch_NN,Flavin mononucleotide,9AA,negative,2
9,0.99804485,True,pytorch_NN,"Fructose 1,6-bisphosphate",9AA,negative,2
10,0.99996173,True,pytorch_NN,GM3 Ganglioside 18:0,9AA,negative,2
11,0.99702364,True,pytorch_NN,GlcCer d18:1/18:0,9AA,negative,2
12,0.0018778783,False,pytorch_NN,Cholesterol,9AA,negative,2
13,0.0006290828,False,pytorch_NN,Cholesteryl acetate,9AA,negative,2
14,0.00045821245,False,pytorch_NN,Choline,9AA,negative,2
15,0.9963045,False,pytorch_NN,Cyclic adenosine monophosphate,9AA,negative,2
0,0.969564,True,pytorch_NN,Gluconic acid,9AA,negative,3
1,0.64721006,True,pytorch_NN,Glucosamine 6-phosphate,9AA,negative,3
2,0.5433483,True,pytorch_NN,Glucose,9AA,negative,3
3,0.9795975,True,pytorch_NN,Glucose 6-phosphate,9AA,negative,3
4,0.77024055,True,pytorch_NN,Glucosyl cholesterol,9AA,negative,3
5,0.9986829,True,pytorch_NN,Glutamic acid,9AA,negative,3
6,0.9973808,True,pytorch_NN,Glutamine,9AA,negative,3
7,0.9984799,True,pytorch_NN,Glutathione,9AA,negative,3
8,0.42174554,True,pytorch_NN,Glycerol 3-phosphate,9AA,negative,3
9,0.98798484,True,pytorch_NN,Glycine,9AA,negative,3
10,0.98608506,True,pytorch_NN,Guanine,9AA,negative,3
