,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.088241205,True,pytorch_NN,2-Oxoglutaric acid,9AA,negative,0
1,0.8426012,True,pytorch_NN,3-Hydroxyanthranilic acid,9AA,negative,0
2,0.9983083,True,pytorch_NN,3-Phosphoglyceric acid,9AA,negative,0
3,0.37488168,True,pytorch_NN,"4,5-Dihydroorotic acid",9AA,negative,0
4,0.8516776,True,pytorch_NN,4-Hydroxyproline,9AA,negative,0
5,0.19709782,True,pytorch_NN,5-Hydroxyindoleacetic acid,9AA,negative,0
6,0.9997727,True,pytorch_NN,6-Phosphogluconic acid,9AA,negative,0
7,0.99768424,True,pytorch_NN,Acetyl-CoA,9AA,negative,0
8,0.9892435,True,pytorch_NN,Adenine,9AA,negative,0
9,0.9578628,True,pytorch_NN,Adenosine diphosphate,9AA,negative,0
10,0.84295064,True,pytorch_NN,Adenosine monophosphate,9AA,negative,0
11,0.99728346,True,pytorch_NN,Arginine,9AA,negative,0
12,0.9993875,True,pytorch_NN,Argininosuccinic acid,9AA,negative,0
13,0.9950158,False,pytorch_NN,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.017151635,False,pytorch_NN,Acetoacetic acid,9AA,negative,0
15,0.045331813,False,pytorch_NN,Acetylcarnitine,9AA,negative,0
16,0.0025823358,False,pytorch_NN,Acetylcholine,9AA,negative,0
17,0.61881375,False,pytorch_NN,Agmatine,9AA,negative,0
0,0.9885499,True,pytorch_NN,Ascorbic acid,9AA,negative,1
1,0.9960756,True,pytorch_NN,Asparagine,9AA,negative,1
2,0.9994955,True,pytorch_NN,Aspartic acid,9AA,negative,1
3,0.9970816,True,pytorch_NN,Cardiolipin 18:1,9AA,negative,1
4,0.02331614,True,pytorch_NN,Carnitine,9AA,negative,1
5,0.97674084,True,pytorch_NN,Carnosine,9AA,negative,1
6,0.29103094,True,pytorch_NN,Cer d8:1/22:0 Cer,9AA,negative,1
7,0.9073931,True,pytorch_NN,Cholic acid,9AA,negative,1
8,0.91192,True,pytorch_NN,Citric acid,9AA,negative,1
9,0.995494,True,pytorch_NN,Citrulline,9AA,negative,1
10,0.98172057,True,pytorch_NN,Coenzyme A,9AA,negative,1
11,0.8382306,True,pytorch_NN,Creatine,9AA,negative,1
12,0.9900898,True,pytorch_NN,Creatinine,9AA,negative,1
13,0.93702066,False,pytorch_NN,Biotin,9AA,negative,1
14,0.1042343,False,pytorch_NN,Butyric acid,9AA,negative,1
15,0.024618857,False,pytorch_NN,CAR 16:0,9AA,negative,1
