,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.013108126,True,pytorch_NN,2-Oxoglutaric acid,9AA,negative,0
1,0.99671906,True,pytorch_NN,3-Hydroxyanthranilic acid,9AA,negative,0
2,0.9997949,True,pytorch_NN,3-Phosphoglyceric acid,9AA,negative,0
3,0.81738037,True,pytorch_NN,"4,5-Dihydroorotic acid",9AA,negative,0
4,0.9997068,True,pytorch_NN,4-Hydroxyproline,9AA,negative,0
5,0.38629743,True,pytorch_NN,5-Hydroxyindoleacetic acid,9AA,negative,0
6,0.9999443,True,pytorch_NN,6-Phosphogluconic acid,9AA,negative,0
7,0.99996567,True,pytorch_NN,Acetyl-CoA,9AA,negative,0
8,0.9811016,True,pytorch_NN,Adenine,9AA,negative,0
9,0.99620134,True,pytorch_NN,Adenosine diphosphate,9AA,negative,0
10,0.86433697,True,pytorch_NN,Adenosine monophosphate,9AA,negative,0
11,0.9997694,True,pytorch_NN,Arginine,9AA,negative,0
12,0.9998796,True,pytorch_NN,Argininosuccinic acid,9AA,negative,0
13,0.9991283,False,pytorch_NN,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.82395554,False,pytorch_NN,Acetoacetic acid,9AA,negative,0
15,0.011501848,False,pytorch_NN,Acetylcarnitine,9AA,negative,0
16,2.553313e-05,False,pytorch_NN,Acetylcholine,9AA,negative,0
17,0.8289475,False,pytorch_NN,Agmatine,9AA,negative,0
0,0.99933285,True,pytorch_NN,Ascorbic acid,9AA,negative,1
1,0.9997824,True,pytorch_NN,Asparagine,9AA,negative,1
2,0.99996984,True,pytorch_NN,Aspartic acid,9AA,negative,1
3,0.99992096,True,pytorch_NN,Cardiolipin 18:1,9AA,negative,1
4,0.00019978665,True,pytorch_NN,Carnitine,9AA,negative,1
5,0.9995654,True,pytorch_NN,Carnosine,9AA,negative,1
6,0.002534893,True,pytorch_NN,Cer d8:1/22:0 Cer,9AA,negative,1
7,0.99567175,True,pytorch_NN,Cholic acid,9AA,negative,1
8,0.9916586,True,pytorch_NN,Citric acid,9AA,negative,1
9,0.99976164,True,pytorch_NN,Citrulline,9AA,negative,1
10,0.999033,True,pytorch_NN,Coenzyme A,9AA,negative,1
11,0.7903583,True,pytorch_NN,Creatine,9AA,negative,1
12,0.89131844,True,pytorch_NN,Creatinine,9AA,negative,1
13,0.99998426,False,pytorch_NN,Biotin,9AA,negative,1
14,0.29203552,False,pytorch_NN,Butyric acid,9AA,negative,1
15,0.21944803,False,pytorch_NN,CAR 16:0,9AA,negative,1
16,3.1632622e-05,False,pytorch_NN,Cholecalciferol,9AA,negative,1
0,0.8195446,True,pytorch_NN,Cysteine,9AA,negative,2
1,0.9996238,True,pytorch_NN,Cystine,9AA,negative,2
2,8.790435e-05,True,pytorch_NN,Cytidine,9AA,negative,2
3,0.7154091,True,pytorch_NN,Cytosine,9AA,negative,2
4,0.99879396,True,pytorch_NN,Dihydroxyacetone phosphate,9AA,negative,2
5,0.0018506215,True,pytorch_NN,Dopamine,9AA,negative,2
6,0.0122000165,True,pytorch_NN,Epinephrine,9AA,negative,2
7,0.9999994,True,pytorch_NN,Flavin adenine dinucleotide,9AA,negative,2
8,0.9999957,True,pytorch_NN,Flavin mononucleotide,9AA,negative,2
9,0.9999999,True,pytorch_NN,"Fructose 1,6-bisphosphate",9AA,negative,2
10,1.0,True,pytorch_NN,GM3 Ganglioside 18:0,9AA,negative,2
11,0.99954045,True,pytorch_NN,GlcCer d18:1/18:0,9AA,negative,2
12,0.018601613,False,pytorch_NN,Cholesterol,9AA,negative,2
13,0.001235898,False,pytorch_NN,Cholesteryl acetate,9AA,negative,2
14,0.000560356,False,pytorch_NN,Choline,9AA,negative,2
15,0.9996747,False,pytorch_NN,Cyclic adenosine monophosphate,9AA,negative,2
0,0.9961404,True,pytorch_NN,Gluconic acid,9AA,negative,3
1,0.80813557,True,pytorch_NN,Glucosamine 6-phosphate,9AA,negative,3
2,0.039909165,True,pytorch_NN,Glucose,9AA,negative,3
3,0.9267938,True,pytorch_NN,Glucose 6-phosphate,9AA,negative,3
4,0.0573333,True,pytorch_NN,Glucosyl cholesterol,9AA,negative,3
5,0.9999255,True,pytorch_NN,Glutamic acid,9AA,negative,3
6,0.99987674,True,pytorch_NN,Glutamine,9AA,negative,3
7,0.99976426,True,pytorch_NN,Glutathione,9AA,negative,3
8,0.41388434,True,pytorch_NN,Glycerol 3-phosphate,9AA,negative,3
9,0.99920446,True,pytorch_NN,Glycine,9AA,negative,3
10,0.99863845,True,pytorch_NN,Guanine,9AA,negative,3
11,0.06151384,True,pytorch_NN,Histamine,9AA,negative,3
12,0.9987921,False,pytorch_NN,Cytidine monophosphate,9AA,negative,3
13,0.994599,False,pytorch_NN,Dihydroxyacetone,9AA,negative,3
14,0.051232155,False,pytorch_NN,Estradiol,9AA,negative,3
15,0.9982967,False,pytorch_NN,Folic acid,9AA,negative,3
0,0.9998258,True,pytorch_NN,Histidine,9AA,negative,4
1,0.99975127,True,pytorch_NN,Hypoxanthine,9AA,negative,4
2,0.9942327,True,pytorch_NN,Kynurenic acid,9AA,negative,4
3,0.9987612,True,pytorch_NN,Kynurenine,9AA,negative,4
4,0.99993277,True,pytorch_NN,L-Dopa,9AA,negative,4
5,0.9961778,True,pytorch_NN,Lyso PA 18:1,9AA,negative,4
6,0.9991217,True,pytorch_NN,Lyso PC 15:0,9AA,negative,4
7,0.996298,True,pytorch_NN,Lyso PE 18:0,9AA,negative,4
8,0.9986671,True,pytorch_NN,Lyso PG 16:0,9AA,negative,4
9,0.9992256,True,pytorch_NN,Lyso PI 17:1,9AA,negative,4
10,0.999622,True,pytorch_NN,Lyso PS 17:1,9AA,negative,4
11,0.99956137,True,pytorch_NN,Malic acid,9AA,negative,4
12,0.9991007,False,pytorch_NN,Fumaric acid,9AA,negative,4
13,0.99871624,False,pytorch_NN,Glucosamine,9AA,negative,4
14,0.9998004,False,pytorch_NN,Glycerophosphocholine,9AA,negative,4
15,0.9989772,False,pytorch_NN,Homocysteine,9AA,negative,4
0,0.17891811,True,pytorch_NN,Malonic acid,9AA,negative,5
1,0.0001246819,True,pytorch_NN,Melatonin,9AA,negative,5
2,0.9576545,True,pytorch_NN,Methionine,9AA,negative,5
3,0.00043760633,True,pytorch_NN,Mevalonic acid,9AA,negative,5
4,0.99770325,True,pytorch_NN,Myo-inositol 1-phosphate,9AA,negative,5
5,0.9832312,True,pytorch_NN,N-Acetylaspartic acid,9AA,negative,5
6,0.99901366,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,negative,5
7,0.9866763,True,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,0.9845361,True,pytorch_NN,N-Acetylglucosamine,9AA,negative,5
9,0.15488768,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,0.067318976,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5
11,0.99980706,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5
12,0.99087685,False,pytorch_NN,Lactic acid,9AA,negative,5
13,0.9528666,False,pytorch_NN,MG 18:1,9AA,negative,5
14,4.572938e-06,False,pytorch_NN,Niacinamide,9AA,negative,5
15,3.5414898e-05,False,pytorch_NN,Nicotinamide riboside,9AA,negative,5
0,0.994408,True,pytorch_NN,Ornithine,9AA,negative,6
1,0.9999939,True,pytorch_NN,Orotic acid,9AA,negative,6
2,0.9999999,True,pytorch_NN,Oxidized glutathione,9AA,negative,6
3,0.91929656,True,pytorch_NN,PA 16:0-18:1,9AA,negative,6
4,0.013356022,True,pytorch_NN,PC (O) C16-18:1,9AA,negative,6
5,0.06744192,True,pytorch_NN,PC 15:0-18:1,9AA,negative,6
6,0.9839426,True,pytorch_NN,PE 18:0-20:4,9AA,negative,6
7,0.9642081,True,pytorch_NN,PG 16:0-18:1,9AA,negative,6
8,0.9966949,True,pytorch_NN,PI 16:0-18:1,9AA,negative,6
9,0.99975806,True,pytorch_NN,PI(5)P 18:1,9AA,negative,6
10,0.994915,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,negative,6
11,0.9999981,True,pytorch_NN,Palmitoyl-CoA,9AA,negative,6
12,0.8950808,False,pytorch_NN,Nicotinamide ribotide,9AA,negative,6
13,0.5084969,False,pytorch_NN,Nicotinic acid,9AA,negative,6
14,0.99974436,False,pytorch_NN,Oxalacetic acid,9AA,negative,6
15,0.0026655446,False,pytorch_NN,Palmitic acid,9AA,negative,6
0,0.5972298,True,pytorch_NN,Pantetheine,9AA,negative,7
1,0.9952974,True,pytorch_NN,Pantothenic acid,9AA,negative,7
2,0.9990313,True,pytorch_NN,Phenylalanine,9AA,negative,7
3,0.9999683,True,pytorch_NN,Phosphocreatine,9AA,negative,7
4,0.027655827,True,pytorch_NN,Phosphoenolpyruvic acid,9AA,negative,7
5,0.9923613,True,pytorch_NN,Proline,9AA,negative,7
6,0.106654495,True,pytorch_NN,Prostaglandin E1,9AA,negative,7
7,0.024761995,True,pytorch_NN,Pyridoxine,9AA,negative,7
8,0.9993536,True,pytorch_NN,Quinolinic acid,9AA,negative,7
9,0.9994836,True,pytorch_NN,Riboflavin,9AA,negative,7
10,0.84366673,True,pytorch_NN,Ribulose,9AA,negative,7
11,0.9997578,True,pytorch_NN,Ribulose 5-phosphate,9AA,negative,7
12,0.00058527937,False,pytorch_NN,Phylloquinone,9AA,negative,7
13,0.00012240221,False,pytorch_NN,Propionylcarnitine,9AA,negative,7
14,0.0001791439,False,pytorch_NN,Putrescine,9AA,negative,7
15,3.5824835e-06,False,pytorch_NN,Pyruvic acid,9AA,negative,7
0,0.9882847,True,pytorch_NN,S-Adenosylhomocysteine,9AA,negative,8
1,0.9996811,True,pytorch_NN,SM d18:1-16:0,9AA,negative,8
2,0.99371403,True,pytorch_NN,Serine,9AA,negative,8
3,0.813256,True,pytorch_NN,Succinic acid,9AA,negative,8
4,0.99999905,True,pytorch_NN,Sulfo GalCer 18:0(2S-OH),9AA,negative,8
5,1.5227999e-05,True,pytorch_NN,Taurine,9AA,negative,8
6,0.9999918,True,pytorch_NN,Taurocholic acid,9AA,negative,8
7,0.95743006,True,pytorch_NN,Thymine,9AA,negative,8
8,0.999851,True,pytorch_NN,Tryptophan,9AA,negative,8
9,0.99959034,True,pytorch_NN,Tyrosine,9AA,negative,8
10,0.95289725,True,pytorch_NN,Uracil,9AA,negative,8
11,0.98957926,True,pytorch_NN,Ureidosuccinic acid,9AA,negative,8
12,4.3396773e-05,False,pytorch_NN,Retinoic acid,9AA,negative,8
13,0.99727124,False,pytorch_NN,S-Adenosylmethionine,9AA,negative,8
14,0.999788,False,pytorch_NN,Serotonin,9AA,negative,8
15,1.8630205e-07,False,pytorch_NN,Spermidine,9AA,negative,8
0,0.9999198,True,pytorch_NN,Uric acid,9AA,negative,9
1,0.99992,True,pytorch_NN,Uridine,9AA,negative,9
2,0.94165105,True,pytorch_NN,Uridine diphosphate,9AA,negative,9
3,0.9997143,True,pytorch_NN,Uridine diphosphate glucose,9AA,negative,9
4,0.995817,True,pytorch_NN,Uridine diphosphate glucuronic acid,9AA,negative,9
5,0.999972,True,pytorch_NN,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9
6,0.9999094,True,pytorch_NN,Urocanic acid,9AA,negative,9
7,0.070728324,True,pytorch_NN,Valine,9AA,negative,9
8,0.99999,True,pytorch_NN,Xanthine,9AA,negative,9
9,0.7562379,True,pytorch_NN,cis-Aconitic acid,9AA,negative,9
10,0.99995315,True,pytorch_NN,gamma-Aminobutyric acid,9AA,negative,9
11,0.93800795,True,pytorch_NN,myo-Inositol,9AA,negative,9
12,6.5478875e-05,False,pytorch_NN,TG 15:0-18:1-15:0,9AA,negative,9
13,0.024047941,False,pytorch_NN,Tetrahydrofolic acid,9AA,negative,9
14,0.006819819,False,pytorch_NN,Thiamine,9AA,negative,9
15,0.0014376286,False,pytorch_NN,alpha-tocopherol,9AA,negative,9
0,0.015981866,True,pytorch_NN,4-Hydroxyproline,9AA,positive,0
