,observed_value,prediction,classifier,name_short,matrix,polarity,fold
0,True,True,Logistic_reg,2-Oxoglutaric acid,9AA,negative,0
1,True,False,Logistic_reg,3-Hydroxyanthranilic acid,9AA,negative,0
2,True,True,Logistic_reg,3-Phosphoglyceric acid,9AA,negative,0
3,True,True,Logistic_reg,"4,5-Dihydroorotic acid",9AA,negative,0
4,True,False,Logistic_reg,4-Hydroxyproline,9AA,negative,0
5,True,False,Logistic_reg,5-Hydroxyindoleacetic acid,9AA,negative,0
6,True,True,Logistic_reg,6-Phosphogluconic acid,9AA,negative,0
7,True,True,Logistic_reg,Acetyl-CoA,9AA,negative,0
8,True,True,Logistic_reg,Adenine,9AA,negative,0
9,True,False,Logistic_reg,Adenosine diphosphate,9AA,negative,0
10,True,False,Logistic_reg,Adenosine monophosphate,9AA,negative,0
11,True,True,Logistic_reg,Arginine,9AA,negative,0
12,True,True,Logistic_reg,Argininosuccinic acid,9AA,negative,0
13,False,False,Logistic_reg,3-Hydroxymethylglutaric acid,9AA,negative,0
14,False,True,Logistic_reg,Acetoacetic acid,9AA,negative,0
15,False,True,Logistic_reg,Acetylcarnitine,9AA,negative,0
16,False,True,Logistic_reg,Acetylcholine,9AA,negative,0
17,False,True,Logistic_reg,Agmatine,9AA,negative,0
18,True,True,SVC_poly,2-Oxoglutaric acid,9AA,negative,0
19,True,False,SVC_poly,3-Hydroxyanthranilic acid,9AA,negative,0
20,True,True,SVC_poly,3-Phosphoglyceric acid,9AA,negative,0
21,True,True,SVC_poly,"4,5-Dihydroorotic acid",9AA,negative,0
22,True,False,SVC_poly,4-Hydroxyproline,9AA,negative,0
23,True,False,SVC_poly,5-Hydroxyindoleacetic acid,9AA,negative,0
24,True,True,SVC_poly,6-Phosphogluconic acid,9AA,negative,0
25,True,True,SVC_poly,Acetyl-CoA,9AA,negative,0
26,True,True,SVC_poly,Adenine,9AA,negative,0
27,True,False,SVC_poly,Adenosine diphosphate,9AA,negative,0
28,True,False,SVC_poly,Adenosine monophosphate,9AA,negative,0
29,True,True,SVC_poly,Arginine,9AA,negative,0
30,True,True,SVC_poly,Argininosuccinic acid,9AA,negative,0
31,False,False,SVC_poly,3-Hydroxymethylglutaric acid,9AA,negative,0
32,False,True,SVC_poly,Acetoacetic acid,9AA,negative,0
33,False,True,SVC_poly,Acetylcarnitine,9AA,negative,0
34,False,True,SVC_poly,Acetylcholine,9AA,negative,0
35,False,True,SVC_poly,Agmatine,9AA,negative,0
36,True,True,KNeighbors,2-Oxoglutaric acid,9AA,negative,0
37,True,True,KNeighbors,3-Hydroxyanthranilic acid,9AA,negative,0
38,True,False,KNeighbors,3-Phosphoglyceric acid,9AA,negative,0
39,True,False,KNeighbors,"4,5-Dihydroorotic acid",9AA,negative,0
40,True,True,KNeighbors,4-Hydroxyproline,9AA,negative,0
41,True,True,KNeighbors,5-Hydroxyindoleacetic acid,9AA,negative,0
42,True,False,KNeighbors,6-Phosphogluconic acid,9AA,negative,0
43,True,True,KNeighbors,Acetyl-CoA,9AA,negative,0
44,True,True,KNeighbors,Adenine,9AA,negative,0
45,True,False,KNeighbors,Adenosine diphosphate,9AA,negative,0
46,True,True,KNeighbors,Adenosine monophosphate,9AA,negative,0
47,True,True,KNeighbors,Arginine,9AA,negative,0
48,True,True,KNeighbors,Argininosuccinic acid,9AA,negative,0
49,False,True,KNeighbors,3-Hydroxymethylglutaric acid,9AA,negative,0
50,False,False,KNeighbors,Acetoacetic acid,9AA,negative,0
51,False,True,KNeighbors,Acetylcarnitine,9AA,negative,0
52,False,False,KNeighbors,Acetylcholine,9AA,negative,0
53,False,True,KNeighbors,Agmatine,9AA,negative,0
54,True,False,DecisionTree,2-Oxoglutaric acid,9AA,negative,0
55,True,True,DecisionTree,3-Hydroxyanthranilic acid,9AA,negative,0
56,True,False,DecisionTree,3-Phosphoglyceric acid,9AA,negative,0
57,True,False,DecisionTree,"4,5-Dihydroorotic acid",9AA,negative,0
