Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
1.441183799218317,0.09203329299596945,-0.0066704457622993405,polarizability,NOR,negative
1.395083586028806,0.09203329299596945,-0.0066704457622993405,pka_strongest_basic,NOR,negative
0.8748803690213002,0.21659447665890322,-0.01515630065333593,polarizability,DAN,negative
0.829506589111939,-0.17168722562741087,0.011337269365501994,physiological_charge,DHB,negative
0.8195444310809954,0.09203329299596945,-0.0066704457622993405,acceptor_count,NOR,negative
0.7740234861527484,0.21659447665890322,-0.01515630065333593,donor_count,DAN,negative
0.7663386043924723,0.09203329299596945,-0.0066704457622993405,polar_surface_area,NOR,negative
0.6895085991783576,0.07438447142981604,-0.0054482203333231245,physiological_charge,CMBT,positive
0.6856955975899777,-0.17168722562741087,0.011337269365501994,polar_surface_area,DHB,negative
0.6440406322868821,-0.17168722562741087,0.011337269365501994,1057,DHB,negative
0.6417306452897025,0.09203329299596945,-0.0066704457622993405,1171,NOR,negative
0.6341138208250267,0.09203329299596945,-0.0066704457622993405,pka_strongest_acidic,NOR,negative
0.6311602605111671,0.07438447142981604,-0.0054482203333231245,1564,CMBT,positive
0.6270791022898325,-0.17168722562741087,0.011337269365501994,1873,DHB,negative
0.6013542642256965,0.21659447665890322,-0.01515630065333593,222,DAN,negative
0.5989300548494642,-0.17168722562741087,0.011337269365501994,donor_count,DHB,negative
0.5942503895519152,0.05086923049537144,-0.0046527657620230615,pka_strongest_acidic,9AA,negative
0.5737066660280107,0.009737843842900945,-0.0011100602536070218,acceptor_count,pNA,negative
0.5668950896052753,-0.17168722562741087,0.011337269365501994,1171,DHB,negative
0.5663096945845719,0.07438447142981604,-0.0054482203333231245,1171,CMBT,positive
0.5360989569981368,0.09203329299596945,-0.0066704457622993405,80,NOR,negative
0.5189973552729569,-0.17168722562741087,0.011337269365501994,80,DHB,negative
0.5145903310813704,0.09203329299596945,-0.0066704457622993405,1,NOR,negative
0.5133590805374719,-0.17168722562741087,0.011337269365501994,1,DHB,negative
0.5030197981585023,0.21659447665890322,-0.01515630065333593,1257,DAN,negative
0.49615661765625874,0.21659447665890322,-0.01515630065333593,389,DAN,negative
0.47422343802825323,0.07438447142981604,-0.0054482203333231245,polarizability,CMBT,positive
0.4695618460012704,0.09203329299596945,-0.0066704457622993405,389,NOR,negative
0.46028779850318524,0.21659447665890322,-0.01515630065333593,polar_surface_area,DAN,negative
0.45561237551380473,0.21659447665890322,-0.01515630065333593,physiological_charge,DAN,negative
0.4511950998810528,-0.17168722562741087,0.011337269365501994,pka_strongest_basic,DHB,negative
0.45073586231543245,0.21659447665890322,-0.01515630065333593,1564,DAN,negative
0.44096787599000065,0.06611216320265549,-0.005006697266834522,1873,NOR,positive
0.44025552409147123,-0.17168722562741087,0.011337269365501994,389,DHB,negative
0.42310265519402246,0.06611216320265549,-0.005006697266834522,1564,NOR,positive
0.4120097866480416,0.21659447665890322,-0.01515630065333593,pka_strongest_basic,DAN,negative
0.4101737870669072,0.21659447665890322,-0.01515630065333593,1873,DAN,negative
0.4066486678092308,-0.17168722562741087,0.011337269365501994,1564,DHB,negative
0.4044314283489084,0.21659447665890322,-0.01515630065333593,1487,DAN,negative
0.40367063044047935,0.05694088364360694,-0.003932497685764737,1380,CHCA,positive
0.4014626633535865,0.21659447665890322,-0.01515630065333593,1019,DAN,negative
0.39962999184438786,0.21659447665890322,-0.01515630065333593,1,DAN,negative
0.39853746023268977,0.06611216320265549,-0.005006697266834522,pka_strongest_acidic,NOR,positive
0.39605026827617124,0.07438447142981604,-0.0054482203333231245,1873,CMBT,positive
0.3852330418076457,0.05694088364360694,-0.003932497685764737,80,CHCA,positive
0.3716788521922398,0.05694088364360694,-0.003932497685764737,1564,CHCA,positive
0.3688253129991453,0.132826751229078,-0.009340691353232138,1564,DAN,positive
0.3641084171344642,-0.17168722562741087,0.011337269365501994,1838,DHB,negative
0.35738434479004,0.132826751229078,-0.009340691353232138,1380,DAN,positive
0.3513089019048493,0.009737843842900945,-0.0011100602536070218,physiological_charge,pNA,negative
0.3500746180841375,0.07438447142981604,-0.0054482203333231245,acceptor_count,CMBT,positive
0.34493930317235716,-0.08524026766588651,0.005886676400583118,389,NEDC,negative
0.34438250295987183,0.06611216320265549,-0.005006697266834522,polarizability,NOR,positive
0.33520310694934585,0.21659447665890322,-0.01515630065333593,acceptor_count,DAN,negative
0.33493628575210915,-0.17168722562741087,0.011337269365501994,polarizability,DHB,negative
0.33147657488935567,0.21659447665890322,-0.01515630065333593,1057,DAN,negative
0.32973835480787,0.09203329299596945,-0.0066704457622993405,1917,NOR,negative
0.3273146727034345,0.05694088364360694,-0.003932497685764737,polar_surface_area,CHCA,positive
0.3234272963571839,0.132826751229078,-0.009340691353232138,1,DAN,positive
0.3185954517249258,-0.04862582156147913,0.0036256023499807244,physiological_charge,CMBT,negative
0.31561279238310236,-0.02396147813242467,0.0016470926031816456,pka_strongest_basic,DHAP,negative
0.3124173399153518,0.09203329299596945,-0.0066704457622993405,1844,NOR,negative
0.3098525970294204,0.132826751229078,-0.009340691353232138,donor_count,DAN,positive
