,observed_value,prediction,classifier,name_short,matrix,polarity,fold
0,2,4,Logistic_reg,2-Oxoglutaric acid,9AA,negative,0
1,1,1,Logistic_reg,3-Hydroxyanthranilic acid,9AA,negative,0
2,0,4,Logistic_reg,3-Hydroxymethylglutaric acid,9AA,negative,0
3,3,4,Logistic_reg,3-Phosphoglyceric acid,9AA,negative,0
4,3,4,Logistic_reg,"4,5-Dihydroorotic acid",9AA,negative,0
5,1,1,Logistic_reg,4-Hydroxyproline,9AA,negative,0
6,1,4,Logistic_reg,5-Hydroxyindoleacetic acid,9AA,negative,0
7,3,4,Logistic_reg,6-Phosphogluconic acid,9AA,negative,0
8,0,4,Logistic_reg,Acetylcarnitine,9AA,negative,0
9,1,1,Logistic_reg,Adenine,9AA,negative,0
10,4,1,Logistic_reg,Adenosine diphosphate,9AA,negative,0
11,0,1,Logistic_reg,Agmatine,9AA,negative,0
12,1,1,Logistic_reg,Arginine,9AA,negative,0
13,2,1,Logistic_reg,Argininosuccinic acid,9AA,negative,0
14,2,1,Logistic_reg,Aspartic acid,9AA,negative,0
15,0,4,Logistic_reg,Biotin,9AA,negative,0
16,0,3,Logistic_reg,Carbamoyl phosphate,9AA,negative,0
17,2,0,SVC_rbf,2-Oxoglutaric acid,9AA,negative,0
18,1,3,SVC_rbf,3-Hydroxyanthranilic acid,9AA,negative,0
19,0,4,SVC_rbf,3-Hydroxymethylglutaric acid,9AA,negative,0
20,3,4,SVC_rbf,3-Phosphoglyceric acid,9AA,negative,0
21,3,0,SVC_rbf,"4,5-Dihydroorotic acid",9AA,negative,0
22,1,1,SVC_rbf,4-Hydroxyproline,9AA,negative,0
23,1,2,SVC_rbf,5-Hydroxyindoleacetic acid,9AA,negative,0
24,3,4,SVC_rbf,6-Phosphogluconic acid,9AA,negative,0
25,0,0,SVC_rbf,Acetylcarnitine,9AA,negative,0
26,1,3,SVC_rbf,Adenine,9AA,negative,0
27,4,3,SVC_rbf,Adenosine diphosphate,9AA,negative,0
28,0,1,SVC_rbf,Agmatine,9AA,negative,0
29,1,1,SVC_rbf,Arginine,9AA,negative,0
30,2,1,SVC_rbf,Argininosuccinic acid,9AA,negative,0
31,2,1,SVC_rbf,Aspartic acid,9AA,negative,0
32,0,2,SVC_rbf,Biotin,9AA,negative,0
33,0,0,SVC_rbf,Carbamoyl phosphate,9AA,negative,0
34,2,0,SVC_poly,2-Oxoglutaric acid,9AA,negative,0
35,1,0,SVC_poly,3-Hydroxyanthranilic acid,9AA,negative,0
36,0,4,SVC_poly,3-Hydroxymethylglutaric acid,9AA,negative,0
37,3,4,SVC_poly,3-Phosphoglyceric acid,9AA,negative,0
38,3,0,SVC_poly,"4,5-Dihydroorotic acid",9AA,negative,0
39,1,1,SVC_poly,4-Hydroxyproline,9AA,negative,0
40,1,2,SVC_poly,5-Hydroxyindoleacetic acid,9AA,negative,0
41,3,4,SVC_poly,6-Phosphogluconic acid,9AA,negative,0
42,0,0,SVC_poly,Acetylcarnitine,9AA,negative,0
43,1,0,SVC_poly,Adenine,9AA,negative,0
44,4,0,SVC_poly,Adenosine diphosphate,9AA,negative,0
45,0,1,SVC_poly,Agmatine,9AA,negative,0
46,1,1,SVC_poly,Arginine,9AA,negative,0
47,2,1,SVC_poly,Argininosuccinic acid,9AA,negative,0
48,2,1,SVC_poly,Aspartic acid,9AA,negative,0
49,0,4,SVC_poly,Biotin,9AA,negative,0
50,0,4,SVC_poly,Carbamoyl phosphate,9AA,negative,0
51,2,0,KNeighbors,2-Oxoglutaric acid,9AA,negative,0
52,1,2,KNeighbors,3-Hydroxyanthranilic acid,9AA,negative,0
53,0,0,KNeighbors,3-Hydroxymethylglutaric acid,9AA,negative,0
54,3,3,KNeighbors,3-Phosphoglyceric acid,9AA,negative,0
55,3,0,KNeighbors,"4,5-Dihydroorotic acid",9AA,negative,0
56,1,0,KNeighbors,4-Hydroxyproline,9AA,negative,0
57,1,2,KNeighbors,5-Hydroxyindoleacetic acid,9AA,negative,0
58,3,4,KNeighbors,6-Phosphogluconic acid,9AA,negative,0
59,0,0,KNeighbors,Acetylcarnitine,9AA,negative,0
60,1,0,KNeighbors,Adenine,9AA,negative,0
61,4,3,KNeighbors,Adenosine diphosphate,9AA,negative,0
62,0,1,KNeighbors,Agmatine,9AA,negative,0
63,1,1,KNeighbors,Arginine,9AA,negative,0
64,2,1,KNeighbors,Argininosuccinic acid,9AA,negative,0
65,2,4,KNeighbors,Aspartic acid,9AA,negative,0
66,0,4,KNeighbors,Biotin,9AA,negative,0
67,0,0,KNeighbors,Carbamoyl phosphate,9AA,negative,0
68,2,0,DecisionTree,2-Oxoglutaric acid,9AA,negative,0
69,1,3,DecisionTree,3-Hydroxyanthranilic acid,9AA,negative,0
70,0,2,DecisionTree,3-Hydroxymethylglutaric acid,9AA,negative,0
71,3,4,DecisionTree,3-Phosphoglyceric acid,9AA,negative,0
72,3,0,DecisionTree,"4,5-Dihydroorotic acid",9AA,negative,0
73,1,0,DecisionTree,4-Hydroxyproline,9AA,negative,0
74,1,4,DecisionTree,5-Hydroxyindoleacetic acid,9AA,negative,0
75,3,4,DecisionTree,6-Phosphogluconic acid,9AA,negative,0
76,0,0,DecisionTree,Acetylcarnitine,9AA,negative,0
77,1,0,DecisionTree,Adenine,9AA,negative,0
78,4,3,DecisionTree,Adenosine diphosphate,9AA,negative,0
79,0,1,DecisionTree,Agmatine,9AA,negative,0
80,1,1,DecisionTree,Arginine,9AA,negative,0
81,2,1,DecisionTree,Argininosuccinic acid,9AA,negative,0
82,2,4,DecisionTree,Aspartic acid,9AA,negative,0
83,0,2,DecisionTree,Biotin,9AA,negative,0
84,0,2,DecisionTree,Carbamoyl phosphate,9AA,negative,0
85,2,0,RandomForest,2-Oxoglutaric acid,9AA,negative,0
86,1,3,RandomForest,3-Hydroxyanthranilic acid,9AA,negative,0
87,0,2,RandomForest,3-Hydroxymethylglutaric acid,9AA,negative,0
88,3,3,RandomForest,3-Phosphoglyceric acid,9AA,negative,0
89,3,0,RandomForest,"4,5-Dihydroorotic acid",9AA,negative,0
90,1,1,RandomForest,4-Hydroxyproline,9AA,negative,0
91,1,2,RandomForest,5-Hydroxyindoleacetic acid,9AA,negative,0
92,3,4,RandomForest,6-Phosphogluconic acid,9AA,negative,0
93,0,0,RandomForest,Acetylcarnitine,9AA,negative,0
94,1,4,RandomForest,Adenine,9AA,negative,0
95,4,3,RandomForest,Adenosine diphosphate,9AA,negative,0
96,0,1,RandomForest,Agmatine,9AA,negative,0
97,1,1,RandomForest,Arginine,9AA,negative,0
98,2,1,RandomForest,Argininosuccinic acid,9AA,negative,0
99,2,4,RandomForest,Aspartic acid,9AA,negative,0
100,0,4,RandomForest,Biotin,9AA,negative,0
101,0,0,RandomForest,Carbamoyl phosphate,9AA,negative,0
102,2,0,MLP,2-Oxoglutaric acid,9AA,negative,0
103,1,3,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
104,0,4,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
105,3,2,MLP,3-Phosphoglyceric acid,9AA,negative,0
106,3,0,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
107,1,1,MLP,4-Hydroxyproline,9AA,negative,0
108,1,0,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
109,3,4,MLP,6-Phosphogluconic acid,9AA,negative,0
110,0,0,MLP,Acetylcarnitine,9AA,negative,0
111,1,3,MLP,Adenine,9AA,negative,0
112,4,3,MLP,Adenosine diphosphate,9AA,negative,0
113,0,1,MLP,Agmatine,9AA,negative,0
114,1,1,MLP,Arginine,9AA,negative,0
115,2,1,MLP,Argininosuccinic acid,9AA,negative,0
116,2,1,MLP,Aspartic acid,9AA,negative,0
117,0,4,MLP,Biotin,9AA,negative,0
118,0,4,MLP,Carbamoyl phosphate,9AA,negative,0
0,0,4,Logistic_reg,Acetoacetic acid,9AA,negative,1
1,3,1,Logistic_reg,Acetyl-CoA,9AA,negative,1
2,4,1,Logistic_reg,Adenosine monophosphate,9AA,negative,1
3,1,4,Logistic_reg,Ascorbic acid,9AA,negative,1
4,1,1,Logistic_reg,Asparagine,9AA,negative,1
5,0,3,Logistic_reg,Butyric acid,9AA,negative,1
6,0,4,Logistic_reg,CAR 16:0,9AA,negative,1
7,1,4,Logistic_reg,Cardiolipin 18:1,9AA,negative,1
8,3,1,Logistic_reg,Carnosine,9AA,negative,1
9,1,0,Logistic_reg,Cer d8:1/22:0 Cer,9AA,negative,1
10,0,4,Logistic_reg,Cholecalciferol,9AA,negative,1
11,2,3,Logistic_reg,Cholic acid,9AA,negative,1
12,3,4,Logistic_reg,Citric acid,9AA,negative,1
13,1,1,Logistic_reg,Citrulline,9AA,negative,1
14,2,4,Logistic_reg,Dihydroxyacetone phosphate,9AA,negative,1
15,2,4,Logistic_reg,Gluconic acid,9AA,negative,1
16,0,1,Logistic_reg,Glucosamine,9AA,negative,1
17,0,0,SVC_rbf,Acetoacetic acid,9AA,negative,1
18,3,3,SVC_rbf,Acetyl-CoA,9AA,negative,1
19,4,3,SVC_rbf,Adenosine monophosphate,9AA,negative,1
20,1,4,SVC_rbf,Ascorbic acid,9AA,negative,1
21,1,1,SVC_rbf,Asparagine,9AA,negative,1
22,0,0,SVC_rbf,Butyric acid,9AA,negative,1
23,0,0,SVC_rbf,CAR 16:0,9AA,negative,1
24,1,4,SVC_rbf,Cardiolipin 18:1,9AA,negative,1
25,3,1,SVC_rbf,Carnosine,9AA,negative,1
26,1,0,SVC_rbf,Cer d8:1/22:0 Cer,9AA,negative,1
27,0,0,SVC_rbf,Cholecalciferol,9AA,negative,1
28,2,0,SVC_rbf,Cholic acid,9AA,negative,1
29,3,4,SVC_rbf,Citric acid,9AA,negative,1
30,1,1,SVC_rbf,Citrulline,9AA,negative,1
31,2,4,SVC_rbf,Dihydroxyacetone phosphate,9AA,negative,1
32,2,4,SVC_rbf,Gluconic acid,9AA,negative,1
33,0,1,SVC_rbf,Glucosamine,9AA,negative,1
34,0,0,SVC_poly,Acetoacetic acid,9AA,negative,1
35,3,0,SVC_poly,Acetyl-CoA,9AA,negative,1
36,4,0,SVC_poly,Adenosine monophosphate,9AA,negative,1
37,1,4,SVC_poly,Ascorbic acid,9AA,negative,1
38,1,1,SVC_poly,Asparagine,9AA,negative,1
39,0,4,SVC_poly,Butyric acid,9AA,negative,1
40,0,0,SVC_poly,CAR 16:0,9AA,negative,1
41,1,4,SVC_poly,Cardiolipin 18:1,9AA,negative,1
42,3,1,SVC_poly,Carnosine,9AA,negative,1
43,1,4,SVC_poly,Cer d8:1/22:0 Cer,9AA,negative,1
44,0,4,SVC_poly,Cholecalciferol,9AA,negative,1
45,2,4,SVC_poly,Cholic acid,9AA,negative,1
46,3,4,SVC_poly,Citric acid,9AA,negative,1
47,1,1,SVC_poly,Citrulline,9AA,negative,1
