,name_short,adduct,matrix,polarity,observed_value,prediction,fold,model_type
0,2-Oxoglutaric acid,+Cl,9AA,negative,False,0.37744852900505066,0.0,NN
1,2-Oxoglutaric acid,+Cl,9AA,positive,False,0.4353208839893341,0.0,NN
2,2-Oxoglutaric acid,+Cl,CHCA,negative,False,0.046628110110759735,0.0,NN
3,2-Oxoglutaric acid,+Cl,CHCA,positive,False,0.6276238560676575,0.0,NN
4,2-Oxoglutaric acid,+Cl,CMBT,negative,False,0.4723629653453827,0.0,NN
5,2-Oxoglutaric acid,+Cl,CMBT,positive,False,0.5531952977180481,0.0,NN
6,2-Oxoglutaric acid,+Cl,ClCCA,negative,False,0.06729526817798615,0.0,NN
7,2-Oxoglutaric acid,+Cl,ClCCA,positive,False,0.6009846925735474,0.0,NN
8,2-Oxoglutaric acid,+Cl,DAN,negative,False,0.2880023717880249,0.0,NN
9,2-Oxoglutaric acid,+Cl,DAN,positive,False,0.5009174346923828,0.0,NN
10,2-Oxoglutaric acid,+Cl,DHAP,negative,False,0.1314789056777954,0.0,NN
11,2-Oxoglutaric acid,+Cl,DHAP,positive,False,0.5584942102432251,0.0,NN
12,2-Oxoglutaric acid,+Cl,DHB,negative,False,0.07329584658145905,0.0,NN
13,2-Oxoglutaric acid,+Cl,DHB,positive,False,0.5954781770706177,0.0,NN
14,2-Oxoglutaric acid,+Cl,MAPS,negative,False,0.09032780677080154,0.0,NN
15,2-Oxoglutaric acid,+Cl,MAPS,positive,False,0.4129931628704071,0.0,NN
16,2-Oxoglutaric acid,+Cl,NEDC,negative,False,0.4321008622646332,0.0,NN
17,2-Oxoglutaric acid,+Cl,NEDC,positive,False,0.3522803485393524,0.0,NN
18,2-Oxoglutaric acid,+Cl,NOR,negative,False,0.2517121732234955,0.0,NN
19,2-Oxoglutaric acid,+Cl,NOR,positive,False,0.4069698452949524,0.0,NN
20,2-Oxoglutaric acid,+Cl,pNA,negative,False,0.19223029911518097,0.0,NN
21,2-Oxoglutaric acid,+Cl,pNA,positive,False,0.544139564037323,0.0,NN
22,2-Oxoglutaric acid,+H,9AA,negative,False,0.21975228190422058,0.0,NN
23,2-Oxoglutaric acid,+H,9AA,positive,False,0.5172621011734009,0.0,NN
24,2-Oxoglutaric acid,+H,CHCA,negative,False,0.1310192048549652,0.0,NN
25,2-Oxoglutaric acid,+H,CHCA,positive,False,0.8447763323783875,0.0,NN
26,2-Oxoglutaric acid,+H,CMBT,negative,False,0.5076623558998108,0.0,NN
27,2-Oxoglutaric acid,+H,CMBT,positive,False,0.7890259027481079,0.0,NN
28,2-Oxoglutaric acid,+H,ClCCA,negative,False,0.12387750297784805,0.0,NN
29,2-Oxoglutaric acid,+H,ClCCA,positive,False,0.8826507925987244,0.0,NN
30,2-Oxoglutaric acid,+H,DAN,negative,False,0.21876701712608337,0.0,NN
31,2-Oxoglutaric acid,+H,DAN,positive,False,0.6290852427482605,0.0,NN
32,2-Oxoglutaric acid,+H,DHAP,negative,False,0.09237781167030334,0.0,NN
33,2-Oxoglutaric acid,+H,DHAP,positive,False,0.7861471772193909,0.0,NN
34,2-Oxoglutaric acid,+H,DHB,negative,False,0.19313018023967743,0.0,NN
35,2-Oxoglutaric acid,+H,DHB,positive,False,0.8833624720573425,0.0,NN
36,2-Oxoglutaric acid,+H,MAPS,negative,False,0.13574598729610443,0.0,NN
37,2-Oxoglutaric acid,+H,MAPS,positive,False,0.5960174202919006,0.0,NN
38,2-Oxoglutaric acid,+H,NEDC,negative,False,0.31370553374290466,0.0,NN
39,2-Oxoglutaric acid,+H,NEDC,positive,False,0.5913646817207336,0.0,NN
40,2-Oxoglutaric acid,+H,NOR,negative,False,0.360781729221344,0.0,NN
41,2-Oxoglutaric acid,+H,NOR,positive,False,0.4371054470539093,0.0,NN
42,2-Oxoglutaric acid,+H,pNA,negative,False,0.23723465204238892,0.0,NN
43,2-Oxoglutaric acid,+H,pNA,positive,False,0.6835513114929199,0.0,NN
44,2-Oxoglutaric acid,+K,9AA,negative,False,0.3063242733478546,0.0,NN
45,2-Oxoglutaric acid,+K,9AA,positive,False,0.3858864903450012,0.0,NN
46,2-Oxoglutaric acid,+K,CHCA,negative,False,0.30238351225852966,0.0,NN
47,2-Oxoglutaric acid,+K,CHCA,positive,False,0.7037009596824646,0.0,NN
48,2-Oxoglutaric acid,+K,CMBT,negative,False,0.5876333117485046,0.0,NN
49,2-Oxoglutaric acid,+K,CMBT,positive,False,0.6063158512115479,0.0,NN
