,name_short,adduct,matrix,polarity,observed_value,prediction,fold,model_type
0,2-Oxoglutaric acid,+K,9AA,negative,-1.0,513799.71875,0.0,NN
1,2-Oxoglutaric acid,+K,9AA,positive,0.0,-330763.5625,0.0,NN
2,2-Oxoglutaric acid,+K,CHCA,negative,-1.0,-297542.9375,0.0,NN
3,2-Oxoglutaric acid,+K,CHCA,positive,0.0,687729.875,0.0,NN
4,2-Oxoglutaric acid,+K,CMBT,negative,-1.0,-434390.375,0.0,NN
5,2-Oxoglutaric acid,+K,CMBT,positive,0.0,73284.796875,0.0,NN
6,2-Oxoglutaric acid,+K,ClCCA,negative,-1.0,-244251.53125,0.0,NN
7,2-Oxoglutaric acid,+K,ClCCA,positive,0.0,281750.4375,0.0,NN
8,2-Oxoglutaric acid,+K,DAN,negative,-1.0,190295.09375,0.0,NN
9,2-Oxoglutaric acid,+K,DAN,positive,1.1097631924718043,-229864.734375,0.0,NN
10,2-Oxoglutaric acid,+K,DHAP,negative,-1.0,84202.7578125,0.0,NN
11,2-Oxoglutaric acid,+K,DHAP,positive,0.0,2061.378662109375,0.0,NN
12,2-Oxoglutaric acid,+K,DHB,negative,-1.0,194064.890625,0.0,NN
13,2-Oxoglutaric acid,+K,DHB,positive,0.0,594235.5,0.0,NN
14,2-Oxoglutaric acid,+K,MAPS,negative,-1.0,-288431.5,0.0,NN
15,2-Oxoglutaric acid,+K,MAPS,positive,0.0,-586138.8125,0.0,NN
16,2-Oxoglutaric acid,+K,NEDC,negative,-1.0,-160453.625,0.0,NN
17,2-Oxoglutaric acid,+K,NEDC,positive,0.0,-385043.09375,0.0,NN
18,2-Oxoglutaric acid,+K,NOR,negative,-1.0,90344.84375,0.0,NN
19,2-Oxoglutaric acid,+K,NOR,positive,-1.0,-372271.03125,0.0,NN
20,2-Oxoglutaric acid,+K,pNA,negative,-1.0,352823.6875,0.0,NN
21,2-Oxoglutaric acid,+K,pNA,positive,0.0,265093.0625,0.0,NN
22,2-Oxoglutaric acid,+Na,9AA,negative,-1.0,514491.8125,0.0,NN
23,2-Oxoglutaric acid,+Na,9AA,positive,0.0,-332020.125,0.0,NN
