,name_short,adduct,matrix,polarity,observed_value,prediction,fold,model_type
0,2-Oxoglutaric acid,+K,9AA,negative,-1.0,-1.102674961090088,0.0,NN
1,2-Oxoglutaric acid,+K,9AA,positive,0.0,-3.2871921062469482,0.0,NN
2,2-Oxoglutaric acid,+K,CHCA,negative,-1.0,0.8014970421791077,0.0,NN
3,2-Oxoglutaric acid,+K,CHCA,positive,0.0,4.277778148651123,0.0,NN
4,2-Oxoglutaric acid,+K,CMBT,negative,-1.0,0.9403954744338989,0.0,NN
5,2-Oxoglutaric acid,+K,CMBT,positive,0.0,0.41394633054733276,0.0,NN
6,2-Oxoglutaric acid,+K,ClCCA,negative,-1.0,0.7780312299728394,0.0,NN
7,2-Oxoglutaric acid,+K,ClCCA,positive,0.0,2.2625041007995605,0.0,NN
8,2-Oxoglutaric acid,+K,DAN,negative,-1.0,-1.3484164476394653,0.0,NN
9,2-Oxoglutaric acid,+K,DAN,positive,1.1097631924718043,-0.1476171612739563,0.0,NN
10,2-Oxoglutaric acid,+K,DHAP,negative,-1.0,0.10164535045623779,0.0,NN
11,2-Oxoglutaric acid,+K,DHAP,positive,0.0,0.10848528891801834,0.0,NN
12,2-Oxoglutaric acid,+K,DHB,negative,-1.0,0.8580639362335205,0.0,NN
13,2-Oxoglutaric acid,+K,DHB,positive,0.0,3.443896770477295,0.0,NN
14,2-Oxoglutaric acid,+K,MAPS,negative,-1.0,0.30248627066612244,0.0,NN
15,2-Oxoglutaric acid,+K,MAPS,positive,0.0,-4.728057861328125,0.0,NN
16,2-Oxoglutaric acid,+K,NEDC,negative,-1.0,0.8991753458976746,0.0,NN
17,2-Oxoglutaric acid,+K,NEDC,positive,0.0,-3.0037388801574707,0.0,NN
18,2-Oxoglutaric acid,+K,NOR,negative,-1.0,-0.9668052792549133,0.0,NN
19,2-Oxoglutaric acid,+K,NOR,positive,-1.0,-0.8065544366836548,0.0,NN
20,2-Oxoglutaric acid,+K,pNA,negative,-1.0,0.027591653168201447,0.0,NN
21,2-Oxoglutaric acid,+K,pNA,positive,0.0,1.5216937065124512,0.0,NN
22,2-Oxoglutaric acid,+Na,9AA,negative,-1.0,-0.6579387187957764,0.0,NN
23,2-Oxoglutaric acid,+Na,9AA,positive,0.0,-2.615790605545044,0.0,NN
24,2-Oxoglutaric acid,+Na,CHCA,negative,-1.0,0.0918889045715332,0.0,NN
25,2-Oxoglutaric acid,+Na,CHCA,positive,1.8658773134081028,3.407872200012207,0.0,NN
26,2-Oxoglutaric acid,+Na,CMBT,negative,-1.0,1.002479076385498,0.0,NN
27,2-Oxoglutaric acid,+Na,CMBT,positive,0.0,0.5161707997322083,0.0,NN
28,2-Oxoglutaric acid,+Na,ClCCA,negative,-1.0,1.0368973016738892,0.0,NN
29,2-Oxoglutaric acid,+Na,ClCCA,positive,1.7450050332870481,1.158594012260437,0.0,NN
30,2-Oxoglutaric acid,+Na,DAN,negative,-1.0,-0.9350748062133789,0.0,NN
31,2-Oxoglutaric acid,+Na,DAN,positive,1.9047747091393665,0.505447506904602,0.0,NN
32,2-Oxoglutaric acid,+Na,DHAP,negative,-1.0,0.23734703660011292,0.0,NN
33,2-Oxoglutaric acid,+Na,DHAP,positive,1.8915025844883329,-0.061166465282440186,0.0,NN
34,2-Oxoglutaric acid,+Na,DHB,negative,-1.0,1.1670968532562256,0.0,NN
35,2-Oxoglutaric acid,+Na,DHB,positive,2.3254037093264714,3.7182722091674805,0.0,NN
36,2-Oxoglutaric acid,+Na,MAPS,negative,-1.0,0.4691981375217438,0.0,NN
37,2-Oxoglutaric acid,+Na,MAPS,positive,0.0,-4.839396953582764,0.0,NN
38,2-Oxoglutaric acid,+Na,NEDC,negative,-1.0,1.184314489364624,0.0,NN
39,2-Oxoglutaric acid,+Na,NEDC,positive,0.0,-3.3034324645996094,0.0,NN
40,2-Oxoglutaric acid,+Na,NOR,negative,-1.0,-0.8557971119880676,0.0,NN
41,2-Oxoglutaric acid,+Na,NOR,positive,0.0,0.3211503028869629,0.0,NN
42,2-Oxoglutaric acid,+Na,pNA,negative,-1.0,-0.36834362149238586,0.0,NN
43,2-Oxoglutaric acid,+Na,pNA,positive,0.0,1.0315327644348145,0.0,NN
44,2-Oxoglutaric acid,-H,9AA,negative,4.814306627793246,3.599010944366455,0.0,NN
45,2-Oxoglutaric acid,-H,9AA,positive,-1.0,1.7099850177764893,0.0,NN
46,2-Oxoglutaric acid,-H,CHCA,negative,3.173298237829419,0.5394197702407837,0.0,NN
47,2-Oxoglutaric acid,-H,CHCA,positive,-1.0,-0.2650776505470276,0.0,NN
48,2-Oxoglutaric acid,-H,CMBT,negative,2.9444915060048995,-1.3547242879867554,0.0,NN
49,2-Oxoglutaric acid,-H,CMBT,positive,-1.0,-0.5433703660964966,0.0,NN
50,2-Oxoglutaric acid,-H,ClCCA,negative,1.9534134708215005,-1.7795226573944092,0.0,NN
51,2-Oxoglutaric acid,-H,ClCCA,positive,-1.0,-0.2157282829284668,0.0,NN
52,2-Oxoglutaric acid,-H,DAN,negative,3.829526267622287,1.6492239236831665,0.0,NN
53,2-Oxoglutaric acid,-H,DAN,positive,-1.0,-0.37152498960494995,0.0,NN
54,2-Oxoglutaric acid,-H,DHAP,negative,3.174233810631274,-0.7697041034698486,0.0,NN
55,2-Oxoglutaric acid,-H,DHAP,positive,-1.0,-0.7248144745826721,0.0,NN
56,2-Oxoglutaric acid,-H,DHB,negative,2.9691741219692886,-0.4738890528678894,0.0,NN
57,2-Oxoglutaric acid,-H,DHB,positive,-1.0,-1.2249407768249512,0.0,NN
