,name_short,adduct,matrix,polarity,observed_value,prediction,fold,model_type
0,2-Oxoglutaric acid,+K,9AA,negative,-1.0,3.224536895751953,0.0,NN
1,2-Oxoglutaric acid,+K,9AA,positive,0.0,0.04117482900619507,0.0,NN
2,2-Oxoglutaric acid,+K,CHCA,negative,-1.0,0.8477341532707214,0.0,NN
3,2-Oxoglutaric acid,+K,CHCA,positive,0.0,-0.19476526975631714,0.0,NN
4,2-Oxoglutaric acid,+K,CMBT,negative,-1.0,-1.5174322128295898,0.0,NN
5,2-Oxoglutaric acid,+K,CMBT,positive,0.0,-0.1390695869922638,0.0,NN
6,2-Oxoglutaric acid,+K,ClCCA,negative,-1.0,-1.7694182395935059,0.0,NN
7,2-Oxoglutaric acid,+K,ClCCA,positive,0.0,-0.04360136389732361,0.0,NN
8,2-Oxoglutaric acid,+K,DAN,negative,-1.0,-3.548609495162964,0.0,NN
9,2-Oxoglutaric acid,+K,DAN,positive,1.1097631924718043,0.19196026027202606,0.0,NN
10,2-Oxoglutaric acid,+K,DHAP,negative,-1.0,-1.3797353506088257,0.0,NN
11,2-Oxoglutaric acid,+K,DHAP,positive,0.0,-0.5235954523086548,0.0,NN
12,2-Oxoglutaric acid,+K,DHB,negative,-1.0,-1.583890676498413,0.0,NN
13,2-Oxoglutaric acid,+K,DHB,positive,0.0,0.6717974543571472,0.0,NN
14,2-Oxoglutaric acid,+K,MAPS,negative,-1.0,-1.697788953781128,0.0,NN
15,2-Oxoglutaric acid,+K,MAPS,positive,0.0,-0.16301415860652924,0.0,NN
16,2-Oxoglutaric acid,+K,NEDC,negative,-1.0,2.7566957473754883,0.0,NN
17,2-Oxoglutaric acid,+K,NEDC,positive,0.0,-0.05202653259038925,0.0,NN
18,2-Oxoglutaric acid,+K,NOR,negative,-1.0,1.5734971761703491,0.0,NN
19,2-Oxoglutaric acid,+K,NOR,positive,-1.0,1.3373875617980957,0.0,NN
20,2-Oxoglutaric acid,+K,pNA,negative,-1.0,-0.8637782335281372,0.0,NN
21,2-Oxoglutaric acid,+K,pNA,positive,0.0,-0.6965932250022888,0.0,NN
22,2-Oxoglutaric acid,+Na,9AA,negative,-1.0,5.613323211669922,0.0,NN
23,2-Oxoglutaric acid,+Na,9AA,positive,0.0,-0.40568527579307556,0.0,NN
24,2-Oxoglutaric acid,+Na,CHCA,negative,-1.0,0.4844297468662262,0.0,NN
25,2-Oxoglutaric acid,+Na,CHCA,positive,1.8658773134081028,-0.28857579827308655,0.0,NN
26,2-Oxoglutaric acid,+Na,CMBT,negative,-1.0,-1.959879994392395,0.0,NN
27,2-Oxoglutaric acid,+Na,CMBT,positive,0.0,0.6081797480583191,0.0,NN
28,2-Oxoglutaric acid,+Na,ClCCA,negative,-1.0,-2.3880577087402344,0.0,NN
29,2-Oxoglutaric acid,+Na,ClCCA,positive,1.7450050332870481,0.059139132499694824,0.0,NN
30,2-Oxoglutaric acid,+Na,DAN,negative,-1.0,-2.9456472396850586,0.0,NN
31,2-Oxoglutaric acid,+Na,DAN,positive,1.9047747091393665,0.17121681571006775,0.0,NN
32,2-Oxoglutaric acid,+Na,DHAP,negative,-1.0,-1.8507535457611084,0.0,NN
33,2-Oxoglutaric acid,+Na,DHAP,positive,1.8915025844883326,-0.45968300104141235,0.0,NN
34,2-Oxoglutaric acid,+Na,DHB,negative,-1.0,-1.982499599456787,0.0,NN
35,2-Oxoglutaric acid,+Na,DHB,positive,2.3254037093264714,0.6274781823158264,0.0,NN
36,2-Oxoglutaric acid,+Na,MAPS,negative,-1.0,-3.0307793617248535,0.0,NN
