,name_short,adduct,matrix,polarity,observed_value,prediction,fold,model_type
0,2-Oxoglutaric acid,+K,9AA,negative,-1.0,0.6108152270317078,0.0,NN
1,2-Oxoglutaric acid,+K,9AA,positive,0.0,-0.6472123861312866,0.0,NN
2,2-Oxoglutaric acid,+K,CHCA,negative,-1.0,-1.1818963289260864,0.0,NN
3,2-Oxoglutaric acid,+K,CHCA,positive,0.0,-0.4639456272125244,0.0,NN
4,2-Oxoglutaric acid,+K,CMBT,negative,-1.0,1.069864273071289,0.0,NN
5,2-Oxoglutaric acid,+K,CMBT,positive,0.0,0.05166133493185043,0.0,NN
6,2-Oxoglutaric acid,+K,ClCCA,negative,-1.0,2.02182936668396,0.0,NN
7,2-Oxoglutaric acid,+K,ClCCA,positive,0.0,-0.8432222604751587,0.0,NN
8,2-Oxoglutaric acid,+K,DAN,negative,-1.0,-0.42573708295822144,0.0,NN
9,2-Oxoglutaric acid,+K,DAN,positive,1.1097631924718043,0.6636108160018921,0.0,NN
10,2-Oxoglutaric acid,+K,DHAP,negative,-1.0,0.04898419976234436,0.0,NN
11,2-Oxoglutaric acid,+K,DHAP,positive,0.0,0.6652413010597229,0.0,NN
12,2-Oxoglutaric acid,+K,DHB,negative,-1.0,0.4376486539840698,0.0,NN
13,2-Oxoglutaric acid,+K,DHB,positive,0.0,0.240968719124794,0.0,NN
14,2-Oxoglutaric acid,+K,MAPS,negative,-1.0,1.960591197013855,0.0,NN
15,2-Oxoglutaric acid,+K,MAPS,positive,0.0,-0.41613978147506714,0.0,NN
16,2-Oxoglutaric acid,+K,NEDC,negative,-1.0,2.006242275238037,0.0,NN
17,2-Oxoglutaric acid,+K,NEDC,positive,0.0,0.7795659303665161,0.0,NN
18,2-Oxoglutaric acid,+K,NOR,negative,-1.0,-3.049558162689209,0.0,NN
19,2-Oxoglutaric acid,+K,NOR,positive,-1.0,0.0892753005027771,0.0,NN
20,2-Oxoglutaric acid,+K,pNA,negative,-1.0,-0.10244595259428024,0.0,NN
21,2-Oxoglutaric acid,+K,pNA,positive,0.0,0.7013071775436401,0.0,NN
22,2-Oxoglutaric acid,+Na,9AA,negative,-1.0,1.9620840549468994,0.0,NN
23,2-Oxoglutaric acid,+Na,9AA,positive,0.0,0.10460393130779266,0.0,NN
24,2-Oxoglutaric acid,+Na,CHCA,negative,-1.0,0.11587360501289368,0.0,NN
25,2-Oxoglutaric acid,+Na,CHCA,positive,1.8658773134081028,-0.34178054332733154,0.0,NN
26,2-Oxoglutaric acid,+Na,CMBT,negative,-1.0,-0.08736197650432587,0.0,NN
27,2-Oxoglutaric acid,+Na,CMBT,positive,0.0,0.2361612170934677,0.0,NN
28,2-Oxoglutaric acid,+Na,ClCCA,negative,-1.0,-1.081314206123352,0.0,NN
29,2-Oxoglutaric acid,+Na,ClCCA,positive,1.7450050332870481,-0.17111849784851074,0.0,NN
30,2-Oxoglutaric acid,+Na,DAN,negative,-1.0,0.753592312335968,0.0,NN
31,2-Oxoglutaric acid,+Na,DAN,positive,1.9047747091393665,-0.09084460884332657,0.0,NN
32,2-Oxoglutaric acid,+Na,DHAP,negative,-1.0,-0.814795970916748,0.0,NN
33,2-Oxoglutaric acid,+Na,DHAP,positive,1.8915025844883326,0.3077032268047333,0.0,NN
34,2-Oxoglutaric acid,+Na,DHB,negative,-1.0,-1.256644368171692,0.0,NN
35,2-Oxoglutaric acid,+Na,DHB,positive,2.3254037093264714,0.001836514798924327,0.0,NN
36,2-Oxoglutaric acid,+Na,MAPS,negative,-1.0,-1.1247509717941284,0.0,NN
37,2-Oxoglutaric acid,+Na,MAPS,positive,0.0,0.07985679805278778,0.0,NN
38,2-Oxoglutaric acid,+Na,NEDC,negative,-1.0,-0.47985589504241943,0.0,NN
39,2-Oxoglutaric acid,+Na,NEDC,positive,0.0,0.4208138585090637,0.0,NN
40,2-Oxoglutaric acid,+Na,NOR,negative,-1.0,0.5839760303497314,0.0,NN
41,2-Oxoglutaric acid,+Na,NOR,positive,0.0,0.26398682594299316,0.0,NN
42,2-Oxoglutaric acid,+Na,pNA,negative,-1.0,-0.13405358791351318,0.0,NN
43,2-Oxoglutaric acid,+Na,pNA,positive,0.0,0.0798996239900589,0.0,NN
44,2-Oxoglutaric acid,-H,9AA,negative,4.814306627793246,12.098569869995117,0.0,NN
45,2-Oxoglutaric acid,-H,9AA,positive,-1.0,0.5398697853088379,0.0,NN
46,2-Oxoglutaric acid,-H,CHCA,negative,3.173298237829419,-2.8793559074401855,0.0,NN
47,2-Oxoglutaric acid,-H,CHCA,positive,-1.0,0.41562265157699585,0.0,NN
48,2-Oxoglutaric acid,-H,CMBT,negative,2.9444915060048995,-6.226082801818848,0.0,NN
49,2-Oxoglutaric acid,-H,CMBT,positive,-1.0,-0.042105767875909805,0.0,NN
50,2-Oxoglutaric acid,-H,ClCCA,negative,1.9534134708215005,-10.32620620727539,0.0,NN
51,2-Oxoglutaric acid,-H,ClCCA,positive,-1.0,0.7770397067070007,0.0,NN
52,2-Oxoglutaric acid,-H,DAN,negative,3.829526267622287,4.412453651428223,0.0,NN
53,2-Oxoglutaric acid,-H,DAN,positive,-1.0,0.33573129773139954,0.0,NN
54,2-Oxoglutaric acid,-H,DHAP,negative,3.174233810631274,-4.022647857666016,0.0,NN
55,2-Oxoglutaric acid,-H,DHAP,positive,-1.0,1.432170033454895,0.0,NN
56,2-Oxoglutaric acid,-H,DHB,negative,2.9691741219692886,-5.621058940887451,0.0,NN
57,2-Oxoglutaric acid,-H,DHB,positive,-1.0,0.30050310492515564,0.0,NN
58,2-Oxoglutaric acid,-H,MAPS,negative,2.590950985182533,-11.87468433380127,0.0,NN
59,2-Oxoglutaric acid,-H,MAPS,positive,-1.0,-0.10521170496940613,0.0,NN
60,2-Oxoglutaric acid,-H,NEDC,negative,-1.0,-7.266201496124268,0.0,NN
61,2-Oxoglutaric acid,-H,NEDC,positive,-1.0,0.3011486530303955,0.0,NN
62,2-Oxoglutaric acid,-H,NOR,negative,4.565696544556646,2.9298095703125,0.0,NN
63,2-Oxoglutaric acid,-H,NOR,positive,-1.0,-0.625062108039856,0.0,NN
64,2-Oxoglutaric acid,-H,pNA,negative,3.7901349791674126,-0.764470100402832,0.0,NN
65,2-Oxoglutaric acid,-H,pNA,positive,-1.0,-1.1078776121139526,0.0,NN
66,3-Hydroxyanthranilic acid,+Cl,9AA,negative,1.6294718842906937,14.040264129638672,0.0,NN
67,3-Hydroxyanthranilic acid,+Cl,9AA,positive,-1.0,1.0776604413986206,0.0,NN
68,3-Hydroxyanthranilic acid,+Cl,CHCA,negative,0.0,-4.143989562988281,0.0,NN
69,3-Hydroxyanthranilic acid,+Cl,CHCA,positive,-1.0,-0.1897929608821869,0.0,NN
70,3-Hydroxyanthranilic acid,+Cl,CMBT,negative,0.0,-5.410679340362549,0.0,NN
71,3-Hydroxyanthranilic acid,+Cl,CMBT,positive,-1.0,0.10077038407325745,0.0,NN
72,3-Hydroxyanthranilic acid,+Cl,ClCCA,negative,0.0,-11.716691970825195,0.0,NN
73,3-Hydroxyanthranilic acid,+Cl,ClCCA,positive,-1.0,0.7598730325698853,0.0,NN
74,3-Hydroxyanthranilic acid,+Cl,DAN,negative,0.0,4.905698776245117,0.0,NN
75,3-Hydroxyanthranilic acid,+Cl,DAN,positive,-1.0,0.1467907726764679,0.0,NN
76,3-Hydroxyanthranilic acid,+Cl,DHAP,negative,0.0,-4.748676776885986,0.0,NN
77,3-Hydroxyanthranilic acid,+Cl,DHAP,positive,-1.0,1.2854176759719849,0.0,NN
