,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,4.0297546,5.375443979142473,pytorch_NN,Malic acid,-H,9AA,negative,0
1,3.6030853,5.3199340325654045,pytorch_NN,Taurine,-H,9AA,negative,0
2,4.027258,5.44490784014757,pytorch_NN,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.964295,3.9789439936786417,pytorch_NN,Ascorbic acid,-H,9AA,negative,0
4,4.284507,4.852406059687796,pytorch_NN,cis-Aconitic acid,-H,9AA,negative,0
5,4.249718,5.206625379926532,pytorch_NN,Citric acid,-H,9AA,negative,0
6,4.247635,5.939249906533922,pytorch_NN,Adenosine diphosphate,-H,9AA,negative,0
7,3.876814,4.541898383022101,pytorch_NN,Glutamic acid,-H,9AA,negative,0
8,4.199181,5.012308835041252,pytorch_NN,6-Phosphogluconic acid,-H,9AA,negative,0
9,4.218321,5.164587787189345,pytorch_NN,3-Phosphoglyceric acid,-H,9AA,negative,0
10,4.0082483,5.417869002964245,pytorch_NN,Lyso PS 17:1,-H,9AA,negative,0
11,4.3346543,5.197866060993347,pytorch_NN,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,4.2843823,4.29330833634685,pytorch_NN,Dihydroxyacetone phosphate,-H,9AA,negative,0
13,4.0005503,4.951137084996772,pytorch_NN,Uric acid,-H,9AA,negative,0
14,3.9344435,4.66198892224018,pytorch_NN,PA 16:0-18:1,-H,9AA,negative,0
15,3.7375648,5.076314327370768,pytorch_NN,Carnosine,-H,9AA,negative,0
16,3.4950716,4.208115674739658,pytorch_NN,Aspartic acid,-H,9AA,negative,0
17,4.1170244,0.0,pytorch_NN,Lyso PA 18:1,-H,9AA,negative,0
18,3.9078865,0.0,pytorch_NN,Lyso PC 15:0,-H,9AA,negative,0
19,4.2889256,0.0,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,4.3355265,0.0,pytorch_NN,Tetrahydrofolic acid,-H,9AA,negative,0
21,4.4504547,0.0,pytorch_NN,Flavin mononucleotide,-H,9AA,negative,0
22,3.0493858,0.0,pytorch_NN,Thiamine,-H,9AA,negative,0
23,3.1445427,0.0,pytorch_NN,Glucosamine,-H,9AA,negative,0
24,3.6153455,0.0,pytorch_NN,Glycerophosphocholine,-H,9AA,negative,0
25,4.0573454,0.0,pytorch_NN,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,4.203217,0.0,pytorch_NN,Nicotinamide ribotide,-H,9AA,negative,0
27,3.4832513,0.0,pytorch_NN,PC 15:0-18:1,-H,9AA,negative,0
28,4.346674,0.0,pytorch_NN,Folic acid,-H,9AA,negative,0
29,3.8596416,0.0,pytorch_NN,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,3.4064908,0.0,pytorch_NN,PC (O) C16-18:1,-H,9AA,negative,0
31,4.2713957,0.0,pytorch_NN,Cytidine monophosphate,-H,9AA,negative,0
32,3.7088153,0.0,pytorch_NN,S-Adenosylmethionine,-H,9AA,negative,0
33,2.9217339,0.0,pytorch_NN,Niacinamide,-H,9AA,negative,0
34,2.7769032,0.0,pytorch_NN,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,3.4043245,0.0,pytorch_NN,MG 18:1,-H,9AA,negative,0
36,3.2436047,0.0,pytorch_NN,Carnitine,-H,9AA,negative,0
37,3.3907807,0.0,pytorch_NN,Acetylcholine,-H,9AA,negative,0
38,2.3979888,0.0,pytorch_NN,Cholecalciferol,-H,9AA,negative,0
39,3.2843628,0.0,pytorch_NN,Retinoic acid,-H,9AA,negative,0
