,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,4.457508235898883,MLP_0,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.0343857264916214,MLP_0,Taurine,-H,9AA,negative,0
2,5.44490784014757,4.3833173421397404,MLP_0,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,4.21600259540622,MLP_0,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,5.429847842054787,MLP_0,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,5.132247409705125,MLP_0,Citric acid,-H,9AA,negative,0
6,5.939249906533922,5.033279680078648,MLP_0,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.735591088113789,MLP_0,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,5.361749362108658,MLP_0,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,5.2257705549974025,MLP_0,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,4.303855068834621,MLP_0,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,5.704215434737927,MLP_0,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.388841721672601,MLP_0,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.2495063812823552,MLP_0,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.6582715660055833,MLP_0,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,4.183227279220696,MLP_0,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.063156376984376,3.650001843994612,MLP_0,Citrulline,-H,9AA,negative,0
17,0.0,4.512719327638012,MLP_0,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.3150008883036244,MLP_0,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,4.854383143811517,MLP_0,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,4.592233612698218,MLP_0,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,5.010342032257647,MLP_0,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,2.6109083943283213,MLP_0,Thiamine,-H,9AA,negative,0
23,0.0,3.4316973726145896,MLP_0,Glucosamine,-H,9AA,negative,0
24,0.0,3.8768059568045454,MLP_0,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,4.257216282978787,MLP_0,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,5.043132409427331,MLP_0,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.270683416210772,MLP_0,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,4.692167127335584,MLP_0,Folic acid,-H,9AA,negative,0
29,0.0,4.434632280351268,MLP_0,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,2.999849974813053,MLP_0,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,5.111908857198704,MLP_0,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,4.135422584609239,MLP_0,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,2.97264821664256,MLP_0,Niacinamide,-H,9AA,negative,0
34,0.0,2.214286428957273,MLP_0,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,2.1764527778935925,MLP_0,MG 18:1,-H,9AA,negative,0
36,0.0,3.255354096666864,MLP_0,Carnitine,-H,9AA,negative,0
37,0.0,1.961307610363632,MLP_0,Acetylcholine,-H,9AA,negative,0
38,0.0,1.5047174488071415,MLP_0,Cholecalciferol,-H,9AA,negative,0
39,0.0,3.030844382483322,MLP_0,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.4468405526545483,MLP_0,Acetylcarnitine,-H,9AA,negative,0
