,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,4.322098979493389,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.3437641411996504,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,4.5673156732590625,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,4.243286049031398,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,5.268566423524471,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,5.199789631911565,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,5.189203315963034,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.7053060781419314,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,5.16785130114838,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,5.223029946503305,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,4.19328389923801,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,5.3600432592919,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.1356112239780938,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.35598325760402,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.6547793826858808,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.9427336135534485,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.6130390207471073,MLP,Citrulline,-H,9AA,negative,0
17,0.0,4.670472934612544,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.1685746288366605,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,4.978855785646007,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,4.684841097649563,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,4.960203876854925,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,2.347188749649085,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.3439832347909224,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.729797499324077,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,4.438656084394329,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,5.31880702953805,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.1958380827414614,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,4.582455581523511,MLP,Folic acid,-H,9AA,negative,0
29,0.0,4.448618313872841,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,2.675381125394769,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,5.2802462890492725,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,4.099098347808273,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,3.198151027449722,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,2.1407321242936512,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,2.0043563767210784,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.301033614316685,MLP,Carnitine,-H,9AA,negative,0
37,0.0,3.054180449005169,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,2.0639793744033876,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,2.90887274034608,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.650851904331259,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,2.682436581695167,MLP,Spermidine,-H,9AA,negative,0
42,0.0,2.0573763357150665,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,2.632243063244117,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,4.951268524881987,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,3.344524512681906,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,4.531367741568692,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,4.953274815098137,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,4.696297572499315,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,3.9837136915120483,MLP,PG 16:0-18:1,-H,9AA,negative,1
