,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,3.867448150373178,MLP_0,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.929877570912474,MLP_0,Taurine,-H,9AA,negative,0
2,5.44490784014757,3.901308436615349,MLP_0,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,3.8991590721437808,MLP_0,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,3.915872860604187,MLP_0,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,3.877006949656157,MLP_0,Citric acid,-H,9AA,negative,0
6,5.939249906533922,3.9739285038248777,MLP_0,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.914216284982048,MLP_0,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,3.8918420652237744,MLP_0,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,3.89724916936409,MLP_0,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,3.901288339269093,MLP_0,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,3.903507080799053,MLP_0,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.9638617782168137,MLP_0,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.9740303339738734,MLP_0,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,4.04470544271151,MLP_0,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.8896257386183466,MLP_0,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.063156376984376,3.901489892958917,MLP_0,Citrulline,-H,9AA,negative,0
17,0.0,3.959856268486756,MLP_0,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.9039025505064338,MLP_0,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,3.88268773195388,MLP_0,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,3.939101523760799,MLP_0,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,3.9524540949823006,MLP_0,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,3.941776260173,MLP_0,Thiamine,-H,9AA,negative,0
23,0.0,3.913760201632954,MLP_0,Glucosamine,-H,9AA,negative,0
24,0.0,3.9386935903213383,MLP_0,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,3.930216150657505,MLP_0,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,3.9302848241024666,MLP_0,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.887651445649435,MLP_0,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,3.951485438160488,MLP_0,Folic acid,-H,9AA,negative,0
29,0.0,3.898032458515214,MLP_0,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.9508559945547495,MLP_0,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,3.902382652856721,MLP_0,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,3.8947519179924015,MLP_0,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,3.896721532686129,MLP_0,Niacinamide,-H,9AA,negative,0
34,0.0,3.870400495130432,MLP_0,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,3.9168494059535175,MLP_0,MG 18:1,-H,9AA,negative,0
36,0.0,3.952422328402208,MLP_0,Carnitine,-H,9AA,negative,0
37,0.0,3.893281874752547,MLP_0,Acetylcholine,-H,9AA,negative,0
38,0.0,3.947875865074125,MLP_0,Cholecalciferol,-H,9AA,negative,0
39,0.0,3.884505705251841,MLP_0,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.9100171161253625,MLP_0,Acetylcarnitine,-H,9AA,negative,0
41,0.0,3.8826515307537335,MLP_0,Spermidine,-H,9AA,negative,0
42,0.0,3.974036186221484,MLP_0,Cholesterol,-H,9AA,negative,0
43,0.0,3.9227018854719744,MLP_0,Putrescine,-H,9AA,negative,0
44,4.29330833634685,4.063193418871444,MLP_0,Dihydroxyacetone phosphate,-H,9AA,negative,1
45,4.951137084996772,3.848870508218908,MLP_0,Uric acid,-H,9AA,negative,1
46,4.66198892224018,3.7570610974467393,MLP_0,PA 16:0-18:1,-H,9AA,negative,1
47,4.814306627793246,3.772592194301021,MLP_0,2-Oxoglutaric acid,-H,9AA,negative,1
48,5.641773056029051,3.984774940348807,MLP_0,Lyso PI 17:1,-H,9AA,negative,1
49,4.952913805825025,4.044582979807209,MLP_0,PG 16:0-18:1,-H,9AA,negative,1
50,5.577610157677287,3.960525640446886,MLP_0,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
