,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,3.898515349601221,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.8840675618800007,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,3.8763613079799595,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,3.938214097463207,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,3.9137391075674364,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,3.958939972361027,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,3.904283573359732,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.878848588065106,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,3.936016617096692,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,3.875658600144783,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,3.9388057905925953,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,3.939612949758691,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.8992156365120736,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.900092077467456,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,4.09082419634716,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.8743388928714317,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.9388617995038557,MLP,Citrulline,-H,9AA,negative,0
17,0.0,3.8987537406848025,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.876803048847059,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,3.9225133192971637,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,3.9936734292808382,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,3.8926245064129934,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,3.99529693625056,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.954460823406657,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.9068503682072206,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,3.9094093955919678,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,3.884151347648332,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.9310815723188774,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,3.9850719274631765,MLP,Folic acid,-H,9AA,negative,0
29,0.0,3.8757941968891294,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.98287800850528,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,3.9391098848152026,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,3.936989411842262,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,3.937536739825663,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,3.8876931879232624,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,3.9596558355578035,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.9809853422493098,MLP,Carnitine,-H,9AA,negative,0
37,0.0,3.874971813876369,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,3.8899716634789168,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,3.8751798669032937,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.877582373424544,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,3.8763335139266815,MLP,Spermidine,-H,9AA,negative,0
42,0.0,3.899851189360558,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,3.8826203384295455,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,4.031945717321101,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,3.878761743488663,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,3.8626452866676018,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,3.8396159243232217,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,4.036300106919969,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,4.007394871592378,MLP,PG 16:0-18:1,-H,9AA,negative,1
6,5.577610157677287,4.003698511107837,MLP,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,5.087021412007154,4.036436750629323,MLP,Glucose 6-phosphate,-H,9AA,negative,1
8,3.6014676006840505,4.036249855903926,MLP,Serine,-H,9AA,negative,1
9,2.971589091277522,4.006273331276681,MLP,gamma-Aminobutyric acid,-H,9AA,negative,1
10,3.508502825546985,4.000987401991294,MLP,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.40681419340028,4.154485263176447,MLP,Adenine,-H,9AA,negative,1
12,5.33188795094239,4.0007119699164795,MLP,Lyso PE 18:0,-H,9AA,negative,1
13,4.861136433937232,4.00815745388736,MLP,Xanthine,-H,9AA,negative,1
14,4.078243606162822,3.9232131308797182,MLP,Histidine,-H,9AA,negative,1
15,5.544729838944959,4.005092306566711,MLP,Oxidized glutathione,-H,9AA,negative,1
16,3.77568616081301,4.0074388735183755,MLP,Pyridoxine,-H,9AA,negative,1
17,0.0,4.000238980141409,MLP,Retinoic acid,-H,9AA,negative,1
18,0.0,4.004178547373329,MLP,Palmitic acid,-H,9AA,negative,1
19,0.0,3.974479931485524,MLP,Agmatine,-H,9AA,negative,1
20,0.0,4.007124241628706,MLP,Choline,-H,9AA,negative,1
21,0.0,2.3065943154931654,MLP,Malic acid,+Cl,9AA,negative,1
22,0.0,2.5829801367857796,MLP,Oxalacetic acid,+Cl,9AA,negative,1
23,0.0,2.416660596536352,MLP,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,0.0,2.2759169205342342,MLP,Ascorbic acid,+Cl,9AA,negative,1
25,0.0,2.6819296464590217,MLP,cis-Aconitic acid,+Cl,9AA,negative,1
26,0.0,2.959197078155446,MLP,Citric acid,+Cl,9AA,negative,1
27,0.0,2.4883186556459496,MLP,Adenosine diphosphate,+Cl,9AA,negative,1
28,0.0,2.2810968217059884,MLP,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,0.0,2.4067017236909125,MLP,3-Phosphoglyceric acid,+Cl,9AA,negative,1
30,0.0,2.272264269980971,MLP,Phosphoenolpyruvic acid,+Cl,9AA,negative,1
31,0.0,2.296969132918178,MLP,Dihydroxyacetone phosphate,+Cl,9AA,negative,1
32,0.0,2.492870802458161,MLP,Cholic acid,+Cl,9AA,negative,1
33,0.0,2.191525355055564,MLP,Aspartic acid,+Cl,9AA,negative,1
34,0.0,2.822547025758157,MLP,Serine,+Cl,9AA,negative,1
35,0.0,2.5920024015613885,MLP,gamma-Aminobutyric acid,+Cl,9AA,negative,1
36,0.0,2.517434533482918,MLP,Lyso PE 18:0,+Cl,9AA,negative,1
37,0.0,2.2060921605136325,MLP,Histidine,+Cl,9AA,negative,1
38,0.0,2.4876342550164807,MLP,Oxidized glutathione,+Cl,9AA,negative,1
39,0.0,2.4872378993297994,MLP,Argininosuccinic acid,+Cl,9AA,negative,1
40,0.0,2.2273559857590617,MLP,Quinolinic acid,+Cl,9AA,negative,1
41,0.0,2.419450376914214,MLP,Hypoxanthine,+Cl,9AA,negative,1
42,0.0,3.1302970904763923,MLP,Coenzyme A,+Cl,9AA,negative,1
43,0.0,2.6518136115772153,MLP,Creatinine,+Cl,9AA,negative,1
0,5.187259868417889,4.084641648941867,MLP,Myo-inositol 1-phosphate,-H,9AA,negative,2
1,4.851807597865303,4.051357946603,MLP,Malonic acid,-H,9AA,negative,2
2,4.987449242191788,4.044765807719166,MLP,PI 16:0-18:1,-H,9AA,negative,2
3,4.78146499660177,4.086253348840078,MLP,Succinic acid,-H,9AA,negative,2
4,4.723556475765371,4.0200558011277865,MLP,Glycerol 3-phosphate,-H,9AA,negative,2
5,4.865973351827255,3.9793837687884612,MLP,Ribulose 5-phosphate,-H,9AA,negative,2
6,4.714115980594938,3.9768021685145096,MLP,Gluconic acid,-H,9AA,negative,2
7,4.279287089640111,3.967599058364931,MLP,Mevalonic acid,-H,9AA,negative,2
8,4.443890343962045,3.976855376379803,MLP,Argininosuccinic acid,-H,9AA,negative,2
9,4.404749585288414,4.041134212968323,MLP,Quinolinic acid,-H,9AA,negative,2
10,4.8677908785114905,4.0232292068028155,MLP,Glucosamine 6-phosphate,-H,9AA,negative,2
11,3.588718548033654,4.033180952352257,MLP,Hypoxanthine,-H,9AA,negative,2
12,3.7815044163374036,4.055693368402823,MLP,Arginine,-H,9AA,negative,2
13,3.8008710262539327,4.4269165703530415,MLP,Coenzyme A,-H,9AA,negative,2
14,2.5329693079368925,4.0617511260859,MLP,Cytosine,-H,9AA,negative,2
15,3.328813314275123,4.006346042909422,MLP,Creatinine,-H,9AA,negative,2
16,3.4808243581367546,4.081914734343465,MLP,Phosphocreatine,-H,9AA,negative,2
17,0.0,2.2360914243564647,MLP,2-Oxoglutaric acid,+Cl,9AA,negative,2
18,0.0,3.0566947236681217,MLP,Lyso PI 17:1,+Cl,9AA,negative,2
19,0.0,2.410879459810234,MLP,PG 16:0-18:1,+Cl,9AA,negative,2
20,0.0,2.6430157662549254,MLP,"Fructose 1,6-bisphosphate",+Cl,9AA,negative,2
21,0.0,2.3770709426695613,MLP,Malonic acid,+Cl,9AA,negative,2
22,0.0,2.148421793163317,MLP,PI 16:0-18:1,+Cl,9AA,negative,2
23,0.0,3.3699493284191884,MLP,Fumaric acid,+Cl,9AA,negative,2
24,0.0,2.287894223828711,MLP,Succinic acid,+Cl,9AA,negative,2
25,0.0,2.5263654632123,MLP,Gluconic acid,+Cl,9AA,negative,2
26,0.0,2.644098715378315,MLP,Cardiolipin 18:1,+Cl,9AA,negative,2
27,0.0,2.1364367856528137,MLP,PI(5)P 18:1,+Cl,9AA,negative,2
28,0.0,2.2587817441222406,MLP,Lyso PG 16:0,+Cl,9AA,negative,2
29,0.0,2.5497475009594406,MLP,Ureidosuccinic acid,+Cl,9AA,negative,2
30,0.0,2.9511878562476253,MLP,Creatine,+Cl,9AA,negative,2
31,0.0,2.3397788532560537,MLP,Nicotinic acid,+Cl,9AA,negative,2
32,0.0,2.744169066653495,MLP,Acetyl-CoA,+Cl,9AA,negative,2
33,0.0,2.1484043081994266,MLP,Taurocholic acid,+Cl,9AA,negative,2
34,0.0,2.4824598285636834,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",+Cl,9AA,negative,2
35,0.0,2.2733307708262607,MLP,Nicotinamide adenine dinucleotide (NAD),+Cl,9AA,negative,2
36,0.0,2.179557780027149,MLP,N-Acetylgalactosamine 6-phosphate,+Cl,9AA,negative,2
37,0.0,2.466084237992168,MLP,Sulfo GalCer 18:0(2S-OH),+Cl,9AA,negative,2
38,0.0,2.149085747818104,MLP,Tetrahydrofolic acid,+Cl,9AA,negative,2
39,0.0,3.0378668239100812,MLP,Palmitoyl-CoA,+Cl,9AA,negative,2
40,0.0,2.666938923435261,MLP,Flavin adenine dinucleotide,+Cl,9AA,negative,2
41,0.0,2.1474523946334445,MLP,Thiamine,+Cl,9AA,negative,2
42,0.0,2.3382705270360393,MLP,Proline,+Cl,9AA,negative,2
43,0.0,2.2368717904811795,MLP,Valine,+Cl,9AA,negative,2
0,3.1003127042707233,4.123346357284869,MLP,Cardiolipin 18:1,-H,9AA,negative,3
1,4.6599629341036595,3.887445378442071,MLP,PI(5)P 18:1,-H,9AA,negative,3
2,5.881912850711523,4.001544218517451,MLP,Lyso PG 16:0,-H,9AA,negative,3
3,4.123799587817361,3.9362110929925267,MLP,GM3 Ganglioside 18:0,-H,9AA,negative,3
4,4.4688236998641875,4.141962439527365,MLP,Ureidosuccinic acid,-H,9AA,negative,3
5,4.970731944203777,3.8816700142703473,MLP,"4,5-Dihydroorotic acid",-H,9AA,negative,3
6,3.602995538986097,3.9065298562723205,MLP,Orotic acid,-H,9AA,negative,3
7,5.077807537596156,4.003267777678716,MLP,Uridine diphosphate glucuronic acid,-H,9AA,negative,3
8,2.4591754069110547,4.066944003380935,MLP,Creatine,-H,9AA,negative,3
9,4.52963964824184,4.037150795459553,MLP,Urocanic acid,-H,9AA,negative,3
10,2.2674771999350427,4.0598187667848284,MLP,SM d18:1-16:0,-H,9AA,negative,3
11,5.311557557961862,4.0953030725041275,MLP,Acetyl-CoA,-H,9AA,negative,3
12,5.992546007079303,3.9042741826103233,MLP,Taurocholic acid,-H,9AA,negative,3
13,5.15376747032566,4.146671955831349,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",-H,9AA,negative,3
14,3.443186028353215,4.059087422690311,MLP,N-Acetylglucosamine,-H,9AA,negative,3
15,4.488955451051042,3.8565816005138522,MLP,N-Acetylgalactosamine 6-phosphate,-H,9AA,negative,3
16,3.3680306592855205,4.033621815524768,MLP,4-Hydroxyproline,-H,9AA,negative,3
17,0.0,2.19544376250698,MLP,Orotic acid,+Cl,9AA,negative,3
18,0.0,2.2431959558865735,MLP,Uridine diphosphate glucose,+Cl,9AA,negative,3
19,0.0,2.4401042361301593,MLP,5-Hydroxyindoleacetic acid,+Cl,9AA,negative,3
20,0.0,2.6342476020980694,MLP,Uridine diphosphate-N-acetylglucosamine,+Cl,9AA,negative,3
21,0.0,2.635490101078533,MLP,Uridine diphosphate,+Cl,9AA,negative,3
22,0.0,2.949964621741807,MLP,Thymine,+Cl,9AA,negative,3
23,0.0,2.4615605479255924,MLP,Flavin mononucleotide,+Cl,9AA,negative,3
24,0.0,2.8245314538330892,MLP,Pantetheine,+Cl,9AA,negative,3
25,0.0,2.3597900868442356,MLP,Guanine,+Cl,9AA,negative,3
26,0.0,2.2044633402674196,MLP,Butyric acid,+Cl,9AA,negative,3
27,0.0,2.6234593733097142,MLP,3-Hydroxymethylglutaric acid,+Cl,9AA,negative,3
28,0.0,2.1981356641671574,MLP,PE 18:0-20:4,+Cl,9AA,negative,3
29,0.0,2.4526360788187596,MLP,Nicotinamide ribotide,+Cl,9AA,negative,3
30,0.0,2.517575498090081,MLP,Ribulose,+Cl,9AA,negative,3
31,0.0,2.4080925357070333,MLP,Ornithine,+Cl,9AA,negative,3
32,0.0,2.3698952723026583,MLP,Glycine,+Cl,9AA,negative,3
33,0.0,2.4989562546775055,MLP,Asparagine,+Cl,9AA,negative,3
34,0.0,2.1970559787380104,MLP,Tyrosine,+Cl,9AA,negative,3
35,0.0,2.195050191208152,MLP,Folic acid,+Cl,9AA,negative,3
36,0.0,2.5832198851552937,MLP,Acetoacetic acid,+Cl,9AA,negative,3
37,0.0,2.4384794142665447,MLP,Cyclic adenosine monophosphate,+Cl,9AA,negative,3
38,0.0,2.1975785631789684,MLP,Serotonin,+Cl,9AA,negative,3
39,0.0,2.202331978095158,MLP,Tryptophan,+Cl,9AA,negative,3
40,0.0,2.4724585577024696,MLP,Glutathione,+Cl,9AA,negative,3
41,0.0,2.232312457694082,MLP,Cytidine monophosphate,+Cl,9AA,negative,3
42,0.0,2.206567595334505,MLP,Methionine,+Cl,9AA,negative,3
43,0.0,2.2418078275207742,MLP,S-Adenosylmethionine,+Cl,9AA,negative,3
0,5.630456576161583,4.1943601945528,MLP,Uridine diphosphate glucose,-H,9AA,negative,4
1,2.4740469582468996,4.097654595659781,MLP,5-Hydroxyindoleacetic acid,-H,9AA,negative,4
2,4.476663614735782,4.136483558681219,MLP,Kynurenic acid,-H,9AA,negative,4
3,6.029128849135831,3.881233802397876,MLP,Uridine diphosphate-N-acetylglucosamine,-H,9AA,negative,4
4,5.935435495502642,3.8804277021032516,MLP,Uridine diphosphate,-H,9AA,negative,4
5,3.828050696850258,4.009441147283332,MLP,Pantothenic acid,-H,9AA,negative,4
6,4.270315973022902,3.738799624519034,MLP,Thymine,-H,9AA,negative,4
7,4.4439848341450245,4.11089238840642,MLP,N-Acetylaspartylglutamic acid,-H,9AA,negative,4
8,5.533163212938402,4.087227226141118,MLP,Sulfo GalCer 18:0(2S-OH),-H,9AA,negative,4
9,5.2857251437669275,3.80041911985663,MLP,Palmitoyl-CoA,-H,9AA,negative,4
10,4.940991757315216,3.9344894048351358,MLP,Flavin adenine dinucleotide,-H,9AA,negative,4
11,4.042163229224686,4.12651007150765,MLP,Glutamine,-H,9AA,negative,4
12,2.8448850221755446,4.139144864374595,MLP,Proline,-H,9AA,negative,4
13,3.1713776789954284,4.175019030206178,MLP,Valine,-H,9AA,negative,4
14,3.4028146908018333,4.125805536129871,MLP,Guanine,-H,9AA,negative,4
15,3.751006390785782,4.15799530451762,MLP,3-Hydroxyanthranilic acid,-H,9AA,negative,4
16,2.905473757203187,4.074389000639405,MLP,PE 18:0-20:4,-H,9AA,negative,4
17,0.0,2.3021999877800097,MLP,Dihydroxyacetone,+Cl,9AA,negative,4
