,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,4.45389348258881,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,2.840647329688444,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,4.329139261703692,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,4.156625248615952,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,5.319773136649212,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,4.900022385583691,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,4.995818950320909,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.7866450410802646,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,5.184626196299776,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,5.106343026389647,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,4.203632896899348,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,5.57622847704415,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.170673134327047,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.4016268158032767,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.7900073582353615,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.9265353449362337,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.620882513377903,MLP,Citrulline,-H,9AA,negative,0
17,0.0,4.507971317445005,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.234735075041704,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,4.9668523327929535,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,4.776900048136853,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,5.07638523602376,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,2.637681263766959,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.3687244316479905,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.570482358172303,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,4.243990803960053,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,4.943840887035095,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.2745669766483605,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,4.685218962371667,MLP,Folic acid,-H,9AA,negative,0
29,0.0,4.150653197701895,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.129766555719291,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,5.113867879315708,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,3.864993205247525,MLP,S-Adenosylmethionine,-H,9AA,negative,0
