,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,3.9185726594223587,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.926494847112677,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,3.9356818691015265,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,3.963553633643668,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,3.9118172692042164,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,3.923630113656698,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,3.871705347561769,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.9218340612809164,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,3.8472604572519367,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,3.921662444037484,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,3.840200341269448,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,3.9597189721926447,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.856523026796934,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.948675232400258,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.898185238085119,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.8635125156987598,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.9028586352276498,MLP,Citrulline,-H,9AA,negative,0
17,0.0,3.8837209183151926,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.8839902926905068,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,3.846143888290817,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,3.883843937111912,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,3.9738018830471122,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,3.9563172606016166,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.847389272408469,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.8727852058932646,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,3.938308243025847,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,3.933223648169684,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.8687611558936745,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,3.971935565806737,MLP,Folic acid,-H,9AA,negative,0
29,0.0,3.9636177461495934,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.9646739572579066,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,3.9488415367341205,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,3.978922148890297,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,3.9770274985560055,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,3.8422620014059645,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,3.9766286195645315,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.8486897698077525,MLP,Carnitine,-H,9AA,negative,0
37,0.0,3.9635490547138166,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,3.850803610653931,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,3.9430226920588063,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.9253394662392265,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,3.8494086454340435,MLP,Spermidine,-H,9AA,negative,0
42,0.0,3.936262633916997,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,3.9745693358173777,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,4.0681515402704935,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,4.042484480095702,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,4.006426800502413,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,3.9085484840088744,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,3.9702989022977437,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,4.043954812637824,MLP,PG 16:0-18:1,-H,9AA,negative,1
6,5.577610157677287,3.890634371867313,MLP,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
