,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,3.9623704,5.375443979142473,pytorch_NN,Malic acid,-H,9AA,negative,0
1,3.5303602,5.3199340325654045,pytorch_NN,Taurine,-H,9AA,negative,0
2,3.9414356,5.44490784014757,pytorch_NN,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.8383625,3.9789439936786417,pytorch_NN,Ascorbic acid,-H,9AA,negative,0
4,4.260313,4.852406059687796,pytorch_NN,cis-Aconitic acid,-H,9AA,negative,0
5,4.1010613,5.206625379926532,pytorch_NN,Citric acid,-H,9AA,negative,0
6,4.0448446,5.939249906533922,pytorch_NN,Adenosine diphosphate,-H,9AA,negative,0
7,3.6340282,4.541898383022101,pytorch_NN,Glutamic acid,-H,9AA,negative,0
8,4.1789765,5.012308835041252,pytorch_NN,6-Phosphogluconic acid,-H,9AA,negative,0
9,4.175852,5.164587787189345,pytorch_NN,3-Phosphoglyceric acid,-H,9AA,negative,0
10,3.8237386,5.417869002964245,pytorch_NN,Lyso PS 17:1,-H,9AA,negative,0
11,4.3365383,5.197866060993347,pytorch_NN,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,3.442306,5.076314327370768,pytorch_NN,Carnosine,-H,9AA,negative,0
13,3.4598393,4.2583717408536526,pytorch_NN,Cholic acid,-H,9AA,negative,0
14,3.6482291,4.208115674739658,pytorch_NN,Aspartic acid,-H,9AA,negative,0
15,3.8055544,5.004369745474085,pytorch_NN,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,3.5802767,4.0631563769843755,pytorch_NN,Citrulline,-H,9AA,negative,0
17,3.9691138,0.0,pytorch_NN,Lyso PA 18:1,-H,9AA,negative,0
18,3.5172315,0.0,pytorch_NN,Lyso PC 15:0,-H,9AA,negative,0
19,4.027444,0.0,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,3.8440561,0.0,pytorch_NN,Tetrahydrofolic acid,-H,9AA,negative,0
21,4.1441984,0.0,pytorch_NN,Flavin mononucleotide,-H,9AA,negative,0
22,3.048822,0.0,pytorch_NN,Thiamine,-H,9AA,negative,0
23,3.2784903,0.0,pytorch_NN,Glucosamine,-H,9AA,negative,0
24,3.6696508,0.0,pytorch_NN,Glycerophosphocholine,-H,9AA,negative,0
25,3.9266596,0.0,pytorch_NN,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,4.0947776,0.0,pytorch_NN,Nicotinamide ribotide,-H,9AA,negative,0
27,3.4059777,0.0,pytorch_NN,PC 15:0-18:1,-H,9AA,negative,0
28,3.9119244,0.0,pytorch_NN,Folic acid,-H,9AA,negative,0
29,3.8646443,0.0,pytorch_NN,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,3.3464632,0.0,pytorch_NN,PC (O) C16-18:1,-H,9AA,negative,0
31,4.1073503,0.0,pytorch_NN,Cytidine monophosphate,-H,9AA,negative,0
