,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,3.570397,5.375443979142473,pytorch_NN,Malic acid,-H,9AA,negative,0
1,3.5070398,5.3199340325654045,pytorch_NN,Taurine,-H,9AA,negative,0
2,3.5166657,5.44490784014757,pytorch_NN,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.7205787,3.9789439936786417,pytorch_NN,Ascorbic acid,-H,9AA,negative,0
4,3.6213746,4.852406059687796,pytorch_NN,cis-Aconitic acid,-H,9AA,negative,0
5,3.8158493,5.206625379926532,pytorch_NN,Citric acid,-H,9AA,negative,0
6,3.7256708,5.939249906533922,pytorch_NN,Adenosine diphosphate,-H,9AA,negative,0
7,3.7326486,4.541898383022101,pytorch_NN,Glutamic acid,-H,9AA,negative,0
8,3.71556,5.012308835041252,pytorch_NN,6-Phosphogluconic acid,-H,9AA,negative,0
9,3.4304752,5.164587787189345,pytorch_NN,3-Phosphoglyceric acid,-H,9AA,negative,0
10,3.9235635,5.417869002964245,pytorch_NN,Lyso PS 17:1,-H,9AA,negative,0
11,3.8683743,5.197866060993347,pytorch_NN,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,3.9057283,5.076314327370768,pytorch_NN,Carnosine,-H,9AA,negative,0
13,3.929663,4.2583717408536526,pytorch_NN,Cholic acid,-H,9AA,negative,0
14,3.7869434,4.208115674739658,pytorch_NN,Aspartic acid,-H,9AA,negative,0
15,3.816953,5.004369745474085,pytorch_NN,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,3.7056499,4.0631563769843755,pytorch_NN,Citrulline,-H,9AA,negative,0
17,3.8827786,0.0,pytorch_NN,Lyso PA 18:1,-H,9AA,negative,0
18,3.895333,0.0,pytorch_NN,Lyso PC 15:0,-H,9AA,negative,0
19,3.8922887,0.0,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,3.4454463,0.0,pytorch_NN,Tetrahydrofolic acid,-H,9AA,negative,0
21,3.6208787,0.0,pytorch_NN,Flavin mononucleotide,-H,9AA,negative,0
22,3.8781657,0.0,pytorch_NN,Thiamine,-H,9AA,negative,0
23,3.8140802,0.0,pytorch_NN,Glucosamine,-H,9AA,negative,0
24,3.7085161,0.0,pytorch_NN,Glycerophosphocholine,-H,9AA,negative,0
25,3.7954733,0.0,pytorch_NN,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,3.815818,0.0,pytorch_NN,Nicotinamide ribotide,-H,9AA,negative,0
27,3.6866755,0.0,pytorch_NN,PC 15:0-18:1,-H,9AA,negative,0
28,3.4507563,0.0,pytorch_NN,Folic acid,-H,9AA,negative,0
29,3.5717974,0.0,pytorch_NN,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,3.8875794,0.0,pytorch_NN,PC (O) C16-18:1,-H,9AA,negative,0
31,3.9293838,0.0,pytorch_NN,Cytidine monophosphate,-H,9AA,negative,0
32,3.91579,0.0,pytorch_NN,S-Adenosylmethionine,-H,9AA,negative,0
33,3.5497527,0.0,pytorch_NN,Niacinamide,-H,9AA,negative,0
34,3.7045481,0.0,pytorch_NN,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,3.67493,0.0,pytorch_NN,MG 18:1,-H,9AA,negative,0
36,3.355515,0.0,pytorch_NN,Carnitine,-H,9AA,negative,0
37,3.8917658,0.0,pytorch_NN,Acetylcholine,-H,9AA,negative,0
38,3.8980432,0.0,pytorch_NN,Cholecalciferol,-H,9AA,negative,0
39,3.8810873,0.0,pytorch_NN,Nicotinamide riboside,-H,9AA,negative,0
40,3.5520175,0.0,pytorch_NN,Acetylcarnitine,-H,9AA,negative,0
41,3.7790356,0.0,pytorch_NN,Spermidine,-H,9AA,negative,0
42,3.926989,0.0,pytorch_NN,Cholesterol,-H,9AA,negative,0
43,3.844237,0.0,pytorch_NN,Putrescine,-H,9AA,negative,0
0,4.1062346,4.29330833634685,pytorch_NN,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.194173,4.951137084996772,pytorch_NN,Uric acid,-H,9AA,negative,1
2,3.929426,4.66198892224018,pytorch_NN,PA 16:0-18:1,-H,9AA,negative,1
3,3.9344401,4.814306627793246,pytorch_NN,2-Oxoglutaric acid,-H,9AA,negative,1
4,4.185783,5.641773056029051,pytorch_NN,Lyso PI 17:1,-H,9AA,negative,1
5,4.165502,4.952913805825025,pytorch_NN,PG 16:0-18:1,-H,9AA,negative,1
6,3.9689164,5.577610157677287,pytorch_NN,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,3.980845,5.087021412007154,pytorch_NN,Glucose 6-phosphate,-H,9AA,negative,1
8,4.191823,3.6014676006840505,pytorch_NN,Serine,-H,9AA,negative,1
