,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,4.6807404,5.375443979142473,pytorch_NN_0,Malic acid,-H,9AA,negative,0
1,4.025651,5.3199340325654045,pytorch_NN_0,Taurine,-H,9AA,negative,0
2,4.4624596,5.44490784014757,pytorch_NN_0,N-Acetylaspartic acid,-H,9AA,negative,0
3,4.309307,3.9789439936786417,pytorch_NN_0,Ascorbic acid,-H,9AA,negative,0
4,5.1464667,4.852406059687796,pytorch_NN_0,cis-Aconitic acid,-H,9AA,negative,0
5,4.7468467,5.206625379926532,pytorch_NN_0,Citric acid,-H,9AA,negative,0
6,4.494687,5.939249906533922,pytorch_NN_0,Adenosine diphosphate,-H,9AA,negative,0
7,3.6971781,4.541898383022101,pytorch_NN_0,Glutamic acid,-H,9AA,negative,0
8,5.0192957,5.012308835041252,pytorch_NN_0,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.0169086,5.164587787189345,pytorch_NN_0,3-Phosphoglyceric acid,-H,9AA,negative,0
10,3.7097518,5.417869002964245,pytorch_NN_0,Lyso PS 17:1,-H,9AA,negative,0
11,5.4814577,5.197866060993347,pytorch_NN_0,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,3.2243786,5.076314327370768,pytorch_NN_0,Carnosine,-H,9AA,negative,0
13,3.5946717,4.2583717408536526,pytorch_NN_0,Cholic acid,-H,9AA,negative,0
14,3.7832088,4.208115674739658,pytorch_NN_0,Aspartic acid,-H,9AA,negative,0
15,3.627246,5.004369745474085,pytorch_NN_0,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,3.4928677,4.063156376984376,pytorch_NN_0,Citrulline,-H,9AA,negative,0
17,4.314301,0.0,pytorch_NN_0,Lyso PA 18:1,-H,9AA,negative,0
18,3.6592395,0.0,pytorch_NN_0,Lyso PC 15:0,-H,9AA,negative,0
19,4.41597,0.0,pytorch_NN_0,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,4.202939,0.0,pytorch_NN_0,Tetrahydrofolic acid,-H,9AA,negative,0
21,4.694907,0.0,pytorch_NN_0,Flavin mononucleotide,-H,9AA,negative,0
22,2.6204267,0.0,pytorch_NN_0,Thiamine,-H,9AA,negative,0
