,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,4.7121286,5.375443979142473,pytorch_NN,Malic acid,-H,9AA,negative,0
1,3.4942281,5.3199340325654045,pytorch_NN,Taurine,-H,9AA,negative,0
2,4.6019835,5.44490784014757,pytorch_NN,N-Acetylaspartic acid,-H,9AA,negative,0
3,4.48162,3.9789439936786417,pytorch_NN,Ascorbic acid,-H,9AA,negative,0
4,5.1628804,4.852406059687796,pytorch_NN,cis-Aconitic acid,-H,9AA,negative,0
5,4.9994817,5.206625379926532,pytorch_NN,Citric acid,-H,9AA,negative,0
6,4.993795,5.939249906533922,pytorch_NN,Adenosine diphosphate,-H,9AA,negative,0
7,3.8451567,4.541898383022101,pytorch_NN,Glutamic acid,-H,9AA,negative,0
8,5.3493013,5.012308835041252,pytorch_NN,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.198642,5.164587787189345,pytorch_NN,3-Phosphoglyceric acid,-H,9AA,negative,0
10,3.9771879,5.417869002964245,pytorch_NN,Lyso PS 17:1,-H,9AA,negative,0
11,5.385005,5.197866060993347,pytorch_NN,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,3.3797052,5.076314327370768,pytorch_NN,Carnosine,-H,9AA,negative,0
13,3.6233432,4.2583717408536526,pytorch_NN,Cholic acid,-H,9AA,negative,0
14,3.874658,4.208115674739658,pytorch_NN,Aspartic acid,-H,9AA,negative,0
15,3.6225855,5.004369745474085,pytorch_NN,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,3.545562,4.0631563769843755,pytorch_NN,Citrulline,-H,9AA,negative,0
17,4.493133,0.0,pytorch_NN,Lyso PA 18:1,-H,9AA,negative,0
18,3.4325416,0.0,pytorch_NN,Lyso PC 15:0,-H,9AA,negative,0
19,4.9024496,0.0,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,4.7538514,0.0,pytorch_NN,Tetrahydrofolic acid,-H,9AA,negative,0
21,5.120984,0.0,pytorch_NN,Flavin mononucleotide,-H,9AA,negative,0
22,2.1262903,0.0,pytorch_NN,Thiamine,-H,9AA,negative,0
23,3.3702433,0.0,pytorch_NN,Glucosamine,-H,9AA,negative,0
24,4.1109333,0.0,pytorch_NN,Glycerophosphocholine,-H,9AA,negative,0
25,4.578845,0.0,pytorch_NN,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,4.980981,0.0,pytorch_NN,Nicotinamide ribotide,-H,9AA,negative,0
27,3.4157293,0.0,pytorch_NN,PC 15:0-18:1,-H,9AA,negative,0
28,4.714034,0.0,pytorch_NN,Folic acid,-H,9AA,negative,0
29,4.483305,0.0,pytorch_NN,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,3.0999384,0.0,pytorch_NN,PC (O) C16-18:1,-H,9AA,negative,0
31,5.0652976,0.0,pytorch_NN,Cytidine monophosphate,-H,9AA,negative,0
32,3.9846764,0.0,pytorch_NN,S-Adenosylmethionine,-H,9AA,negative,0
33,2.793639,0.0,pytorch_NN,Niacinamide,-H,9AA,negative,0
34,2.8146684,0.0,pytorch_NN,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,2.532465,0.0,pytorch_NN,MG 18:1,-H,9AA,negative,0
36,3.642597,0.0,pytorch_NN,Carnitine,-H,9AA,negative,0
37,1.4372561,0.0,pytorch_NN,Acetylcholine,-H,9AA,negative,0
38,1.3887806,0.0,pytorch_NN,Cholecalciferol,-H,9AA,negative,0
39,3.4051545,0.0,pytorch_NN,Nicotinamide riboside,-H,9AA,negative,0
40,3.6827872,0.0,pytorch_NN,Acetylcarnitine,-H,9AA,negative,0
41,1.9257926,0.0,pytorch_NN,Spermidine,-H,9AA,negative,0
42,1.4039016,0.0,pytorch_NN,Cholesterol,-H,9AA,negative,0
43,2.010617,0.0,pytorch_NN,Putrescine,-H,9AA,negative,0
0,4.9110894,4.29330833634685,pytorch_NN,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,3.4306908,4.951137084996772,pytorch_NN,Uric acid,-H,9AA,negative,1
2,4.122592,4.66198892224018,pytorch_NN,PA 16:0-18:1,-H,9AA,negative,1
3,5.084296,4.814306627793246,pytorch_NN,2-Oxoglutaric acid,-H,9AA,negative,1
4,4.5842547,5.641773056029051,pytorch_NN,Lyso PI 17:1,-H,9AA,negative,1
5,4.1245213,4.952913805825025,pytorch_NN,PG 16:0-18:1,-H,9AA,negative,1
6,5.3355813,5.577610157677287,pytorch_NN,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,4.97722,5.087021412007154,pytorch_NN,Glucose 6-phosphate,-H,9AA,negative,1
8,3.2885478,3.60146760068405,pytorch_NN,Serine,-H,9AA,negative,1
9,2.953638,2.9715890912775222,pytorch_NN,gamma-Aminobutyric acid,-H,9AA,negative,1
10,2.8410275,3.508502825546985,pytorch_NN,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.230081,3.4068141934002796,pytorch_NN,Adenine,-H,9AA,negative,1
12,3.3350985,5.33188795094239,pytorch_NN,Lyso PE 18:0,-H,9AA,negative,1
13,3.3272784,4.861136433937232,pytorch_NN,Xanthine,-H,9AA,negative,1
14,3.1667225,4.078243606162822,pytorch_NN,Histidine,-H,9AA,negative,1
15,4.8779163,5.544729838944959,pytorch_NN,Oxidized glutathione,-H,9AA,negative,1
16,3.0054128,3.7756861608130103,pytorch_NN,Pyridoxine,-H,9AA,negative,1
17,2.8826752,0.0,pytorch_NN,Retinoic acid,-H,9AA,negative,1
18,2.9395876,0.0,pytorch_NN,Palmitic acid,-H,9AA,negative,1
19,2.5699632,0.0,pytorch_NN,Agmatine,-H,9AA,negative,1
20,2.2499492,0.0,pytorch_NN,Choline,-H,9AA,negative,1
21,2.1527288,0.0,pytorch_NN,Malic acid,+Cl,9AA,negative,1
22,2.269067,0.0,pytorch_NN,Oxalacetic acid,+Cl,9AA,negative,1
23,2.322771,0.0,pytorch_NN,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,2.3543515,0.0,pytorch_NN,Ascorbic acid,+Cl,9AA,negative,1
25,2.3500156,0.0,pytorch_NN,cis-Aconitic acid,+Cl,9AA,negative,1
26,2.3518736,0.0,pytorch_NN,Citric acid,+Cl,9AA,negative,1
27,2.5478325,0.0,pytorch_NN,Adenosine diphosphate,+Cl,9AA,negative,1
28,2.3146443,0.0,pytorch_NN,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,2.1883159,0.0,pytorch_NN,3-Phosphoglyceric acid,+Cl,9AA,negative,1
30,2.1842027,0.0,pytorch_NN,Phosphoenolpyruvic acid,+Cl,9AA,negative,1
31,2.1421247,0.0,pytorch_NN,Dihydroxyacetone phosphate,+Cl,9AA,negative,1
32,2.6487358,0.0,pytorch_NN,Cholic acid,+Cl,9AA,negative,1
33,2.0736778,0.0,pytorch_NN,Aspartic acid,+Cl,9AA,negative,1
34,1.9999061,0.0,pytorch_NN,Serine,+Cl,9AA,negative,1
35,1.979214,0.0,pytorch_NN,gamma-Aminobutyric acid,+Cl,9AA,negative,1
36,2.4102557,0.0,pytorch_NN,Lyso PE 18:0,+Cl,9AA,negative,1
37,2.1956956,0.0,pytorch_NN,Histidine,+Cl,9AA,negative,1
38,2.5794225,0.0,pytorch_NN,Oxidized glutathione,+Cl,9AA,negative,1
39,2.4215927,0.0,pytorch_NN,Argininosuccinic acid,+Cl,9AA,negative,1
40,2.0418348,0.0,pytorch_NN,Quinolinic acid,+Cl,9AA,negative,1
41,2.3264,0.0,pytorch_NN,Hypoxanthine,+Cl,9AA,negative,1
42,2.9508078,0.0,pytorch_NN,Coenzyme A,+Cl,9AA,negative,1
43,2.160383,0.0,pytorch_NN,Creatinine,+Cl,9AA,negative,1
0,5.2128882,5.187259868417889,pytorch_NN,Myo-inositol 1-phosphate,-H,9AA,negative,2
1,4.880574,4.851807597865303,pytorch_NN,Malonic acid,-H,9AA,negative,2
2,4.7155237,4.987449242191788,pytorch_NN,PI 16:0-18:1,-H,9AA,negative,2
3,4.7561617,4.78146499660177,pytorch_NN,Succinic acid,-H,9AA,negative,2
4,4.8692513,4.723556475765371,pytorch_NN,Glycerol 3-phosphate,-H,9AA,negative,2
5,5.100908,4.865973351827255,pytorch_NN,Ribulose 5-phosphate,-H,9AA,negative,2
6,4.5920696,4.714115980594938,pytorch_NN,Gluconic acid,-H,9AA,negative,2
7,4.109774,4.279287089640111,pytorch_NN,Mevalonic acid,-H,9AA,negative,2
8,4.547713,4.443890343962045,pytorch_NN,Argininosuccinic acid,-H,9AA,negative,2
9,4.7590194,4.404749585288414,pytorch_NN,Quinolinic acid,-H,9AA,negative,2
10,4.675214,4.8677908785114905,pytorch_NN,Glucosamine 6-phosphate,-H,9AA,negative,2
11,3.513365,3.588718548033654,pytorch_NN,Hypoxanthine,-H,9AA,negative,2
12,3.3532243,3.7815044163374036,pytorch_NN,Arginine,-H,9AA,negative,2
13,5.8253794,3.8008710262539327,pytorch_NN,Coenzyme A,-H,9AA,negative,2
14,3.5852244,2.5329693079368925,pytorch_NN,Cytosine,-H,9AA,negative,2
15,3.0375931,3.328813314275123,pytorch_NN,Creatinine,-H,9AA,negative,2
16,5.148058,3.4808243581367546,pytorch_NN,Phosphocreatine,-H,9AA,negative,2
17,2.3811808,0.0,pytorch_NN,2-Oxoglutaric acid,+Cl,9AA,negative,2
18,2.7274985,0.0,pytorch_NN,Lyso PI 17:1,+Cl,9AA,negative,2
19,2.880817,0.0,pytorch_NN,PG 16:0-18:1,+Cl,9AA,negative,2
20,2.7796373,0.0,pytorch_NN,"Fructose 1,6-bisphosphate",+Cl,9AA,negative,2
21,2.2728446,0.0,pytorch_NN,Malonic acid,+Cl,9AA,negative,2
22,2.8891897,0.0,pytorch_NN,PI 16:0-18:1,+Cl,9AA,negative,2
23,2.3182652,0.0,pytorch_NN,Fumaric acid,+Cl,9AA,negative,2
24,2.3089318,0.0,pytorch_NN,Succinic acid,+Cl,9AA,negative,2
25,2.2367496,0.0,pytorch_NN,Gluconic acid,+Cl,9AA,negative,2
26,3.025722,0.0,pytorch_NN,Cardiolipin 18:1,+Cl,9AA,negative,2
27,2.9789073,0.0,pytorch_NN,PI(5)P 18:1,+Cl,9AA,negative,2
28,2.6323013,0.0,pytorch_NN,Lyso PG 16:0,+Cl,9AA,negative,2
29,2.0478415,0.0,pytorch_NN,Ureidosuccinic acid,+Cl,9AA,negative,2
30,1.9508833,0.0,pytorch_NN,Creatine,+Cl,9AA,negative,2
31,1.734546,0.0,pytorch_NN,Nicotinic acid,+Cl,9AA,negative,2
32,2.899574,0.0,pytorch_NN,Acetyl-CoA,+Cl,9AA,negative,2
33,2.051622,0.0,pytorch_NN,Taurocholic acid,+Cl,9AA,negative,2
34,2.5623808,0.0,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",+Cl,9AA,negative,2
35,2.530253,0.0,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),+Cl,9AA,negative,2
36,2.0768278,0.0,pytorch_NN,N-Acetylgalactosamine 6-phosphate,+Cl,9AA,negative,2
37,2.4292097,0.0,pytorch_NN,Sulfo GalCer 18:0(2S-OH),+Cl,9AA,negative,2
38,2.5276995,0.0,pytorch_NN,Tetrahydrofolic acid,+Cl,9AA,negative,2
39,2.8866618,0.0,pytorch_NN,Palmitoyl-CoA,+Cl,9AA,negative,2
40,2.741854,0.0,pytorch_NN,Flavin adenine dinucleotide,+Cl,9AA,negative,2
41,2.3650448,0.0,pytorch_NN,Thiamine,+Cl,9AA,negative,2
42,1.60462,0.0,pytorch_NN,Proline,+Cl,9AA,negative,2
43,1.7876375,0.0,pytorch_NN,Valine,+Cl,9AA,negative,2
0,5.448374,3.1003127042707233,pytorch_NN,Cardiolipin 18:1,-H,9AA,negative,3
1,5.6842704,4.6599629341036595,pytorch_NN,PI(5)P 18:1,-H,9AA,negative,3
2,4.7483854,5.881912850711523,pytorch_NN,Lyso PG 16:0,-H,9AA,negative,3
3,5.3840356,4.123799587817361,pytorch_NN,GM3 Ganglioside 18:0,-H,9AA,negative,3
4,5.048211,4.4688236998641875,pytorch_NN,Ureidosuccinic acid,-H,9AA,negative,3
