,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,3.8876972,5.375443979142473,pytorch_NN_0,Malic acid,-H,9AA,negative,0
1,3.5024927,5.3199340325654045,pytorch_NN_0,Taurine,-H,9AA,negative,0
2,3.63274,5.44490784014757,pytorch_NN_0,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.8286273,3.9789439936786417,pytorch_NN_0,Ascorbic acid,-H,9AA,negative,0
4,3.6877203,4.852406059687796,pytorch_NN_0,cis-Aconitic acid,-H,9AA,negative,0
5,3.875413,5.206625379926532,pytorch_NN_0,Citric acid,-H,9AA,negative,0
6,3.494303,5.939249906533922,pytorch_NN_0,Adenosine diphosphate,-H,9AA,negative,0
7,3.8435612,4.541898383022101,pytorch_NN_0,Glutamic acid,-H,9AA,negative,0
8,3.594513,5.012308835041252,pytorch_NN_0,6-Phosphogluconic acid,-H,9AA,negative,0
9,3.8671105,5.164587787189345,pytorch_NN_0,3-Phosphoglyceric acid,-H,9AA,negative,0
10,3.8810306,5.417869002964245,pytorch_NN_0,Lyso PS 17:1,-H,9AA,negative,0
11,3.6829653,5.197866060993347,pytorch_NN_0,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,3.7636132,5.076314327370768,pytorch_NN_0,Carnosine,-H,9AA,negative,0
13,3.8156548,4.2583717408536526,pytorch_NN_0,Cholic acid,-H,9AA,negative,0
14,3.7219675,4.208115674739658,pytorch_NN_0,Aspartic acid,-H,9AA,negative,0
15,3.8798718,5.004369745474085,pytorch_NN_0,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,3.8808832,4.063156376984376,pytorch_NN_0,Citrulline,-H,9AA,negative,0
17,3.5375023,0.0,pytorch_NN_0,Lyso PA 18:1,-H,9AA,negative,0
18,3.8349319,0.0,pytorch_NN_0,Lyso PC 15:0,-H,9AA,negative,0
19,3.5724978,0.0,pytorch_NN_0,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,3.8766856,0.0,pytorch_NN_0,Tetrahydrofolic acid,-H,9AA,negative,0
21,3.8628798,0.0,pytorch_NN_0,Flavin mononucleotide,-H,9AA,negative,0
22,3.8149576,0.0,pytorch_NN_0,Thiamine,-H,9AA,negative,0
23,3.58936,0.0,pytorch_NN_0,Glucosamine,-H,9AA,negative,0
24,3.842663,0.0,pytorch_NN_0,Glycerophosphocholine,-H,9AA,negative,0
25,3.8352377,0.0,pytorch_NN_0,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,3.8783586,0.0,pytorch_NN_0,Nicotinamide ribotide,-H,9AA,negative,0
27,3.8337798,0.0,pytorch_NN_0,PC 15:0-18:1,-H,9AA,negative,0
28,3.8376932,0.0,pytorch_NN_0,Folic acid,-H,9AA,negative,0
29,3.6760917,0.0,pytorch_NN_0,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,3.8374152,0.0,pytorch_NN_0,PC (O) C16-18:1,-H,9AA,negative,0
31,3.5449367,0.0,pytorch_NN_0,Cytidine monophosphate,-H,9AA,negative,0
32,3.8094172,0.0,pytorch_NN_0,S-Adenosylmethionine,-H,9AA,negative,0
33,3.7905684,0.0,pytorch_NN_0,Niacinamide,-H,9AA,negative,0
34,3.8392162,0.0,pytorch_NN_0,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,3.577685,0.0,pytorch_NN_0,MG 18:1,-H,9AA,negative,0
36,3.8190038,0.0,pytorch_NN_0,Carnitine,-H,9AA,negative,0
37,3.8459864,0.0,pytorch_NN_0,Acetylcholine,-H,9AA,negative,0
38,3.4737425,0.0,pytorch_NN_0,Cholecalciferol,-H,9AA,negative,0
39,3.5554907,0.0,pytorch_NN_0,Nicotinamide riboside,-H,9AA,negative,0
40,3.8781877,0.0,pytorch_NN_0,Acetylcarnitine,-H,9AA,negative,0
41,3.8627925,0.0,pytorch_NN_0,Spermidine,-H,9AA,negative,0
42,3.8809566,0.0,pytorch_NN_0,Cholesterol,-H,9AA,negative,0
43,3.819419,0.0,pytorch_NN_0,Putrescine,-H,9AA,negative,0
44,3.923948,4.29330833634685,pytorch_NN_0,Dihydroxyacetone phosphate,-H,9AA,negative,1
