,prediction,observed_value,regressor,name_short,adduct,matrix,polarity,fold
0,4.1062555,5.375443979142473,pytorch_NN,Malic acid,-H,9AA,negative,0
1,3.6452868,5.3199340325654045,pytorch_NN,Taurine,-H,9AA,negative,0
2,3.7038295,5.44490784014757,pytorch_NN,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9140947,3.9789439936786417,pytorch_NN,Ascorbic acid,-H,9AA,negative,0
4,3.748623,4.852406059687796,pytorch_NN,cis-Aconitic acid,-H,9AA,negative,0
5,3.999885,5.206625379926532,pytorch_NN,Citric acid,-H,9AA,negative,0
6,3.642699,5.939249906533922,pytorch_NN,Adenosine diphosphate,-H,9AA,negative,0
7,3.9451418,4.541898383022101,pytorch_NN,Glutamic acid,-H,9AA,negative,0
8,3.6245162,5.012308835041252,pytorch_NN,6-Phosphogluconic acid,-H,9AA,negative,0
9,3.9846396,5.164587787189345,pytorch_NN,3-Phosphoglyceric acid,-H,9AA,negative,0
10,4.0479317,5.417869002964245,pytorch_NN,Lyso PS 17:1,-H,9AA,negative,0
11,3.744188,5.197866060993347,pytorch_NN,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,3.843586,5.076314327370768,pytorch_NN,Carnosine,-H,9AA,negative,0
13,3.895247,4.2583717408536526,pytorch_NN,Cholic acid,-H,9AA,negative,0
14,3.7907171,4.208115674739658,pytorch_NN,Aspartic acid,-H,9AA,negative,0
15,4.036347,5.004369745474085,pytorch_NN,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.046458,4.0631563769843755,pytorch_NN,Citrulline,-H,9AA,negative,0
17,3.65564,0.0,pytorch_NN,Lyso PA 18:1,-H,9AA,negative,0
18,3.927423,0.0,pytorch_NN,Lyso PC 15:0,-H,9AA,negative,0
19,3.671254,0.0,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,4.002619,0.0,pytorch_NN,Tetrahydrofolic acid,-H,9AA,negative,0
21,3.9768705,0.0,pytorch_NN,Flavin mononucleotide,-H,9AA,negative,0
22,3.894791,0.0,pytorch_NN,Thiamine,-H,9AA,negative,0
23,3.6801004,0.0,pytorch_NN,Glucosamine,-H,9AA,negative,0
24,3.9434724,0.0,pytorch_NN,Glycerophosphocholine,-H,9AA,negative,0
25,3.9280696,0.0,pytorch_NN,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,4.0209045,0.0,pytorch_NN,Nicotinamide ribotide,-H,9AA,negative,0
27,3.924987,0.0,pytorch_NN,PC 15:0-18:1,-H,9AA,negative,0
28,3.933261,0.0,pytorch_NN,Folic acid,-H,9AA,negative,0
29,3.7380724,0.0,pytorch_NN,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,3.9326725,0.0,pytorch_NN,PC (O) C16-18:1,-H,9AA,negative,0
31,3.658418,0.0,pytorch_NN,Cytidine monophosphate,-H,9AA,negative,0
32,3.8911657,0.0,pytorch_NN,S-Adenosylmethionine,-H,9AA,negative,0
33,3.8717127,0.0,pytorch_NN,Niacinamide,-H,9AA,negative,0
34,3.93648,0.0,pytorch_NN,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,3.6739109,0.0,pytorch_NN,MG 18:1,-H,9AA,negative,0
36,3.8974383,0.0,pytorch_NN,Carnitine,-H,9AA,negative,0
37,3.9490712,0.0,pytorch_NN,Acetylcholine,-H,9AA,negative,0
38,3.6365442,0.0,pytorch_NN,Cholecalciferol,-H,9AA,negative,0
39,3.6627622,0.0,pytorch_NN,Nicotinamide riboside,-H,9AA,negative,0
40,4.0190315,0.0,pytorch_NN,Acetylcarnitine,-H,9AA,negative,0
41,3.9767103,0.0,pytorch_NN,Spermidine,-H,9AA,negative,0
42,4.0471935,0.0,pytorch_NN,Cholesterol,-H,9AA,negative,0
43,3.8977098,0.0,pytorch_NN,Putrescine,-H,9AA,negative,0
0,3.913463,4.29330833634685,pytorch_NN,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,3.8855286,4.951137084996772,pytorch_NN,Uric acid,-H,9AA,negative,1
2,3.9462025,4.66198892224018,pytorch_NN,PA 16:0-18:1,-H,9AA,negative,1
3,3.9978597,4.814306627793246,pytorch_NN,2-Oxoglutaric acid,-H,9AA,negative,1
4,3.900541,5.641773056029051,pytorch_NN,Lyso PI 17:1,-H,9AA,negative,1
5,3.9918494,4.952913805825025,pytorch_NN,PG 16:0-18:1,-H,9AA,negative,1
6,3.950762,5.577610157677287,pytorch_NN,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,3.9293513,5.087021412007154,pytorch_NN,Glucose 6-phosphate,-H,9AA,negative,1
8,3.9981248,3.60146760068405,pytorch_NN,Serine,-H,9AA,negative,1
9,3.909732,2.9715890912775222,pytorch_NN,gamma-Aminobutyric acid,-H,9AA,negative,1
10,3.9556522,3.508502825546985,pytorch_NN,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.9301186,3.4068141934002796,pytorch_NN,Adenine,-H,9AA,negative,1
12,3.939785,5.33188795094239,pytorch_NN,Lyso PE 18:0,-H,9AA,negative,1
13,3.9493103,4.861136433937232,pytorch_NN,Xanthine,-H,9AA,negative,1
14,3.949758,4.078243606162822,pytorch_NN,Histidine,-H,9AA,negative,1
15,3.8113356,5.544729838944959,pytorch_NN,Oxidized glutathione,-H,9AA,negative,1
16,3.9163475,3.7756861608130103,pytorch_NN,Pyridoxine,-H,9AA,negative,1
17,3.997936,0.0,pytorch_NN,Retinoic acid,-H,9AA,negative,1
18,3.949094,0.0,pytorch_NN,Palmitic acid,-H,9AA,negative,1
19,3.9180593,0.0,pytorch_NN,Agmatine,-H,9AA,negative,1
20,3.9174478,0.0,pytorch_NN,Choline,-H,9AA,negative,1
21,2.48693,0.0,pytorch_NN,Malic acid,+Cl,9AA,negative,1
22,2.4917235,0.0,pytorch_NN,Oxalacetic acid,+Cl,9AA,negative,1
23,2.5260463,0.0,pytorch_NN,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,2.4966948,0.0,pytorch_NN,Ascorbic acid,+Cl,9AA,negative,1
25,2.5230463,0.0,pytorch_NN,cis-Aconitic acid,+Cl,9AA,negative,1
26,2.4939709,0.0,pytorch_NN,Citric acid,+Cl,9AA,negative,1
27,2.478045,0.0,pytorch_NN,Adenosine diphosphate,+Cl,9AA,negative,1
28,2.4794078,0.0,pytorch_NN,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,2.4946246,0.0,pytorch_NN,3-Phosphoglyceric acid,+Cl,9AA,negative,1
30,2.5232058,0.0,pytorch_NN,Phosphoenolpyruvic acid,+Cl,9AA,negative,1
31,2.4935188,0.0,pytorch_NN,Dihydroxyacetone phosphate,+Cl,9AA,negative,1
32,2.500008,0.0,pytorch_NN,Cholic acid,+Cl,9AA,negative,1
33,2.5187197,0.0,pytorch_NN,Aspartic acid,+Cl,9AA,negative,1
34,2.5212502,0.0,pytorch_NN,Serine,+Cl,9AA,negative,1
35,2.491393,0.0,pytorch_NN,gamma-Aminobutyric acid,+Cl,9AA,negative,1
36,2.4963236,0.0,pytorch_NN,Lyso PE 18:0,+Cl,9AA,negative,1
