,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,5.310839054921659,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.751006390785782,2.890663778754261,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.993598131580058,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.970731944203777,4.22463839487838,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3680306592855205,2.6320656969935587,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,2.701080473354326,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.713041340586496,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,5.245755281950907,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,2.543505080684324,MLP,Adenine,9AA,negative,0
9,5.939249906533922,3.765054293959576,MLP,Adenosine diphosphate,9AA,negative,0
10,5.607552830330284,3.335439893897706,MLP,Adenosine monophosphate,9AA,negative,0
11,3.7815044163374036,3.451169527362494,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,5.163506176375975,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.084100322577967,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,5.426168813308201,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,2.570284925245315,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,1.7484252963846372,MLP,Agmatine,9AA,negative,0
17,0.0,5.016309844698808,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,4.800813697458509,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.9934634810169056,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.4389037580513735,MLP,Aspartic acid,9AA,negative,1
3,3.1003127042707233,4.0048477260205555,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.034622128362922,MLP,Carnitine,9AA,negative,1
5,5.076314327370768,4.167506602714828,MLP,Carnosine,9AA,negative,1
6,2.2461291256634364,2.7475226374660515,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,4.491330621354046,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,3.7519393581578204,MLP,Citric acid,9AA,negative,1
9,4.0631563769843755,2.614658745725765,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,6.106890134329466,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.158925687805585,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,3.314178229961254,MLP,Cytidine,9AA,negative,1
13,0.0,3.3481187520414823,MLP,Acetylcholine,9AA,negative,1
14,0.0,5.102200299095247,MLP,Biotin,9AA,negative,1
15,0.0,3.4780771329937785,MLP,CAR 16:0,9AA,negative,1
16,0.0,3.314891163410703,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,2.461741746738909,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,2.600197976793755,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,3.9248273549628077,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,3.2436578904292483,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.97897680192962,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,1.25763678102521,MLP,Dopamine,9AA,negative,2
6,2.677103883488091,1.802448368376874,MLP,Epinephrine,9AA,negative,2
7,5.116510282418326,4.594872434666389,MLP,Flavin mononucleotide,9AA,negative,2
8,5.577610157677287,5.11179908809571,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
9,4.123799587817361,4.789686315529875,MLP,GM3 Ganglioside 18:0,9AA,negative,2
10,4.714115980594938,4.127976469964242,MLP,Gluconic acid,9AA,negative,2
11,3.4971859030184436,3.021277654452671,MLP,Glucose,9AA,negative,2
12,0.0,2.2515690279592295,MLP,Cholecalciferol,9AA,negative,2
13,0.0,2.1493509302115203,MLP,Cholesterol,9AA,negative,2
14,0.0,2.8718581387714726,MLP,Cholesteryl acetate,9AA,negative,2
15,0.0,5.118568461142141,MLP,Folic acid,9AA,negative,2
0,4.940991757315216,6.477863066292091,MLP,Flavin adenine dinucleotide,9AA,negative,3
1,3.508502825546985,2.963916580318153,MLP,GlcCer d18:1/18:0,9AA,negative,3
2,4.8677908785114905,4.896254274459031,MLP,Glucosamine 6-phosphate,9AA,negative,3
3,5.087021412007154,5.447615517978615,MLP,Glucose 6-phosphate,9AA,negative,3
4,2.739952442836485,2.9126918797210934,MLP,Glucosyl cholesterol,9AA,negative,3
5,4.541898383022101,4.100786482104136,MLP,Glutamic acid,9AA,negative,3
6,4.042163229224686,2.9231407178582725,MLP,Glutamine,9AA,negative,3
7,3.836147576475278,4.732600847883798,MLP,Glutathione,9AA,negative,3
8,4.723556475765371,5.119807963032607,MLP,Glycerol 3-phosphate,9AA,negative,3
9,4.476663614735782,2.388447172758822,MLP,Kynurenic acid,9AA,negative,3
10,2.9337644139328,5.099599276873091,MLP,Lyso PA 18:1,9AA,negative,3
11,3.860524287932711,4.265997019829241,MLP,Lyso PC 15:0,9AA,negative,3
12,0.0,2.1107095976655748,MLP,Choline,9AA,negative,3
13,0.0,4.891900177295325,MLP,Cytidine monophosphate,9AA,negative,3
14,0.0,3.0415836395449305,MLP,Dihydroxyacetone,9AA,negative,3
15,0.0,3.5442014819650525,MLP,Fumaric acid,9AA,negative,3
0,1.7817697815048323,3.773482018806622,MLP,Glycine,9AA,negative,4
1,3.4028146908018333,3.906053979794377,MLP,Guanine,9AA,negative,4
2,2.4235345428379342,3.031066407132117,MLP,Histamine,9AA,negative,4
3,4.078243606162822,5.082522244222225,MLP,Histidine,9AA,negative,4
4,3.588718548033654,3.756214525190442,MLP,Hypoxanthine,9AA,negative,4
5,2.4949832219523262,3.3484745469929256,MLP,Kynurenine,9AA,negative,4
6,5.881912850711523,5.365055876833716,MLP,Lyso PG 16:0,9AA,negative,4
7,5.641773056029051,4.52246542971009,MLP,Lyso PI 17:1,9AA,negative,4
8,5.375443979142473,4.603437808899607,MLP,Malic acid,9AA,negative,4
9,1.7557578089672088,3.2719833953382857,MLP,Melatonin,9AA,negative,4
