,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.471392737052311,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.751006390785782,2.908882134420826,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,6.082838919255159,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.970731944203777,2.9108003663490662,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3680306592855205,2.9602225385429777,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,2.720571814097395,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.779032491306963,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,5.0366777065577155,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,2.3757901459757362,MLP,Adenine,9AA,negative,0
9,5.939249906533922,3.839658791675548,MLP,Adenosine diphosphate,9AA,negative,0
10,5.607552830330284,3.416703117996907,MLP,Adenosine monophosphate,9AA,negative,0
11,3.7815044163374036,3.5949338905843433,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.871922447626273,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.153147704901724,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.449727031217004,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,1.6000610043999923,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,1.535879618294449,MLP,Agmatine,9AA,negative,0
17,0.0,4.510520287885592,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,4.997390671841558,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.242682050751741,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.705754981897185,MLP,Aspartic acid,9AA,negative,1
3,3.1003127042707233,4.2045324416904855,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.043869496102275,MLP,Carnitine,9AA,negative,1
5,5.076314327370768,4.516126036199834,MLP,Carnosine,9AA,negative,1
6,2.2461291256634364,3.3565014179073205,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,4.423823745621277,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,3.8963849096238534,MLP,Citric acid,9AA,negative,1
9,4.0631563769843755,2.6831339018949656,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,6.101894587641606,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.082716664478849,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,3.335387463279313,MLP,Cytidine,9AA,negative,1
13,0.0,2.690636823526548,MLP,Acetylcholine,9AA,negative,1
14,0.0,6.28829343565662,MLP,Biotin,9AA,negative,1
15,0.0,3.424305012646988,MLP,CAR 16:0,9AA,negative,1
16,0.0,3.989629931811012,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,2.4784960687019604,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,2.5334031718049603,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,4.072580625471595,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,2.952147084807124,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.8599959848797845,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,1.4419867433786533,MLP,Dopamine,9AA,negative,2
6,2.677103883488091,1.999045357482974,MLP,Epinephrine,9AA,negative,2
7,5.116510282418326,4.679250725427889,MLP,Flavin mononucleotide,9AA,negative,2
8,5.577610157677287,5.182548679687259,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
9,4.123799587817361,3.8421983484715443,MLP,GM3 Ganglioside 18:0,9AA,negative,2
10,4.714115980594938,4.157905652179056,MLP,Gluconic acid,9AA,negative,2
11,3.4971859030184436,2.484171778852821,MLP,Glucose,9AA,negative,2
12,0.0,2.589790191901522,MLP,Cholecalciferol,9AA,negative,2
13,0.0,2.444244903148095,MLP,Cholesterol,9AA,negative,2
14,0.0,2.651049528294096,MLP,Cholesteryl acetate,9AA,negative,2
15,0.0,5.342177859412892,MLP,Folic acid,9AA,negative,2
0,4.940991757315216,6.669638745729307,MLP,Flavin adenine dinucleotide,9AA,negative,3
1,3.508502825546985,3.3811601074427196,MLP,GlcCer d18:1/18:0,9AA,negative,3
2,4.8677908785114905,5.40035003201372,MLP,Glucosamine 6-phosphate,9AA,negative,3
3,5.087021412007154,5.523591936378589,MLP,Glucose 6-phosphate,9AA,negative,3
4,2.739952442836485,3.0441001489826953,MLP,Glucosyl cholesterol,9AA,negative,3
5,4.541898383022101,4.223282281835534,MLP,Glutamic acid,9AA,negative,3
6,4.042163229224686,2.9977875657424375,MLP,Glutamine,9AA,negative,3
7,3.836147576475278,4.836534569455411,MLP,Glutathione,9AA,negative,3
8,4.723556475765371,4.64978658044104,MLP,Glycerol 3-phosphate,9AA,negative,3
9,4.476663614735782,2.3981451798156534,MLP,Kynurenic acid,9AA,negative,3
10,2.9337644139328,4.858133213857582,MLP,Lyso PA 18:1,9AA,negative,3
11,3.860524287932711,4.482102821420647,MLP,Lyso PC 15:0,9AA,negative,3
12,0.0,1.4898222697717745,MLP,Choline,9AA,negative,3
13,0.0,4.8437510127874965,MLP,Cytidine monophosphate,9AA,negative,3
14,0.0,2.1420839755609373,MLP,Dihydroxyacetone,9AA,negative,3
15,0.0,2.586065427539056,MLP,Fumaric acid,9AA,negative,3
0,1.7817697815048323,3.454353624498722,MLP,Glycine,9AA,negative,4
1,3.4028146908018333,3.5730105003788557,MLP,Guanine,9AA,negative,4
2,2.4235345428379342,3.0003812300928816,MLP,Histamine,9AA,negative,4
3,4.078243606162822,4.5031947429657695,MLP,Histidine,9AA,negative,4
4,3.588718548033654,3.450075752662521,MLP,Hypoxanthine,9AA,negative,4
5,2.4949832219523262,4.173753025451878,MLP,Kynurenine,9AA,negative,4
6,5.881912850711523,5.654499315567461,MLP,Lyso PG 16:0,9AA,negative,4
7,5.641773056029051,4.5846331690215525,MLP,Lyso PI 17:1,9AA,negative,4
8,5.375443979142473,4.47887294402204,MLP,Malic acid,9AA,negative,4
9,1.7557578089672088,4.10440376200319,MLP,Melatonin,9AA,negative,4
10,4.279287089640111,4.315437868077572,MLP,Mevalonic acid,9AA,negative,4
11,5.187259868417889,3.734646797879383,MLP,Myo-inositol 1-phosphate,9AA,negative,4
12,0.0,1.1337578182572348,MLP,Estradiol,9AA,negative,4
13,0.0,2.900909057915059,MLP,Glucosamine,9AA,negative,4
14,0.0,3.6883728445582187,MLP,Glycerophosphocholine,9AA,negative,4
15,0.0,2.4243401472208115,MLP,Homocysteine,9AA,negative,4
0,2.730207868451544,3.2893121698961245,MLP,L-Dopa,9AA,negative,5
1,5.33188795094239,3.830128432185467,MLP,Lyso PE 18:0,9AA,negative,5
2,5.417869002964245,4.608958526636942,MLP,Lyso PS 17:1,9AA,negative,5
3,4.851807597865303,3.3828095199301944,MLP,Malonic acid,9AA,negative,5
4,2.7870869198414447,3.178392822502488,MLP,Methionine,9AA,negative,5
5,5.44490784014757,3.9047090171738423,MLP,N-Acetylaspartic acid,9AA,negative,5
6,4.4439848341450245,4.737935770458539,MLP,N-Acetylaspartylglutamic acid,9AA,negative,5
7,4.488955451051042,5.214593989515019,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,3.443186028353215,4.09124284534007,MLP,N-Acetylglucosamine,9AA,negative,5
9,1.729300509816929,2.583638851248592,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,3.602995538986097,5.302827190274024,MLP,Orotic acid,9AA,negative,5
11,4.66198892224018,3.258561406327123,MLP,PA 16:0-18:1,9AA,negative,5
12,0.0,2.4819073387054162,MLP,Lactic acid,9AA,negative,5
13,0.0,3.2811129176805807,MLP,MG 18:1,9AA,negative,5
14,0.0,2.5815969015849154,MLP,Niacinamide,9AA,negative,5
15,0.0,3.584421383366434,MLP,Nicotinic acid,9AA,negative,5
0,3.6018092441804175,6.971818678675675,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6
1,5.15376747032566,5.628477984389936,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6
2,2.254812102017839,3.108711350464506,MLP,Ornithine,9AA,negative,6
3,5.544729838944959,4.315277601499406,MLP,Oxidized glutathione,9AA,negative,6
4,2.391174556253051,3.3397602345807096,MLP,PC (O) C16-18:1,9AA,negative,6
5,2.772209450568026,3.598619918341446,MLP,PC 15:0-18:1,9AA,negative,6
6,2.905473757203187,4.2724530290221745,MLP,PE 18:0-20:4,9AA,negative,6
7,4.952913805825025,4.531704270012174,MLP,PG 16:0-18:1,9AA,negative,6
8,4.987449242191788,5.822607132281854,MLP,PI 16:0-18:1,9AA,negative,6
9,4.6599629341036595,6.297386738537367,MLP,PI(5)P 18:1,9AA,negative,6
10,5.004369745474085,4.656193134399302,MLP,PS (POPS) 16:0-18:1,9AA,negative,6
11,3.099428103824812,1.5936578125813554,MLP,Pantetheine,9AA,negative,6
12,0.0,4.23010137342361,MLP,Nicotinamide riboside,9AA,negative,6
