,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,6.11193872716109,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.751006390785782,3.5292652374937985,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.3691818183779905,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.970731944203777,5.183238129476644,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3680306592855205,2.6195692036139944,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.629773875641648,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.540059875820475,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.75346158649454,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.5090225178922076,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.390422197918533,MLP,Adenosine diphosphate,9AA,negative,0
10,5.607552830330284,4.0638748786792505,MLP,Adenosine monophosphate,9AA,negative,0
11,3.7815044163374036,3.8122764226508608,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.1146407814790065,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.896807328457994,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,5.517836664195157,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,2.697829448672658,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,3.9582738464609832,MLP,Agmatine,9AA,negative,0
17,0.0,4.111084863364748,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,4.567223797093454,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.5390836536314896,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.318269214485459,MLP,Aspartic acid,9AA,negative,1
3,3.1003127042707233,5.245066219613789,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,2.426203082968859,MLP,Carnitine,9AA,negative,1
5,5.076314327370768,2.9620892478489202,MLP,Carnosine,9AA,negative,1
6,2.2461291256634364,1.5101551491843705,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.351194881901121,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,5.005560465523847,MLP,Citric acid,9AA,negative,1
9,4.0631563769843755,3.6190779656158933,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,5.186082966349608,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.7420001159259626,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,3.500790279219912,MLP,Cytidine,9AA,negative,1
13,0.0,2.8594282030709253,MLP,Acetylcholine,9AA,negative,1
14,0.0,3.0869714430123776,MLP,Biotin,9AA,negative,1
15,0.0,1.752035179660066,MLP,CAR 16:0,9AA,negative,1
16,0.0,4.881528859962729,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,3.542982138418084,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,2.746098885118403,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,3.9390155976905548,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,4.195322753062953,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.613611858819985,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,2.6095370242895597,MLP,Dopamine,9AA,negative,2
