,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.3526760079316436,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.751006390785782,3.9318302374564613,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,3.877932869823949,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.970731944203777,3.7666679069601696,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3680306592855205,3.842119204318713,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.169169090785843,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,3.8222264122832574,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.93052208040107,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.7754067840769396,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.3029912478812715,MLP,Adenosine diphosphate,9AA,negative,0
10,5.607552830330284,4.361722403128152,MLP,Adenosine monophosphate,9AA,negative,0
11,3.7815044163374036,3.782944680413015,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,3.856793670584338,MLP,Ascorbic acid,9AA,negative,0
13,0.0,3.8080595757318068,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.189424406851005,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,4.703464736010551,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,5.041405749044892,MLP,Agmatine,9AA,negative,0
17,0.0,3.762871766632126,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,3.7641853419602467,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.241222574097974,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.164938011186135,MLP,Aspartic acid,9AA,negative,1
3,3.1003127042707233,3.8979038476440704,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.7647982620830924,MLP,Carnitine,9AA,negative,1
5,5.076314327370768,3.7724677275137433,MLP,Carnosine,9AA,negative,1
6,2.2461291256634364,3.877715272110852,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.790583945613814,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,3.774409936516614,MLP,Citric acid,9AA,negative,1
9,4.0631563769843755,5.685406818271802,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,3.7675619363297717,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.790300473118252,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,5.075556530115572,MLP,Cytidine,9AA,negative,1
13,0.0,4.015186731993451,MLP,Acetylcholine,9AA,negative,1
14,0.0,4.675023432304743,MLP,Biotin,9AA,negative,1
15,0.0,3.889030225385237,MLP,CAR 16:0,9AA,negative,1
16,0.0,3.8348628396476,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,3.8724807581757608,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,4.144869835862752,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,3.7906007369469226,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,3.894029017251945,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.119550312373381,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,4.306693514492034,MLP,Dopamine,9AA,negative,2
6,2.677103883488091,3.79664332610618,MLP,Epinephrine,9AA,negative,2
7,5.116510282418326,3.960282088220737,MLP,Flavin mononucleotide,9AA,negative,2
8,5.577610157677287,3.95037875764955,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
9,4.123799587817361,4.050043476853494,MLP,GM3 Ganglioside 18:0,9AA,negative,2
10,4.714115980594938,3.9676498930293365,MLP,Gluconic acid,9AA,negative,2
11,3.4971859030184436,4.131826795630024,MLP,Glucose,9AA,negative,2
12,0.0,4.049505426995615,MLP,Cholecalciferol,9AA,negative,2
13,0.0,3.861534892974213,MLP,Cholesterol,9AA,negative,2
14,0.0,3.9716986752999293,MLP,Cholesteryl acetate,9AA,negative,2
15,0.0,3.809990992254847,MLP,Folic acid,9AA,negative,2
0,4.940991757315216,4.1260119761652305,MLP,Flavin adenine dinucleotide,9AA,negative,3
1,3.508502825546985,3.760040144398258,MLP,GlcCer d18:1/18:0,9AA,negative,3
2,4.8677908785114905,3.8222293699309935,MLP,Glucosamine 6-phosphate,9AA,negative,3
3,5.087021412007154,3.773958952503069,MLP,Glucose 6-phosphate,9AA,negative,3
4,2.739952442836485,3.866964133111331,MLP,Glucosyl cholesterol,9AA,negative,3
5,4.541898383022101,3.8038601994990024,MLP,Glutamic acid,9AA,negative,3
6,4.042163229224686,3.7380580955078155,MLP,Glutamine,9AA,negative,3
7,3.836147576475278,3.748664345136824,MLP,Glutathione,9AA,negative,3
8,4.723556475765371,4.410022148003781,MLP,Glycerol 3-phosphate,9AA,negative,3
9,4.476663614735782,3.8766989995715773,MLP,Kynurenic acid,9AA,negative,3
