,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,5.37647200087302,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,2.8339423845287914,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.802807470308296,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,3.6333961412002256,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.57458805610352,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,3.113709497453668,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.544965059259433,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,5.03485558319207,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,2.3297395685210534,MLP,Adenine,9AA,negative,0
9,5.939249906533922,3.7740624007087256,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,3.4114431135855923,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.5488051716756406,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.8161349741296675,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.270426876355127,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,5.2697300289961975,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,1.8464452179925257,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,1.8540019477389962,MLP,Agmatine,9AA,negative,0
17,0.0,4.894735387188886,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,4.738660081446228,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.1564015976849324,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.539664283041435,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,4.326170458874973,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.1712049667332685,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,3.9602526562403635,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,3.603258618396793,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,4.450623381545484,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,3.8327138032685233,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,2.6273369011797887,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,6.051451897655054,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.1130104118149484,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,3.576711808927869,MLP,Cytidine,9AA,negative,1
13,0.0,2.8749755682622333,MLP,Acetylcholine,9AA,negative,1
14,0.0,4.753288495107757,MLP,Biotin,9AA,negative,1
15,0.0,3.258159907595765,MLP,CAR 16:0,9AA,negative,1
16,0.0,3.8498564492535494,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,2.6040105102819453,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,2.6068946180933885,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,3.5710387306201046,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,3.3678225932833623,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.610974031270299,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,1.6039309827997437,MLP,Dopamine,9AA,negative,2
6,2.677103883488091,1.7931120226236386,MLP,Epinephrine,9AA,negative,2
7,5.116510282418326,4.614665393887659,MLP,Flavin mononucleotide,9AA,negative,2
8,5.577610157677287,4.7659742594974075,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
9,4.124395821511017,5.410072768082193,MLP,GM3 Ganglioside 18:0,9AA,negative,2
10,4.714115980594938,3.9091844489449707,MLP,Gluconic acid,9AA,negative,2
11,3.5630380761253044,3.0936418021038126,MLP,Glucose,9AA,negative,2
12,0.0,2.9999888412067186,MLP,Cholecalciferol,9AA,negative,2
13,0.0,2.493729482766277,MLP,Cholesterol,9AA,negative,2
14,0.0,2.9656112261447607,MLP,Cholesteryl acetate,9AA,negative,2
15,0.0,4.879731988430826,MLP,Folic acid,9AA,negative,2
0,5.016272181276773,6.684576259742263,MLP,Flavin adenine dinucleotide,9AA,negative,3
1,3.658273354701202,3.3801478219520944,MLP,GlcCer d18:1/18:0,9AA,negative,3
2,4.868475789298719,4.63536959697801,MLP,Glucosamine 6-phosphate,9AA,negative,3
3,5.087413863450058,5.407806564274471,MLP,Glucose 6-phosphate,9AA,negative,3
4,2.8102276674499054,2.991094663132063,MLP,Glucosyl cholesterol,9AA,negative,3
5,4.543663747937896,3.9286196277679633,MLP,Glutamic acid,9AA,negative,3
6,4.051807045819844,2.809867296889645,MLP,Glutamine,9AA,negative,3
7,3.836147576475278,4.423293638064757,MLP,Glutathione,9AA,negative,3
8,4.724261056382808,5.225380097753418,MLP,Glycerol 3-phosphate,9AA,negative,3
9,4.478279984472924,2.678426157556528,MLP,Kynurenic acid,9AA,negative,3
10,2.9337644139328,5.194243648147521,MLP,Lyso PA 18:1,9AA,negative,3
11,3.860524287932711,4.225082594255059,MLP,Lyso PC 15:0,9AA,negative,3
12,0.0,2.6027356009699925,MLP,Choline,9AA,negative,3
13,0.0,5.031907696093965,MLP,Cytidine monophosphate,9AA,negative,3
14,0.0,3.2716041356101893,MLP,Dihydroxyacetone,9AA,negative,3
15,0.0,3.5165666605920323,MLP,Fumaric acid,9AA,negative,3
0,1.7817697815048323,3.7719666036555086,MLP,Glycine,9AA,negative,4
1,3.4028146908018333,4.031727962212714,MLP,Guanine,9AA,negative,4
2,2.4855340958804097,3.346985621709117,MLP,Histamine,9AA,negative,4
3,4.078243606162822,4.912323464318338,MLP,Histidine,9AA,negative,4
4,3.588718548033654,3.5822858371379622,MLP,Hypoxanthine,9AA,negative,4
5,2.4949832219523262,3.383736643812011,MLP,Kynurenine,9AA,negative,4
6,5.881912850711523,5.5377517456656395,MLP,Lyso PG 16:0,9AA,negative,4
7,5.641773056029051,4.694228168336906,MLP,Lyso PI 17:1,9AA,negative,4
8,5.375443979142473,4.528113422551598,MLP,Malic acid,9AA,negative,4
9,1.7557578089672088,4.421466205340299,MLP,Melatonin,9AA,negative,4
10,4.282931123625906,4.111896690036568,MLP,Mevalonic acid,9AA,negative,4
11,5.187259868417889,3.7072623103169104,MLP,Myo-inositol 1-phosphate,9AA,negative,4
12,0.0,1.465527636638782,MLP,Estradiol,9AA,negative,4
13,0.0,2.8281790438051724,MLP,Glucosamine,9AA,negative,4
14,0.0,3.464192481704215,MLP,Glycerophosphocholine,9AA,negative,4
15,0.0,2.70263640502192,MLP,Homocysteine,9AA,negative,4
0,2.730207868451544,3.2399309301739745,MLP,L-Dopa,9AA,negative,5
1,5.33188795094239,3.8947565099629484,MLP,Lyso PE 18:0,9AA,negative,5
2,5.418025657165832,4.545107969563829,MLP,Lyso PS 17:1,9AA,negative,5
3,4.851807597865303,3.870455918243838,MLP,Malonic acid,9AA,negative,5
4,2.7870869198414447,2.9668639798907046,MLP,Methionine,9AA,negative,5
5,5.44490784014757,3.8177053603003364,MLP,N-Acetylaspartic acid,9AA,negative,5
6,4.4439848341450245,4.402608973871726,MLP,N-Acetylaspartylglutamic acid,9AA,negative,5
7,4.488955451051042,4.871925196506898,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,3.7076340212092274,3.832313735950107,MLP,N-Acetylglucosamine,9AA,negative,5
9,1.729300509816929,1.709102909311942,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,3.602995538986097,5.449822019261117,MLP,Orotic acid,9AA,negative,5
11,4.668582133388854,3.3868344538221598,MLP,PA 16:0-18:1,9AA,negative,5
12,0.0,3.154443525850926,MLP,Lactic acid,9AA,negative,5
13,0.0,3.367931694347451,MLP,MG 18:1,9AA,negative,5
14,0.0,2.9197288887161505,MLP,Niacinamide,9AA,negative,5
15,0.0,3.7007376652234294,MLP,Nicotinic acid,9AA,negative,5
