,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.489136716565706,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,2.782259687591605,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.711515671502096,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,3.593211953651371,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.893659563600877,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,2.6144550899911,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.630739852404436,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,5.14509798217714,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,2.1040304655142164,MLP,Adenine,9AA,negative,0
9,5.939249906533922,3.994907518866568,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,3.490286895710146,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.268743440040714,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.924835258080391,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.042381658453373,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.238793726510399,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,2.0459593298867604,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,1.5986858246328604,MLP,Agmatine,9AA,negative,0
17,0.0,4.473106336195969,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,5.225090727474926,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.148769285783839,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.713363226405644,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,4.1932495352563475,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.2979833411433015,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,4.387403435488231,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,3.0411633806014606,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,4.6517508858286485,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,4.0322238513464,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,2.7136537371787446,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,6.202698698059839,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.0472980243462295,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,3.1180656335497217,MLP,Cytidine,9AA,negative,1
13,0.0,2.205987910861765,MLP,Acetylcholine,9AA,negative,1
14,0.0,5.863746015162075,MLP,Biotin,9AA,negative,1
15,0.0,3.6339364433826025,MLP,CAR 16:0,9AA,negative,1
16,0.0,3.4778403905388666,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,2.189468377595066,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,2.469406267898039,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,4.010475211719789,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,3.0594664477739864,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.81641754466085,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,1.2312043125690106,MLP,Dopamine,9AA,negative,2
6,2.677103883488091,1.8105202269618421,MLP,Epinephrine,9AA,negative,2
7,5.116510282418326,4.820955407456033,MLP,Flavin mononucleotide,9AA,negative,2
8,5.577610157677287,5.642453950024566,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
9,4.124395821511017,4.839846756145048,MLP,GM3 Ganglioside 18:0,9AA,negative,2
10,4.714115980594938,4.164310080506117,MLP,Gluconic acid,9AA,negative,2
11,3.5630380761253044,2.616873112243268,MLP,Glucose,9AA,negative,2
12,0.0,2.4077274898412466,MLP,Cholecalciferol,9AA,negative,2
13,0.0,2.1524390545321603,MLP,Cholesterol,9AA,negative,2
14,0.0,2.405405320027429,MLP,Cholesteryl acetate,9AA,negative,2
15,0.0,5.626219034991439,MLP,Folic acid,9AA,negative,2
0,5.016272181276773,6.5903757013212205,MLP,Flavin adenine dinucleotide,9AA,negative,3
1,3.658273354701202,3.501965270342175,MLP,GlcCer d18:1/18:0,9AA,negative,3
