,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,5.698740423885762,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,3.732878501188486,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.185048980185434,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,5.126403782694385,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.6430352066657306,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.996444392392302,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.287665168104861,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.535660028065714,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.537162831659233,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.416111251375138,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,3.9783006581478384,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.960853252497892,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.597420663121183,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.910453308798833,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,5.030143340726274,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,2.2398517500673756,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,2.589096978523692,MLP,Agmatine,9AA,negative,0
17,0.0,4.309609195274316,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,4.636352639566272,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.6978876466214787,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.459986723903421,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,5.678724369679778,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,2.0722036599615654,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,3.102710251983052,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,2.1540456939714288,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.3874942007255324,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,5.270578484538681,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,3.686721451745878,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,5.196408063881452,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.5347696108270856,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,3.7328778565320757,MLP,Cytidine,9AA,negative,1
13,0.0,2.1784020172928993,MLP,Acetylcholine,9AA,negative,1
14,0.0,3.3422060697968083,MLP,Biotin,9AA,negative,1
15,0.0,1.9374978532874865,MLP,CAR 16:0,9AA,negative,1
16,0.0,4.649537740753778,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,3.4048760635890245,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,3.0584964578769838,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,3.8870315607026575,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,3.8994565398888077,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.730958144356656,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,2.8417106093947426,MLP,Dopamine,9AA,negative,2
