,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.03827363900004,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,3.974915919056209,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,3.840616632742701,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,3.9185837227429396,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,4.3637996853743015,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,3.991266554565521,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,4.0818169225493195,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,3.9360667407115546,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.8366278639008797,MLP,Adenine,9AA,negative,0
9,5.939249906533922,3.8124649725003725,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.082509457046675,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.8862540821982035,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,3.908012240450904,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.232924689587624,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,3.813425573244232,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,3.824499251703588,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,3.862385076401196,MLP,Agmatine,9AA,negative,0
17,0.0,3.9232329683366984,MLP,Butyric acid,9AA,negative,0
0,4.443890343962045,4.2636643581109865,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.068190190057437,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.166224353285713,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,4.459810124700314,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.9582628093645984,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,3.988815440266417,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,3.988631441767562,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.9683144554779686,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,3.9796532353197533,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,4.350174595744544,MLP,Citrulline,9AA,negative,1
10,3.8008710262539327,3.9737449771977738,MLP,Coenzyme A,9AA,negative,1
11,2.4591754069110547,3.972903316459718,MLP,Creatine,9AA,negative,1
12,3.0660730662818927,4.264135747217335,MLP,Cytidine,9AA,negative,1
13,0.0,4.212073939350732,MLP,Acetylcholine,9AA,negative,1
14,0.0,3.9844186957657786,MLP,Biotin,9AA,negative,1
15,0.0,3.9640043801252225,MLP,CAR 16:0,9AA,negative,1
16,0.0,3.9782647722284588,MLP,Cyclic adenosine monophosphate,9AA,negative,1
0,3.328813314275123,3.8499861781491345,MLP,Creatinine,9AA,negative,2
1,2.641369768140955,3.8473303416740268,MLP,Cysteine,9AA,negative,2
2,3.0412610344968245,3.866575254233885,MLP,Cystine,9AA,negative,2
3,2.5329693079368925,4.021132833999205,MLP,Cytosine,9AA,negative,2
4,4.29330833634685,4.147222090103774,MLP,Dihydroxyacetone phosphate,9AA,negative,2
5,2.6664941592236446,3.920926599793607,MLP,Dopamine,9AA,negative,2
6,2.677103883488091,6.234785396761468,MLP,Epinephrine,9AA,negative,2
7,5.116510282418326,3.849954564635551,MLP,Flavin mononucleotide,9AA,negative,2
8,5.577610157677287,3.8476295663131213,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
9,4.124395821511017,3.940192102878363,MLP,GM3 Ganglioside 18:0,9AA,negative,2
10,4.714115980594938,4.334191342963155,MLP,Gluconic acid,9AA,negative,2
11,3.5630380761253044,4.135902787797246,MLP,Glucose,9AA,negative,2
12,0.0,3.881900353317364,MLP,Cholecalciferol,9AA,negative,2
13,0.0,4.277879069840439,MLP,Cholesterol,9AA,negative,2
14,0.0,3.851047769705572,MLP,Cholesteryl acetate,9AA,negative,2
15,0.0,3.9414826389241626,MLP,Folic acid,9AA,negative,2
0,5.016272181276773,3.8931931892823077,MLP,Flavin adenine dinucleotide,9AA,negative,3
1,3.658273354701202,4.208354577995083,MLP,GlcCer d18:1/18:0,9AA,negative,3
2,4.868475789298719,3.882063920937007,MLP,Glucosamine 6-phosphate,9AA,negative,3
3,5.087413863450058,3.9105661139447965,MLP,Glucose 6-phosphate,9AA,negative,3
4,2.8102276674499054,3.97048150592836,MLP,Glucosyl cholesterol,9AA,negative,3
5,4.543663747937896,4.187532692005826,MLP,Glutamic acid,9AA,negative,3
6,4.051807045819844,3.8232364223791953,MLP,Glutamine,9AA,negative,3
7,3.836147576475278,4.209662926502622,MLP,Glutathione,9AA,negative,3
8,4.724261056382808,3.93045672429908,MLP,Glycerol 3-phosphate,9AA,negative,3
9,4.478279984472924,3.7969998840012043,MLP,Kynurenic acid,9AA,negative,3
10,2.9337644139328,3.936504500685756,MLP,Lyso PA 18:1,9AA,negative,3
11,3.860524287932711,4.07800143277765,MLP,Lyso PC 15:0,9AA,negative,3
12,0.0,4.216567080886113,MLP,Choline,9AA,negative,3
13,0.0,4.096695515081343,MLP,Cytidine monophosphate,9AA,negative,3
14,0.0,3.9805832925028675,MLP,Dihydroxyacetone,9AA,negative,3
15,0.0,4.684047974219881,MLP,Fumaric acid,9AA,negative,3
0,1.7817697815048323,3.9874795483356937,MLP,Glycine,9AA,negative,4
1,3.4028146908018333,3.9406070272868003,MLP,Guanine,9AA,negative,4
2,2.4855340958804097,4.159510720823201,MLP,Histamine,9AA,negative,4
3,4.078243606162822,4.047721974461229,MLP,Histidine,9AA,negative,4
4,3.588718548033654,3.9528048753763896,MLP,Hypoxanthine,9AA,negative,4
5,2.4949832219523262,3.9272730050110747,MLP,Kynurenine,9AA,negative,4
6,5.881912850711523,3.9397771966156796,MLP,Lyso PG 16:0,9AA,negative,4
7,5.641773056029051,4.154887732155578,MLP,Lyso PI 17:1,9AA,negative,4
8,5.375443979142473,4.310890299681438,MLP,Malic acid,9AA,negative,4
9,1.7557578089672088,3.933084142491998,MLP,Melatonin,9AA,negative,4
10,4.282931123625906,4.086384964253901,MLP,Mevalonic acid,9AA,negative,4
