Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
1.9634438361511417,0.028066966007911334,0.012527715300296114,polar_surface_area,DHB,negative
1.6770300137109022,0.016299744800989044,0.05675366003735348,polar_surface_area,CHCA,negative
1.4198905457777335,0.19673261277025417,-0.18996047624453144,polarizability,CMBT,positive
1.3895298700548369,0.19673261277025417,-0.18996047624453144,polar_surface_area,CMBT,positive
1.3101348107309763,0.28616573959045905,-0.24024759054259778,polarizability,NOR,positive
1.2555491052128058,0.058152459265759314,-0.061832714017600196,acceptor_count,DAN,negative
1.1993062722204693,0.058152459265759314,-0.061832714017600196,polar_surface_area,DAN,negative
1.1948857625067704,0.1510483476899749,-0.1575485740605323,polarizability,DHAP,positive
1.1671138264906604,0.023454608781429916,-0.010882165429406765,acceptor_count,ClCCA,negative
1.121868450699106,0.0050524697253270315,0.006073910798881721,acceptor_count,NOR,negative
1.0967119166412849,0.15953197078430456,-0.22948871277736982,polarizability,DAN,positive
1.079361283995753,-0.060997830182414586,0.001994581774896498,polarizability,MAPS,negative
1.0519400190618633,0.15953197078430456,-0.22948871277736982,polar_surface_area,DAN,positive
1.0279654454007516,0.0033065133467258777,-0.05141593450495695,polarizability,NEDC,negative
1.0221019557414508,0.28616573959045905,-0.24024759054259778,polar_surface_area,NOR,positive
1.0016802989353109,0.016299744800989044,0.05675366003735348,acceptor_count,CHCA,negative
0.9673989637971029,0.028066966007911334,0.012527715300296114,acceptor_count,DHB,negative
0.955662645374152,0.25600340782871917,-0.3279196689934513,polarizability,pNA,positive
0.9105674238019984,0.023454608781429916,-0.010882165429406765,polar_surface_area,ClCCA,negative
0.8758140426398032,0.17177673295720128,-0.25291161012339425,polarizability,9AA,positive
0.8472962535096019,0.0050524697253270315,0.006073910798881721,polar_surface_area,NOR,negative
0.8446281376467876,0.06472565841581139,-0.06274177620832429,acceptor_count,9AA,negative
0.8350311535133482,0.18972545509993952,-0.21270869417812113,polarizability,DHB,positive
0.7964515093251774,0.17177673295720128,-0.25291161012339425,polar_surface_area,9AA,positive
0.7893841891235343,-0.05314015915014781,0.056321712464454506,acceptor_count,pNA,negative
0.7790000714048952,-0.08285334951788087,0.05642306286057809,physiological_charge,CMBT,negative
0.7748024345579515,0.07202900227464086,-0.07139847097923632,polarizability,NEDC,positive
