,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.78717319747113,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,3.938257405112678,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.011026668917547,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,4.5083879732808905,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.6346415542539896,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.441058003152951,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.324541309125251,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.770427895432938,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.424359435442039,MLP,Adenine,9AA,negative,0
9,5.939249906533922,5.121132099762696,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.831389842128676,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.996483412116028,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.19301615079789,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.9445408932052155,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.4457030234742865,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,2.3292236490698137,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,3.297128483534508,MLP,Agmatine,9AA,negative,0
17,0.0,0.9981225110179327,MLP,Cholecalciferol,9AA,negative,0
0,4.443890343962045,4.365485462492956,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.384941909675705,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.353559575959579,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,5.717650795179143,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,2.652416106540131,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,3.105608896791368,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,1.7628065369694559,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.461355054831568,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,4.994067784100738,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,3.4878047179966196,MLP,Citrulline,9AA,negative,1
10,4.29330833634685,4.795361438812921,MLP,Dihydroxyacetone phosphate,9AA,negative,1
11,5.116510282418326,5.0537100891105124,MLP,Flavin mononucleotide,9AA,negative,1
12,5.577610157677287,4.676895130829973,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1
13,0.0,0.16079613920165797,MLP,Acetylcholine,9AA,negative,1
14,0.0,3.2838780675837826,MLP,Biotin,9AA,negative,1
15,0.0,4.370245292614729,MLP,Butyric acid,9AA,negative,1
16,0.0,0.34782301120953935,MLP,Cholesterol,9AA,negative,1
0,3.8008710262539327,5.647134759941814,MLP,Coenzyme A,9AA,negative,2
1,2.4591754069110547,3.7616531120171097,MLP,Creatine,9AA,negative,2
2,3.328813314275123,2.982214722873396,MLP,Creatinine,9AA,negative,2
3,2.641369768140955,2.794078136373199,MLP,Cysteine,9AA,negative,2
4,3.0412610344968245,3.721857966604952,MLP,Cystine,9AA,negative,2
5,3.0660730662818927,3.4535048192328595,MLP,Cytidine,9AA,negative,2
6,4.124395821511017,6.011800743521029,MLP,GM3 Ganglioside 18:0,9AA,negative,2
7,4.714115980594938,4.542896342119734,MLP,Gluconic acid,9AA,negative,2
8,3.5630380761253044,3.062354740547437,MLP,Glucose,9AA,negative,2
9,5.087413863450058,4.7567469385782815,MLP,Glucose 6-phosphate,9AA,negative,2
10,2.8102276674499054,4.33851758879794,MLP,Glucosyl cholesterol,9AA,negative,2
11,4.724261056382808,4.610000823059018,MLP,Glycerol 3-phosphate,9AA,negative,2
12,0.0,1.5989880557232692,MLP,CAR 16:0,9AA,negative,2
13,0.0,0.12503877888858084,MLP,Cholesteryl acetate,9AA,negative,2
14,0.0,0.7471217193889664,MLP,Choline,9AA,negative,2
15,0.0,4.209959152275047,MLP,Cyclic adenosine monophosphate,9AA,negative,2
0,2.5329693079368925,3.794846848077058,MLP,Cytosine,9AA,negative,3
1,2.6664941592236446,2.7731821981528304,MLP,Dopamine,9AA,negative,3
2,2.677103883488091,3.1267472093998263,MLP,Epinephrine,9AA,negative,3
3,5.016272181276773,5.086820619143065,MLP,Flavin adenine dinucleotide,9AA,negative,3
4,3.658273354701202,3.880288271883071,MLP,GlcCer d18:1/18:0,9AA,negative,3
5,4.868475789298719,4.089748697108289,MLP,Glucosamine 6-phosphate,9AA,negative,3
6,4.478279984472924,3.1437211368136984,MLP,Kynurenic acid,9AA,negative,3
7,2.9337644139328,4.456166549610181,MLP,Lyso PA 18:1,9AA,negative,3
8,3.860524287932711,2.933484885930125,MLP,Lyso PC 15:0,9AA,negative,3
9,5.881912850711523,4.342024944900436,MLP,Lyso PG 16:0,9AA,negative,3
10,5.641773056029051,4.561216757559842,MLP,Lyso PI 17:1,9AA,negative,3
11,5.375443979142473,4.698269319086501,MLP,Malic acid,9AA,negative,3
12,0.0,4.785357501437544,MLP,Cytidine monophosphate,9AA,negative,3
13,0.0,4.342747485836137,MLP,Dihydroxyacetone,9AA,negative,3
14,0.0,4.886102976931848,MLP,Fumaric acid,9AA,negative,3
15,0.0,3.3491833943970715,MLP,Glycerophosphocholine,9AA,negative,3
0,4.543663747937896,4.226932416679003,MLP,Glutamic acid,9AA,negative,4
1,4.051807045819844,3.390064539595954,MLP,Glutamine,9AA,negative,4
2,3.836147576475278,4.766321201188126,MLP,Glutathione,9AA,negative,4
3,1.7817697815048323,4.049311862938141,MLP,Glycine,9AA,negative,4
4,3.4028146908018333,3.112702859374231,MLP,Guanine,9AA,negative,4
5,2.4855340958804097,3.605414159143762,MLP,Histamine,9AA,negative,4
6,4.851807597865303,5.089277276563222,MLP,Malonic acid,9AA,negative,4
7,1.7557578089672088,3.077205235150053,MLP,Melatonin,9AA,negative,4
8,4.282931123625906,3.694147433672297,MLP,Mevalonic acid,9AA,negative,4
9,5.187259868417889,5.141472478847069,MLP,Myo-inositol 1-phosphate,9AA,negative,4
10,5.44490784014757,4.531472827071702,MLP,N-Acetylaspartic acid,9AA,negative,4
11,4.4439848341450245,4.9774167960900035,MLP,N-Acetylaspartylglutamic acid,9AA,negative,4
12,0.0,2.3516336305620436,MLP,Estradiol,9AA,negative,4
13,0.0,5.036061223419741,MLP,Folic acid,9AA,negative,4
14,0.0,4.4588228599990805,MLP,Lactic acid,9AA,negative,4
15,0.0,2.285657747149998,MLP,MG 18:1,9AA,negative,4
0,4.078243606162822,3.0764282430375354,MLP,Histidine,9AA,negative,5
1,3.588718548033654,2.89208021019907,MLP,Hypoxanthine,9AA,negative,5
2,2.4949832219523262,3.329839474316651,MLP,Kynurenine,9AA,negative,5
3,2.730207868451544,3.385855667669511,MLP,L-Dopa,9AA,negative,5
4,5.33188795094239,3.5799956915440787,MLP,Lyso PE 18:0,9AA,negative,5
5,5.418025657165832,4.6147923979626375,MLP,Lyso PS 17:1,9AA,negative,5
6,3.602995538986097,5.040700339667576,MLP,Orotic acid,9AA,negative,5
7,4.668582133388854,3.1382153644941324,MLP,PA 16:0-18:1,9AA,negative,5
8,2.391174556253051,2.810122452362675,MLP,PC (O) C16-18:1,9AA,negative,5
9,2.772209450568026,3.170802679571175,MLP,PC 15:0-18:1,9AA,negative,5
10,4.952913805825025,4.043657907229459,MLP,PG 16:0-18:1,9AA,negative,5
11,4.987449242191788,5.117836193981291,MLP,PI 16:0-18:1,9AA,negative,5
12,0.0,3.4115938742416905,MLP,Glucosamine,9AA,negative,5
13,0.0,2.871484085275139,MLP,Homocysteine,9AA,negative,5
14,0.0,3.0647105654808726,MLP,Nicotinamide riboside,9AA,negative,5
15,0.0,5.468673064016991,MLP,Nicotinamide ribotide,9AA,negative,5
0,2.7870869198414447,2.8688841549843094,MLP,Methionine,9AA,negative,6
1,4.488955451051042,5.098441086175025,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,6
2,3.7076340212092274,3.211079022513195,MLP,N-Acetylglucosamine,9AA,negative,6
3,1.729300509816929,2.231943679107404,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6
4,3.6018092441804175,5.833757964018973,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6
5,5.15376747032566,5.437975823336662,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6
6,2.254812102017839,2.8153955537255912,MLP,Ornithine,9AA,negative,6
7,4.745119296674954,4.485085245884751,MLP,PI(5)P 18:1,9AA,negative,6
8,3.099428103824812,3.572187470760692,MLP,Pantetheine,9AA,negative,6
9,3.828050696850258,4.255509877403359,MLP,Pantothenic acid,9AA,negative,6
10,5.197866060993347,4.9709466940512135,MLP,Phosphoenolpyruvic acid,9AA,negative,6
11,3.659129094916607,3.5045077236984157,MLP,Prostaglandin E1,9AA,negative,6
12,0.0,3.0371745444298766,MLP,Niacinamide,9AA,negative,6
13,0.0,3.730338376852639,MLP,Nicotinic acid,9AA,negative,6
14,0.0,5.000084245331586,MLP,Oxalacetic acid,9AA,negative,6
15,0.0,2.572465778315547,MLP,Palmitic acid,9AA,negative,6
0,5.544729838944959,4.679348593625563,MLP,Oxidized glutathione,9AA,negative,7
1,2.9170905417548116,4.872418077382846,MLP,PE 18:0-20:4,9AA,negative,7
2,5.004369745474085,5.269172040317526,MLP,PS (POPS) 16:0-18:1,9AA,negative,7
3,5.3150044901945455,4.6813937695928205,MLP,Palmitoyl-CoA,9AA,negative,7
4,3.1226056211198427,2.6535230323602224,MLP,Phenylalanine,9AA,negative,7
5,3.488606621266416,5.088085735178782,MLP,Phosphocreatine,9AA,negative,7
6,2.8448850221755446,2.182944951647642,MLP,Proline,9AA,negative,7
7,4.467389056433673,3.9290637672469217,MLP,Riboflavin,9AA,negative,7
8,2.514232555669227,3.784110154134099,MLP,Ribulose,9AA,negative,7
9,4.866126392151314,4.840865892972725,MLP,Ribulose 5-phosphate,9AA,negative,7
10,4.78146499660177,4.890869183295304,MLP,Succinic acid,9AA,negative,7
11,4.270315973022902,3.752465766401293,MLP,Thymine,9AA,negative,7
12,0.0,0.437521826796653,MLP,Phylloquinone,9AA,negative,7
13,0.0,1.9578993156323807,MLP,Propionylcarnitine,9AA,negative,7
14,0.0,1.843791403126282,MLP,Putrescine,9AA,negative,7
15,0.0,4.200623478991836,MLP,S-Adenosylmethionine,9AA,negative,7
0,3.824465344853523,3.464549209022136,MLP,Pyridoxine,9AA,negative,8
1,4.404749585288414,4.6150322061721925,MLP,Quinolinic acid,9AA,negative,8
2,4.30198961384967,4.7389162830927996,MLP,S-Adenosylhomocysteine,9AA,negative,8
3,3.2399092583674163,4.166324067338633,MLP,SM d18:1-16:0,9AA,negative,8
4,3.60146760068405,2.5856050875869983,MLP,Serine,9AA,negative,8
5,5.533163212938402,7.659677765094865,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8
6,5.31997602897959,1.8444165534143857,MLP,Taurine,9AA,negative,8
7,4.510950415783443,3.6724884690740867,MLP,Uracil,9AA,negative,8
8,4.4688236998641875,4.877452303793912,MLP,Ureidosuccinic acid,9AA,negative,8
9,4.9520618226943895,4.28088829865254,MLP,Uric acid,9AA,negative,8
10,3.3019065026843375,3.4912193143476493,MLP,Uridine,9AA,negative,8
11,5.935435495502642,5.003297344947163,MLP,Uridine diphosphate,9AA,negative,8
12,0.0,4.029086734181867,MLP,Pyruvic acid,9AA,negative,8
13,0.0,1.2432737249075592,MLP,Retinoic acid,9AA,negative,8
14,0.0,3.3888993343147273,MLP,Serotonin,9AA,negative,8
15,0.0,0.3888024679624165,MLP,Spermidine,9AA,negative,8
0,5.992546007079303,5.183251677117257,MLP,Taurocholic acid,9AA,negative,9
1,2.41442478840722,3.775645534284078,MLP,Tryptophan,9AA,negative,9
2,2.131818765774426,3.3371141920059477,MLP,Tyrosine,9AA,negative,9
3,5.630456576161583,5.250215318647654,MLP,Uridine diphosphate glucose,9AA,negative,9
4,5.077807537596156,5.0219066377526556,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9
5,6.029128849135831,5.206673014874133,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9
6,4.532083482186899,3.405393270426313,MLP,Urocanic acid,9AA,negative,9
7,3.1713776789954284,2.851036553676336,MLP,Valine,9AA,negative,9
8,4.873407036419803,3.4940799702807426,MLP,Xanthine,9AA,negative,9
9,4.852406059687796,5.020242414383974,MLP,cis-Aconitic acid,9AA,negative,9
10,2.9715890912775222,2.9113893902451182,MLP,gamma-Aminobutyric acid,9AA,negative,9
11,2.8644638578656383,3.5840643303117647,MLP,myo-Inositol,9AA,negative,9
12,0.0,-0.5320035103735804,MLP,TG 15:0-18:1-15:0,9AA,negative,9
13,0.0,4.562113838748016,MLP,Tetrahydrofolic acid,9AA,negative,9
14,0.0,1.4380650209174217,MLP,Thiamine,9AA,negative,9
15,0.0,1.6918923787319102,MLP,alpha-tocopherol,9AA,negative,9
0,2.3378258507457588,3.2337159869431447,MLP,4-Hydroxyproline,9AA,positive,0
1,4.886191877946075,5.4219040321233365,MLP,Acetylcarnitine,9AA,positive,0
2,5.2850299174302515,5.755365414005587,MLP,Acetylcholine,9AA,positive,0
3,2.8477399012549363,3.5357753623755768,MLP,Adenosine monophosphate,9AA,positive,0
4,4.369543585782956,2.7063088300625724,MLP,Agmatine,9AA,positive,0
5,3.69311947904992,2.7328668816992745,MLP,Arginine,9AA,positive,0
6,1.2014110816106518,3.9117905957987302,MLP,Argininosuccinic acid,9AA,positive,0
7,0.0,4.623257134215645,MLP,2-Oxoglutaric acid,9AA,positive,0
8,0.0,2.562157821887825,MLP,3-Hydroxyanthranilic acid,9AA,positive,0
9,0.0,3.638382734698834,MLP,3-Hydroxymethylglutaric acid,9AA,positive,0
10,0.0,5.19743633268955,MLP,3-Phosphoglyceric acid,9AA,positive,0
11,0.0,3.881464367861871,MLP,"4,5-Dihydroorotic acid",9AA,positive,0
12,0.0,2.9175505017277885,MLP,5-Hydroxyindoleacetic acid,9AA,positive,0
13,0.0,5.381414702251661,MLP,Acetoacetic acid,9AA,positive,0
14,0.0,3.4200347328312244,MLP,Acetyl-CoA,9AA,positive,0
15,0.0,2.2828436939959715,MLP,Adenine,9AA,positive,0
0,5.9376349305790495,4.284206231692925,MLP,CAR 16:0,9AA,positive,1
1,5.115115150204343,4.208311637622952,MLP,Carnitine,9AA,positive,1
2,2.84879006028283,3.170628226554231,MLP,Carnosine,9AA,positive,1
3,2.562091102683384,2.1832877184238555,MLP,Cer d8:1/22:0 Cer,9AA,positive,1
4,2.880629292318222,3.2265067377962393,MLP,Cholic acid,9AA,positive,1
5,5.666215272916145,3.8000294901298304,MLP,Choline,9AA,positive,1
6,2.30605354157181,2.206882131409424,MLP,Citrulline,9AA,positive,1
7,0.0,2.945676063007697,MLP,Adenosine diphosphate,9AA,positive,1
8,0.0,2.414509821060144,MLP,Ascorbic acid,9AA,positive,1
9,0.0,2.5937188514323317,MLP,Asparagine,9AA,positive,1
10,0.0,2.163745713136835,MLP,Aspartic acid,9AA,positive,1
11,0.0,1.9866102192563506,MLP,Biotin,9AA,positive,1
12,0.0,4.226348308848231,MLP,Butyric acid,9AA,positive,1
13,0.0,0.5799950053624954,MLP,Cardiolipin 18:1,9AA,positive,1
14,0.0,2.8791117346094763,MLP,Cholecalciferol,9AA,positive,1
15,0.0,3.251390927695575,MLP,Cholesteryl acetate,9AA,positive,1
0,2.6874666930122495,2.70058994208326,MLP,Creatine,9AA,positive,2
1,2.8916154419314215,2.263860258707872,MLP,Creatinine,9AA,positive,2
2,2.484365861328573,2.5935401339550603,MLP,Cyclic adenosine monophosphate,9AA,positive,2
3,2.791869269386008,3.3993974114860848,MLP,Cytidine,9AA,positive,2
4,3.4023905055806605,3.463738410044092,MLP,Flavin mononucleotide,9AA,positive,2
5,2.8992784995883603,3.696225578660578,MLP,Glucosyl cholesterol,9AA,positive,2
6,4.153401046926821,4.837818571859011,MLP,Glycerophosphocholine,9AA,positive,2
7,0.0,4.897749477229741,MLP,Cholesterol,9AA,positive,2
8,0.0,4.578439603467586,MLP,Cholesteryl ester 17:0,9AA,positive,2
9,0.0,3.4608396496409943,MLP,Citric acid,9AA,positive,2
10,0.0,3.841428975517135,MLP,Coenzyme A,9AA,positive,2
11,0.0,2.4785165080520435,MLP,Cysteine,9AA,positive,2
12,0.0,2.087539028930882,MLP,DG 18:0-22:6,9AA,positive,2
13,0.0,3.1150896556729237,MLP,Dihydroxyacetone,9AA,positive,2
14,0.0,3.273294031753604,MLP,Dihydroxyacetone phosphate,9AA,positive,2
15,0.0,2.3308748421397536,MLP,Dopamine,9AA,positive,2
0,4.171703915963149,2.7041088077452913,MLP,Cytidine monophosphate,9AA,positive,3
1,1.8834350888853608,2.722125974627765,MLP,Cytosine,9AA,positive,3
2,4.407864386932945,3.505101816091044,MLP,Folic acid,9AA,positive,3
3,4.446442436277514,3.8015566514918824,MLP,GlcCer d18:1/18:0,9AA,positive,3
4,2.6502238429436455,2.6424103409479316,MLP,Lyso PA 18:1,9AA,positive,3
5,5.5556957076743,4.357858673921409,MLP,Lyso PC 15:0,9AA,positive,3
6,3.046217876551199,2.6281651917098805,MLP,Lyso PG 16:0,9AA,positive,3
7,0.0,2.585474118619308,MLP,Epinephrine,9AA,positive,3
8,0.0,3.158959763606391,MLP,Flavin adenine dinucleotide,9AA,positive,3
9,0.0,3.825488905584653,MLP,"Fructose 1,6-bisphosphate",9AA,positive,3
10,0.0,4.294976200023361,MLP,Fumaric acid,9AA,positive,3
11,0.0,2.775575361868149,MLP,GM3 Ganglioside 18:0,9AA,positive,3
12,0.0,3.2186636192436864,MLP,Gluconic acid,9AA,positive,3
13,0.0,3.3161715117232915,MLP,Glucosamine,9AA,positive,3
14,0.0,2.419869529699298,MLP,Glucosamine 6-phosphate,9AA,positive,3
15,0.0,2.652828485008493,MLP,Glucose,9AA,positive,3
0,2.484553848680711,2.2733821257636544,MLP,Glutamine,9AA,positive,4
1,3.0739521833663166,1.737505468745223,MLP,Glutathione,9AA,positive,4
2,2.496968262604692,2.172131096686773,MLP,Guanine,9AA,positive,4
3,2.827603205578959,2.716539026719772,MLP,Histamine,9AA,positive,4
4,1.5751231001930148,2.887573676509184,MLP,Lyso PI 17:1,9AA,positive,4
5,2.0344707907417185,2.015676197640604,MLP,MG 18:1,9AA,positive,4
6,2.1969204545772105,2.998006955533355,MLP,Mevalonic acid,9AA,positive,4
7,0.0,1.8816222268715215,MLP,Glutamic acid,9AA,positive,4
8,0.0,3.7524670482079525,MLP,Glycerol 3-phosphate,9AA,positive,4
9,0.0,3.3944176589090898,MLP,Glycine,9AA,positive,4
10,0.0,2.2823291422310596,MLP,Homocysteine,9AA,positive,4
11,0.0,4.112377088053071,MLP,Kynurenic acid,9AA,positive,4
12,0.0,2.156939379717288,MLP,L-Dopa,9AA,positive,4
13,0.0,4.534386496982407,MLP,Lactic acid,9AA,positive,4
14,0.0,3.756685564923184,MLP,Malic acid,9AA,positive,4
15,0.0,5.954464816153527,MLP,Malonic acid,9AA,positive,4
0,2.8135492325418614,2.348207610063918,MLP,Histidine,9AA,positive,5
1,2.6921040150610835,2.297912349408782,MLP,Hypoxanthine,9AA,positive,5
2,1.7439860749977387,2.8917075978945173,MLP,Kynurenine,9AA,positive,5
3,2.642937010970972,2.940562898989571,MLP,Lyso PE 18:0,9AA,positive,5
4,3.7156266645514244,3.7266158119367576,MLP,N-Acetylaspartylglutamic acid,9AA,positive,5
5,2.4786075712722377,2.512312480587511,MLP,Nicotinamide riboside,9AA,positive,5
6,2.8868424740218557,2.490665250668383,MLP,Nicotinamide ribotide,9AA,positive,5
7,0.0,2.045229107405107,MLP,Melatonin,9AA,positive,5
8,0.0,2.8322674625455777,MLP,Methionine,9AA,positive,5
9,0.0,2.230293079067238,MLP,N-Acetylaspartic acid,9AA,positive,5
10,0.0,3.2898106294667175,MLP,N-Acetylgalactosamine 6-phosphate,9AA,positive,5
11,0.0,2.246774667672084,MLP,Niacinamide,9AA,positive,5
12,0.0,3.7369811973340994,MLP,Nicotinic acid,9AA,positive,5
13,0.0,2.3588150362729725,MLP,Orotic acid,9AA,positive,5
14,0.0,2.159351075080572,MLP,Oxalacetic acid,9AA,positive,5
15,0.0,1.9452130072208575,MLP,PI 16:0-18:1,9AA,positive,5
0,2.332565295780774,2.109952009238324,MLP,Lyso PS 17:1,9AA,positive,6
1,2.617136168031702,2.5601793025369792,MLP,N-Acetylglucosamine,9AA,positive,6
2,5.06130744676179,4.336313933481113,MLP,"N6,N6,N6-Trimethyllysine",9AA,positive,6
3,1.9363460543438888,2.4711655655995415,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6
4,2.2584431954377955,2.8612122545052716,MLP,PA 16:0-18:1,9AA,positive,6
5,4.777583767375446,6.8512735580825135,MLP,PC (O) C16-18:1,9AA,positive,6
6,4.635371635511165,6.370446955587284,MLP,PC 15:0-18:1,9AA,positive,6
7,0.0,2.976839476533566,MLP,Ornithine,9AA,positive,6
8,0.0,3.100550462883809,MLP,PE 18:0-20:4,9AA,positive,6
9,0.0,2.043871955527357,MLP,PI(5)P 18:1,9AA,positive,6
10,0.0,4.942346207591714,MLP,Palmitic acid,9AA,positive,6
11,0.0,2.5413571909712407,MLP,Palmitoyl-CoA,9AA,positive,6
12,0.0,2.683832773029254,MLP,Pantothenic acid,9AA,positive,6
13,0.0,2.4970044751111153,MLP,Phenylalanine,9AA,positive,6
14,0.0,3.4668203208357893,MLP,Phosphoenolpyruvic acid,9AA,positive,6
15,0.0,6.0741089041940795,MLP,Pyruvic acid,9AA,positive,6
0,1.432026056628531,3.3090643964893642,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,7
1,3.354504771992124,2.660435152294853,MLP,Oxidized glutathione,9AA,positive,7
2,2.4888701861266345,2.5338229970987363,MLP,PG 16:0-18:1,9AA,positive,7
3,2.332154358619539,2.4793941346246346,MLP,PS (POPS) 16:0-18:1,9AA,positive,7
4,1.6394397303685135,2.389329659105233,MLP,Pantetheine,9AA,positive,7
5,1.0793084756925895,2.4603272821577753,MLP,Pyridoxine,9AA,positive,7
6,0.0,3.2483679780139956,MLP,Proline,9AA,positive,7
7,0.0,3.4475195902849367,MLP,Putrescine,9AA,positive,7
8,0.0,2.7293667979631047,MLP,Quinolinic acid,9AA,positive,7
9,0.0,4.744143337709981,MLP,Retinoic acid,9AA,positive,7
10,0.0,2.5970506058041165,MLP,Ribulose,9AA,positive,7
11,0.0,2.4828230093670665,MLP,Serine,9AA,positive,7
12,0.0,3.7772706371508815,MLP,Succinic acid,9AA,positive,7
13,0.0,2.939778093899476,MLP,Thymine,9AA,positive,7
14,0.0,3.0341294459199974,MLP,Uracil,9AA,positive,7
0,5.007917180811387,5.246044652302352,MLP,Propionylcarnitine,9AA,positive,8
1,3.536423146343019,2.864362148391247,MLP,Prostaglandin E1,9AA,positive,8
2,3.7775962294452268,2.502976698952038,MLP,S-Adenosylhomocysteine,9AA,positive,8
3,3.0956653149805335,3.181502919875213,MLP,S-Adenosylmethionine,9AA,positive,8
4,4.986752623858816,4.34578913853377,MLP,SM d18:1-16:0,9AA,positive,8
5,3.2822390738927743,5.64726710668621,MLP,Spermidine,9AA,positive,8
6,0.0,2.7169653431780305,MLP,Serotonin,9AA,positive,8
7,0.0,2.9754967052131267,MLP,Sulfo GalCer 18:0(2S-OH),9AA,positive,8
8,0.0,6.199596268212015,MLP,Taurine,9AA,positive,8
9,0.0,3.3622762399865525,MLP,Taurocholic acid,9AA,positive,8
10,0.0,2.5743708202673545,MLP,Ureidosuccinic acid,9AA,positive,8
11,0.0,1.705066126800284,MLP,Uric acid,9AA,positive,8
12,0.0,2.4464135008883225,MLP,Uridine,9AA,positive,8
13,0.0,3.201701799539906,MLP,Uridine diphosphate,9AA,positive,8
14,0.0,2.721872320674609,MLP,Uridine diphosphate glucose,9AA,positive,8
0,4.877271833226356,2.896832450604074,MLP,Riboflavin,9AA,positive,9
1,1.2166864004219589,3.357459558868252,MLP,TG 15:0-18:1-15:0,9AA,positive,9
2,4.079660655618825,3.383150909807578,MLP,Tetrahydrofolic acid,9AA,positive,9
3,3.3934654839929106,3.0244817232701156,MLP,Thiamine,9AA,positive,9
4,1.5879780805726433,2.8226071179736825,MLP,Tryptophan,9AA,positive,9
5,2.2062301335015757,2.754848022581124,MLP,Urocanic acid,9AA,positive,9
