,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
0,4.814306627793246,4.052196283240877,MLP,2-Oxoglutaric acid,9AA,negative,0,0
1,3.754200406487889,3.750433319581451,MLP,3-Hydroxyanthranilic acid,9AA,negative,0,0
2,5.164587787189345,3.96475257170658,MLP,3-Phosphoglyceric acid,9AA,negative,0,0
3,4.971478312451223,4.028763845507915,MLP,"4,5-Dihydroorotic acid",9AA,negative,0,0
4,3.3765543523528434,3.9620596565160415,MLP,4-Hydroxyproline,9AA,negative,0,0
5,2.4740469582469,3.944979935628074,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0,0
6,5.012308835041252,3.830604616331854,MLP,6-Phosphogluconic acid,9AA,negative,0,0
7,5.311557557961862,3.9656545197601294,MLP,Acetyl-CoA,9AA,negative,0,0
8,3.40681419340028,3.651338752865526,MLP,Adenine,9AA,negative,0,0
9,5.939249906533922,4.25825263418704,MLP,Adenosine diphosphate,9AA,negative,0,0
10,5.608065874035438,4.081442558036762,MLP,Adenosine monophosphate,9AA,negative,0,0
11,3.823916336254096,3.997464424663314,MLP,Arginine,9AA,negative,0,0
12,3.9789439936786417,4.106433555207741,MLP,Ascorbic acid,9AA,negative,0,0
13,0.0,4.038677784367549,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0,0
14,0.0,3.975975279774481,MLP,Acetoacetic acid,9AA,negative,0,0
15,0.0,4.026639369915126,MLP,Acetylcarnitine,9AA,negative,0,0
16,0.0,4.001936189579471,MLP,Agmatine,9AA,negative,0,0
17,0.0,4.115167385551518,MLP,Cholecalciferol,9AA,negative,0,0
18,4.443890343962045,4.100725801271733,MLP,Argininosuccinic acid,9AA,negative,1,0
19,3.055972327319788,4.128188037680501,MLP,Asparagine,9AA,negative,1,0
20,4.208115674739658,4.088980855316508,MLP,Aspartic acid,9AA,negative,1,0
21,3.3752408900526563,4.125991215816663,MLP,Cardiolipin 18:1,9AA,negative,1,0
22,1.879065013088656,3.8992361214356106,MLP,Carnitine,9AA,negative,1,0
23,5.079465529733637,4.074396796227403,MLP,Carnosine,9AA,negative,1,0
24,2.496652759332836,3.86048600275052,MLP,Cer d8:1/22:0 Cer,9AA,negative,1,0
25,4.2583717408536526,3.7299695983897942,MLP,Cholic acid,9AA,negative,1,0
26,5.206625379926532,4.293886904060855,MLP,Citric acid,9AA,negative,1,0
27,4.08369265554015,4.015215430677906,MLP,Citrulline,9AA,negative,1,0
28,4.29330833634685,4.116931301120964,MLP,Dihydroxyacetone phosphate,9AA,negative,1,0
29,5.116510282418326,4.128894715191058,MLP,Flavin mononucleotide,9AA,negative,1,0
30,5.577610157677287,4.123317020836464,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1,0
31,0.0,4.117093170315439,MLP,Acetylcholine,9AA,negative,1,0
32,0.0,4.126962553705658,MLP,Biotin,9AA,negative,1,0
33,0.0,4.0993684331120805,MLP,Butyric acid,9AA,negative,1,0
34,0.0,4.11880969566937,MLP,Cholesterol,9AA,negative,1,0
35,3.8008710262539327,4.196322069806389,MLP,Coenzyme A,9AA,negative,2,0
36,2.4591754069110547,4.285999090796445,MLP,Creatine,9AA,negative,2,0
37,3.328813314275123,4.228698744193897,MLP,Creatinine,9AA,negative,2,0
38,2.641369768140955,4.223929711703267,MLP,Cysteine,9AA,negative,2,0
39,3.0412610344968245,4.451697702363062,MLP,Cystine,9AA,negative,2,0
40,3.0660730662818927,4.022637868722137,MLP,Cytidine,9AA,negative,2,0
41,4.124395821511017,4.1760376671900845,MLP,GM3 Ganglioside 18:0,9AA,negative,2,0
42,4.714115980594938,4.173793250962533,MLP,Gluconic acid,9AA,negative,2,0
43,3.5630380761253044,3.9981812757203543,MLP,Glucose,9AA,negative,2,0
44,5.087413863450058,5.0162446372158565,MLP,Glucose 6-phosphate,9AA,negative,2,0
45,2.8102276674499054,4.173007052201426,MLP,Glucosyl cholesterol,9AA,negative,2,0
46,4.724261056382808,4.231063830477821,MLP,Glycerol 3-phosphate,9AA,negative,2,0
47,0.0,4.205161396165736,MLP,CAR 16:0,9AA,negative,2,0
48,0.0,3.957593853331365,MLP,Cholesteryl acetate,9AA,negative,2,0
49,0.0,3.698362635702937,MLP,Choline,9AA,negative,2,0
50,0.0,4.517482774684582,MLP,Cyclic adenosine monophosphate,9AA,negative,2,0
51,2.5329693079368925,4.270195164260569,MLP,Cytosine,9AA,negative,3,0
52,2.6664941592236446,3.838661823686148,MLP,Dopamine,9AA,negative,3,0
53,2.677103883488091,4.153702705981289,MLP,Epinephrine,9AA,negative,3,0
54,5.016272181276773,3.806421972708745,MLP,Flavin adenine dinucleotide,9AA,negative,3,0
55,3.658273354701202,4.16775293266403,MLP,GlcCer d18:1/18:0,9AA,negative,3,0
56,4.868475789298719,4.1790184431030175,MLP,Glucosamine 6-phosphate,9AA,negative,3,0
57,4.478279984472924,4.05922684957174,MLP,Kynurenic acid,9AA,negative,3,0
58,2.9337644139328,4.048340555612212,MLP,Lyso PA 18:1,9AA,negative,3,0
59,3.860524287932711,3.864027741338888,MLP,Lyso PC 15:0,9AA,negative,3,0
60,5.881912850711523,4.050701350990322,MLP,Lyso PG 16:0,9AA,negative,3,0
61,5.641773056029051,4.032825295332876,MLP,Lyso PI 17:1,9AA,negative,3,0
62,5.375443979142473,4.043835816293308,MLP,Malic acid,9AA,negative,3,0
63,0.0,3.7637399820417015,MLP,Cytidine monophosphate,9AA,negative,3,0
64,0.0,4.002729439860026,MLP,Dihydroxyacetone,9AA,negative,3,0
65,0.0,3.9994349553125055,MLP,Fumaric acid,9AA,negative,3,0
66,0.0,3.9667858549678057,MLP,Glycerophosphocholine,9AA,negative,3,0
67,4.543663747937896,3.949960682845647,MLP,Glutamic acid,9AA,negative,4,0
68,4.051807045819844,4.163236308789969,MLP,Glutamine,9AA,negative,4,0
69,3.836147576475278,4.1422544846086335,MLP,Glutathione,9AA,negative,4,0
70,1.7817697815048323,3.852277098764567,MLP,Glycine,9AA,negative,4,0
71,3.4028146908018333,4.425971895439386,MLP,Guanine,9AA,negative,4,0
72,2.4855340958804097,4.107331930309576,MLP,Histamine,9AA,negative,4,0
73,4.851807597865303,3.832270987534704,MLP,Malonic acid,9AA,negative,4,0
74,1.7557578089672088,3.960845646200204,MLP,Melatonin,9AA,negative,4,0
75,4.282931123625906,4.148147526293231,MLP,Mevalonic acid,9AA,negative,4,0
76,5.187259868417889,4.42824004513462,MLP,Myo-inositol 1-phosphate,9AA,negative,4,0
77,5.44490784014757,4.127089216668676,MLP,N-Acetylaspartic acid,9AA,negative,4,0
78,4.4439848341450245,3.9731580178991126,MLP,N-Acetylaspartylglutamic acid,9AA,negative,4,0
79,0.0,3.89072323002932,MLP,Estradiol,9AA,negative,4,0
80,0.0,4.128240139118949,MLP,Folic acid,9AA,negative,4,0
81,0.0,3.7521745452314894,MLP,Lactic acid,9AA,negative,4,0
82,0.0,4.128541342655061,MLP,MG 18:1,9AA,negative,4,0
83,4.078243606162822,4.154702968155383,MLP,Histidine,9AA,negative,5,0
84,3.588718548033654,4.209492968369021,MLP,Hypoxanthine,9AA,negative,5,0
85,2.4949832219523262,4.1056299793722175,MLP,Kynurenine,9AA,negative,5,0
86,2.730207868451544,4.147696016248819,MLP,L-Dopa,9AA,negative,5,0
87,5.33188795094239,4.2439055627326585,MLP,Lyso PE 18:0,9AA,negative,5,0
88,5.418025657165832,3.6881852285035537,MLP,Lyso PS 17:1,9AA,negative,5,0
89,3.602995538986097,4.110217011809611,MLP,Orotic acid,9AA,negative,5,0
90,4.668582133388854,3.9793219844021466,MLP,PA 16:0-18:1,9AA,negative,5,0
91,2.391174556253051,3.706531822503896,MLP,PC (O) C16-18:1,9AA,negative,5,0
92,2.772209450568026,3.695669322428509,MLP,PC 15:0-18:1,9AA,negative,5,0
93,4.952913805825025,4.154544778839306,MLP,PG 16:0-18:1,9AA,negative,5,0
94,4.987449242191788,4.11070058892431,MLP,PI 16:0-18:1,9AA,negative,5,0
95,0.0,4.1094693373994025,MLP,Glucosamine,9AA,negative,5,0
96,0.0,4.126387659236357,MLP,Homocysteine,9AA,negative,5,0
97,0.0,4.030970826308009,MLP,Nicotinamide riboside,9AA,negative,5,0
98,0.0,3.8712955977598176,MLP,Nicotinamide ribotide,9AA,negative,5,0
99,2.7870869198414447,3.841432331824804,MLP,Methionine,9AA,negative,6,0
100,4.488955451051042,4.025087198139907,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,6,0
101,3.7076340212092274,4.134866104492951,MLP,N-Acetylglucosamine,9AA,negative,6,0
102,1.729300509816929,4.5544985904353625,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6,0
103,3.601809244180417,4.138889389523141,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6,0
104,5.15376747032566,3.731705372397081,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6,0
105,2.254812102017839,4.192951021033012,MLP,Ornithine,9AA,negative,6,0
