,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.036465777899203,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,3.7669323951434754,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,4.069315279179374,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,4.052405506489219,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,3.8355612742910226,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,3.8264012113250456,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,3.7864991782637616,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.071024001162237,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.7680129082414475,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.205962737510465,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.016148261424281,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,4.070252393174296,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.130607505137707,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.045245491854851,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.08404174818525,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,3.8751023842111647,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,4.067335800154455,MLP,Agmatine,9AA,negative,0
17,0.0,3.946625507333875,MLP,Cholecalciferol,9AA,negative,0
0,4.443890343962045,4.1210377492540315,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.088855738593826,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.032572518454297,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,4.097786317918116,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.9019606118574783,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,4.131348788419904,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,3.8707501529832262,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.7490672223891606,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,4.19221046384794,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,3.9805718511822885,MLP,Citrulline,9AA,negative,1
10,4.29330833634685,4.137115769360389,MLP,Dihydroxyacetone phosphate,9AA,negative,1
11,5.116510282418326,4.085798922863887,MLP,Flavin mononucleotide,9AA,negative,1
12,5.577610157677287,4.105647574864862,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1
13,0.0,4.149869420891241,MLP,Acetylcholine,9AA,negative,1
14,0.0,4.061604151286763,MLP,Biotin,9AA,negative,1
15,0.0,4.15931180166454,MLP,Butyric acid,9AA,negative,1
16,0.0,4.120160409096125,MLP,Cholesterol,9AA,negative,1
0,3.8008710262539327,4.240744470568025,MLP,Coenzyme A,9AA,negative,2
1,2.4591754069110547,4.330366998611477,MLP,Creatine,9AA,negative,2
2,3.328813314275123,4.2924636135473575,MLP,Creatinine,9AA,negative,2
3,2.641369768140955,4.289166920747883,MLP,Cysteine,9AA,negative,2
4,3.0412610344968245,4.435723038179642,MLP,Cystine,9AA,negative,2
5,3.0660730662818927,3.94849754039229,MLP,Cytidine,9AA,negative,2
6,4.124395821511017,4.208701455762915,MLP,GM3 Ganglioside 18:0,9AA,negative,2
7,4.714115980594938,4.199846202614174,MLP,Gluconic acid,9AA,negative,2
8,3.5630380761253044,3.9282705950763277,MLP,Glucose,9AA,negative,2
9,5.087413863450058,4.788373580879918,MLP,Glucose 6-phosphate,9AA,negative,2
10,2.8102276674499054,4.192865716973682,MLP,Glucosyl cholesterol,9AA,negative,2
11,4.724261056382808,4.294098528582571,MLP,Glycerol 3-phosphate,9AA,negative,2
12,0.0,4.27619293266699,MLP,CAR 16:0,9AA,negative,2
13,0.0,3.898558263721358,MLP,Cholesteryl acetate,9AA,negative,2
14,0.0,3.7284239174628175,MLP,Choline,9AA,negative,2
15,0.0,4.471378176847231,MLP,Cyclic adenosine monophosphate,9AA,negative,2
0,2.5329693079368925,4.310303200213386,MLP,Cytosine,9AA,negative,3
1,2.6664941592236446,3.8502958016800175,MLP,Dopamine,9AA,negative,3
2,2.677103883488091,4.094025643857177,MLP,Epinephrine,9AA,negative,3
3,5.016272181276773,3.804598443239721,MLP,Flavin adenine dinucleotide,9AA,negative,3
4,3.658273354701202,4.114097641033596,MLP,GlcCer d18:1/18:0,9AA,negative,3
5,4.868475789298719,4.1321747148211925,MLP,Glucosamine 6-phosphate,9AA,negative,3
6,4.478279984472924,4.04464358920377,MLP,Kynurenic acid,9AA,negative,3
7,2.9337644139328,4.03803171367419,MLP,Lyso PA 18:1,9AA,negative,3
8,3.860524287932711,3.8734646309304033,MLP,Lyso PC 15:0,9AA,negative,3
