feature_name,mean_abs_shap,matrix,polarity
acceptor_count,1.8170494526121879,DHAP,negative
acceptor_count,1.5986684194960248,DAN,negative
donor_count,1.1923910739501904,NOR,negative
donor_count,1.1373571006801162,DHAP,negative
donor_count,1.1172885885363961,DAN,negative
polar_surface_area,1.0598883799393661,DAN,negative
polarizability,1.0442147751801585,DAN,negative
polarizability,1.0364838715619835,9AA,negative
polar_surface_area,1.0294593448724645,NOR,negative
donor_count,1.0164091107564082,9AA,negative
polar_surface_area,1.0128893689380993,9AA,negative
acceptor_count,1.010461075120017,9AA,negative
pka_strongest_basic,1.010015558391421,DHAP,negative
389,0.9984268220184382,DHAP,negative
acceptor_count,0.9930421094943752,NOR,negative
polarizability,0.9748720835781546,NOR,negative
donor_count,0.8538363904642844,DHAP,positive
1917,0.8417009845507428,DHAP,negative
acceptor_count,0.8176611823326146,pNA,positive
physiological_charge,0.8169608860979417,DAN,negative
1380,0.8143639789288578,DHAP,negative
polarizability,0.7910008975624805,pNA,negative
polar_surface_area,0.7867306788234851,DHAP,negative
80,0.7715811620272147,DHAP,negative
1564,0.7669424097637952,NOR,negative
donor_count,0.7642083060038699,CMBT,positive
1,0.7587104298108674,DHAP,negative
1564,0.7560745370260046,DAN,negative
polarizability,0.7128802892307496,pNA,positive
1564,0.6808392848888057,9AA,negative
pka_strongest_acidic,0.678666075564043,9AA,positive
pka_strongest_basic,0.670339990563413,NOR,negative
acceptor_count,0.667788358017005,DHAP,positive
1873,0.657927860418746,DHAP,negative
polar_surface_area,0.6503345139931436,DHAP,positive
389,0.6444725978329326,CMBT,positive
pka_strongest_basic,0.6371191821569588,9AA,negative
1019,0.6276133661758314,DAN,negative
acceptor_count,0.619084991528441,CMBT,positive
1564,0.6135216609484726,CMBT,negative
1716,0.6084832016584332,DAN,negative
polar_surface_area,0.6060337762658795,CMBT,positive
389,0.6009009991970026,DHAP,positive
1152,0.5990737453343407,CMBT,negative
physiological_charge,0.5984669166539961,9AA,negative
pka_strongest_acidic,0.5849020290696485,NEDC,positive
pka_strongest_acidic,0.5833901916630566,pNA,positive
1564,0.5797137336176672,9AA,positive
polar_surface_area,0.5748657597228884,pNA,positive
1911,0.5664110212283997,9AA,negative
polarizability,0.5661656904948603,DAN,positive
1152,0.565067812697562,9AA,negative
650,0.5619428733112347,DHAP,negative
pka_strongest_basic,0.5524206954608389,DHAP,positive
pka_strongest_acidic,0.5522422790370218,DHAP,negative
1917,0.5513277433276402,CMBT,positive
1019,0.5355968650864678,9AA,negative
physiological_charge,0.5273241605797655,NOR,negative
1750,0.5229526037083184,DHAP,negative
pka_strongest_basic,0.5199482971116718,DAN,negative
222,0.5182908030449659,DHAP,negative
donor_count,0.5181035020598962,CMBT,negative
physiological_charge,0.515928887030784,DHAP,negative
80,0.5101076259842199,DHAP,positive
1152,0.5099257280112831,9AA,positive
acceptor_count,0.5098476847238613,NOR,positive
192,0.5089346444222824,DAN,negative
donor_count,0.5073304361543816,pNA,positive
1911,0.5048374977031368,DAN,negative
acceptor_count,0.5030309281748486,pNA,negative
1452,0.49571794192067437,DHAP,negative
80,0.49339284684621926,CMBT,positive
1917,0.49335479004252136,DHAP,positive
donor_count,0.4908636208194509,DHB,negative
1257,0.4891614754165757,DAN,negative
1380,0.48748965316141646,CMBT,positive
1,0.48641761263839506,CMBT,positive
polarizability,0.4863613576281246,9AA,positive
pka_strongest_basic,0.4814739001166979,CMBT,positive
pka_strongest_basic,0.48004945289491247,DAN,positive
486,0.4799797003231714,DAN,negative
1716,0.47828490805366763,NOR,negative
1716,0.47428929433226585,9AA,negative
acceptor_count,0.47175729083516293,CHCA,positive
1380,0.4695513629460369,DHAP,positive
695,0.46797474509766024,CMBT,negative
192,0.4669238383309071,NOR,negative
polarizability,0.46411940845570876,DHAP,negative
1911,0.46277397751275984,NOR,negative
1019,0.4579276763226675,NOR,negative
1564,0.4574224232046893,NOR,positive
acceptor_count,0.4546612593825184,ClCCA,negative
1152,0.4520178758346424,DAN,negative
donor_count,0.4509857283511127,ClCCA,negative
physiological_charge,0.4483525494508671,pNA,positive
1,0.44525150750467385,DHAP,positive
486,0.4431659343189623,9AA,negative
polar_surface_area,0.4426971646238825,DHB,negative
486,0.4425760939115693,NOR,negative
695,0.4418843286397633,DHAP,negative
donor_count,0.4374889413564943,DAN,positive
pka_strongest_acidic,0.4362276114438745,DHAP,positive
1171,0.4354806224261325,9AA,negative
donor_count,0.43289502142615677,pNA,negative
polar_surface_area,0.42613398046934237,CHCA,negative
polarizability,0.4225347900904263,NOR,positive
physiological_charge,0.4216658453053863,DAN,positive
polarizability,0.42084149147920086,CMBT,positive
acceptor_count,0.4201568222254026,DAN,positive
1849,0.4187206752411075,DHAP,negative
donor_count,0.4186198025886253,CHCA,negative
polarizability,0.41765081697341166,DHAP,positive
1171,0.41630829454748175,DAN,negative
1716,0.41444565495776553,CMBT,negative
acceptor_count,0.41339875086436445,DHB,positive
1,0.4131836445853571,9AA,negative
pka_strongest_basic,0.4104967500975666,NOR,positive
physiological_charge,0.40874830643333554,pNA,negative
pka_strongest_basic,0.40789964293362574,pNA,negative
650,0.40657065408022114,CMBT,positive
1838,0.405014340432955,DHAP,negative
pka_strongest_acidic,0.403519046588578,9AA,negative
polar_surface_area,0.40288570811972024,CMBT,negative
1257,0.3994312028920541,9AA,negative
polar_surface_area,0.39789037675122596,DAN,positive
acceptor_count,0.39533138385778593,CMBT,negative
1564,0.3940710951633091,MAPS,negative
80,0.39183897633059805,9AA,negative
pka_strongest_basic,0.3893262637288083,ClCCA,negative
786,0.3842146605527474,DHAP,negative
1171,0.38237684615164624,NOR,negative
1873,0.38107119016666813,CMBT,positive
1564,0.3768295883850166,NEDC,positive
486,0.3758310655244596,CMBT,negative
695,0.3730027833163287,CMBT,positive
1873,0.37062682929663976,DHAP,positive
656,0.3704059574732691,DHAP,negative
294,0.370335662326107,DAN,negative
1257,0.36968228113779694,NOR,negative
389,0.3688864444502659,CMBT,negative
192,0.3688750364731974,9AA,negative
polar_surface_area,0.3677041898765124,ClCCA,negative
polarizability,0.3670275002061258,CMBT,negative
1380,0.36638660322120586,9AA,negative
pka_strongest_acidic,0.36629987125616575,CMBT,positive
294,0.3618463469171746,NOR,negative
acceptor_count,0.3560253305073975,MAPS,positive
polar_surface_area,0.35506594129379443,NOR,positive
1564,0.353513511558148,pNA,positive
1917,0.3508616276085377,9AA,negative
695,0.34970011444979465,9AA,negative
pka_strongest_acidic,0.3496124355094225,NOR,positive
1019,0.34765064262094036,CMBT,negative
1380,0.3473484522550169,NOR,positive
1838,0.34487063555950015,CMBT,positive
1838,0.34420157062986323,CMBT,negative
