feature_name,mean_abs_shap,matrix,polarity
2034,46.861876645813815,DHB,negative
1182,42.21474290930706,DHB,negative
35,36.98208714661145,DHB,negative
adduct_+H,33.41909402868022,DHB,negative
2034,32.633053818445525,DHAP,negative
1182,30.89347515983528,DHAP,negative
adduct_+Cl,30.76094812305941,DHB,negative
1432,26.1619879906731,NEDC,negative
pka_strongest_acidic,25.85761479423314,DHB,negative
35,25.5088410789011,DHAP,negative
623,24.869971650423132,DHB,negative
adduct_+H,24.79781984652947,DHAP,negative
adduct_+Cl,24.692899462160845,ClCCA,negative
1451,24.66749512305672,DHB,negative
2034,24.62559849875314,ClCCA,negative
adduct_+Cl,24.29629997164011,NEDC,negative
adduct_+Cl,23.561846965651835,DHAP,negative
1349,23.179936170191638,DHB,negative
1432,23.07987635723059,DHB,negative
892,23.06307876838938,DHB,negative
352,22.575852433206055,DHB,negative
1614,21.89001542918276,DHB,negative
1432,21.813031752904255,ClCCA,negative
1328,20.83099523567601,DHB,negative
1144,20.58522344450804,DHB,negative
1855,20.50853961447011,DHB,negative
1182,19.799328412495406,9AA,positive
pka_strongest_acidic,19.688377203231447,DHAP,negative
35,19.66181849323067,9AA,positive
2034,19.65246176908288,CHCA,negative
785,19.568309839221016,DHB,negative
adduct_+H,19.543429228994583,ClCCA,negative
396,19.498837678328805,DHB,negative
1607,19.371048186506545,NEDC,negative
adduct_-H,19.363932543933608,DHB,negative
1145,19.32875314972741,DHB,negative
adduct_+Na,19.203243070970412,DHB,negative
adduct_+Cl,19.14606543943946,CHCA,negative
314,19.129813816236414,DHB,negative
1693,18.81061527888169,DHB,negative
1432,18.480532841401153,DHAP,negative
179,18.320305423460145,DHB,negative
528,18.216429193105018,NEDC,negative
890,18.19830682868327,DHB,negative
1114,17.958543860394023,DHB,negative
1838,17.85145889222622,DHB,negative
623,17.52501196058446,DHAP,negative
1607,17.244662360868592,DHB,negative
352,17.152546112415163,DHAP,negative
1995,17.138282886772817,NEDC,negative
1879,17.047655904260665,DHB,negative
1431,16.937435604087785,DHB,negative
2034,16.878347331624745,NEDC,negative
473,16.726514056851357,DHB,negative
504,16.69148020249744,DHB,negative
1432,16.61513676975347,CHCA,negative
1022,16.598462393318396,DHB,negative
adduct_+H,16.543141567065746,CHCA,negative
1451,16.32979393859258,DHAP,negative
1182,16.198411915983474,NEDC,negative
1349,16.04462493618092,DHAP,negative
695,15.97874818470302,DHB,negative
528,15.82718600721463,DHB,negative
976,15.757748270218356,DHB,negative
486,15.376822475876127,NEDC,negative
892,15.323597083224005,DHAP,negative
823,15.189261283193316,NEDC,negative
528,14.961039757917797,ClCCA,negative
336,14.875065584005654,DHB,negative
adduct_[M]+,14.845407588326413,DHB,negative
1516,14.70794879704498,DHB,negative
1607,14.479626034933423,ClCCA,negative
adduct_+H,14.455760383180209,NEDC,negative
1,14.42631026605765,DHB,negative
1430,14.399968230278581,DHB,negative
1607,14.341841239607737,DHAP,negative
1884,14.13467159629732,DHB,negative
623,14.11717300789029,9AA,positive
1995,14.116314642671226,DHB,negative
1328,14.082660043946326,DHAP,negative
1144,14.04258639074527,DHAP,negative
1614,13.961400035930945,DHAP,negative
1182,13.940724825102185,ClCCA,negative
1855,13.909045272998595,DHAP,negative
888,13.80923238698987,DHB,negative
adduct_+Na,13.760711483573646,DHAP,negative
1126,13.727415245512258,DHB,negative
727,13.614628388413362,NEDC,negative
adduct_+K,13.45164614189686,DHB,negative
116,13.434988700236447,NEDC,negative
adduct_+H,13.401442440117107,9AA,positive
486,13.396439087563667,DHB,negative
823,13.303708822830863,DHB,negative
1182,13.289123378222502,CHCA,negative
adduct_-H,13.208188272280138,DHAP,negative
396,13.135255277826545,DHAP,negative
785,13.010496675298455,DHAP,negative
314,12.94128143653441,DHAP,negative
2034,12.78081255630382,pNA,negative
adduct_+Cl,12.747103855013847,pNA,negative
1022,12.603414393710286,DHAP,negative
1838,12.47732578877234,DHAP,negative
528,12.454099589351857,DHAP,negative
1879,12.34103221666026,DHAP,negative
1145,12.326165812516459,DHAP,negative
2034,12.289610020547029,9AA,negative
pka_strongest_acidic,12.28298483569441,NEDC,negative
892,12.186856840454116,9AA,positive
1614,12.139618048937443,9AA,positive
179,12.101773722787922,DHAP,negative
1995,12.0848285354925,DHAP,negative
1898,12.066603552194927,DHB,negative
1451,12.064796386542273,9AA,positive
1019,12.018576189362701,DHB,negative
1114,11.98094057233146,DHAP,negative
486,11.954410694894337,ClCCA,negative
116,11.90114780223888,DHB,negative
695,11.86136236267813,DHAP,negative
823,11.811121530003017,ClCCA,negative
727,11.78539701194867,DHB,negative
1328,11.774618794612001,9AA,positive
1995,11.725039281542339,ClCCA,negative
976,11.59703001019995,DHAP,negative
1855,11.57020179898131,9AA,positive
1516,11.566645824172523,DHAP,negative
1607,11.528899422174767,CHCA,negative
1693,11.490595407072412,DHAP,negative
adduct_+Na,11.426496070397052,CHCA,negative
1738,11.382101447375465,DHB,negative
adduct_+Cl,11.303792299803751,9AA,negative
adduct_+H,11.211240262950508,pNA,negative
528,11.206261034064655,CHCA,negative
473,11.135715077733856,DHAP,negative
1,11.117209341909204,NEDC,negative
