,observed_value,prediction,classifier,name_short,matrix,polarity,fold,iter_index
0,True,True,MLP,2-Oxoglutaric acid,9AA,negative,0,0
1,True,True,MLP,3-Hydroxyanthranilic acid,9AA,negative,0,0
2,True,True,MLP,3-Phosphoglyceric acid,9AA,negative,0,0
3,True,False,MLP,"4,5-Dihydroorotic acid",9AA,negative,0,0
4,True,True,MLP,4-Hydroxyproline,9AA,negative,0,0
5,True,False,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0,0
6,True,False,MLP,6-Phosphogluconic acid,9AA,negative,0,0
7,True,False,MLP,Acetyl-CoA,9AA,negative,0,0
8,True,True,MLP,Adenine,9AA,negative,0,0
9,True,False,MLP,Adenosine diphosphate,9AA,negative,0,0
10,True,True,MLP,Adenosine monophosphate,9AA,negative,0,0
11,True,False,MLP,Arginine,9AA,negative,0,0
12,True,True,MLP,Argininosuccinic acid,9AA,negative,0,0
13,False,True,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0,0
14,False,False,MLP,Acetoacetic acid,9AA,negative,0,0
15,False,False,MLP,Acetylcarnitine,9AA,negative,0,0
16,False,False,MLP,Acetylcholine,9AA,negative,0,0
17,False,False,MLP,Agmatine,9AA,negative,0,0
18,True,True,MLP,Ascorbic acid,9AA,negative,1,0
19,True,False,MLP,Asparagine,9AA,negative,1,0
20,True,False,MLP,Aspartic acid,9AA,negative,1,0
21,True,False,MLP,Cardiolipin 18:1,9AA,negative,1,0
22,True,False,MLP,Carnitine,9AA,negative,1,0
23,True,False,MLP,Carnosine,9AA,negative,1,0
24,True,False,MLP,Cer d8:1/22:0 Cer,9AA,negative,1,0
25,True,False,MLP,Cholic acid,9AA,negative,1,0
26,True,True,MLP,Citric acid,9AA,negative,1,0
27,True,True,MLP,Citrulline,9AA,negative,1,0
28,True,True,MLP,Coenzyme A,9AA,negative,1,0
29,True,True,MLP,Creatine,9AA,negative,1,0
30,True,True,MLP,Creatinine,9AA,negative,1,0
31,False,True,MLP,Biotin,9AA,negative,1,0
32,False,False,MLP,Butyric acid,9AA,negative,1,0
33,False,False,MLP,CAR 16:0,9AA,negative,1,0
34,False,True,MLP,Cholecalciferol,9AA,negative,1,0
35,True,False,MLP,Cysteine,9AA,negative,2,0
36,True,False,MLP,Cystine,9AA,negative,2,0
37,True,False,MLP,Cytidine,9AA,negative,2,0
38,True,True,MLP,Cytosine,9AA,negative,2,0
39,True,True,MLP,Dihydroxyacetone phosphate,9AA,negative,2,0
40,True,True,MLP,Dopamine,9AA,negative,2,0
41,True,False,MLP,Epinephrine,9AA,negative,2,0
42,True,True,MLP,Flavin adenine dinucleotide,9AA,negative,2,0
43,True,False,MLP,Flavin mononucleotide,9AA,negative,2,0
44,True,False,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2,0
45,True,True,MLP,GM3 Ganglioside 18:0,9AA,negative,2,0
46,True,False,MLP,GlcCer d18:1/18:0,9AA,negative,2,0
47,False,True,MLP,Cholesterol,9AA,negative,2,0
48,False,False,MLP,Cholesteryl acetate,9AA,negative,2,0
49,False,True,MLP,Choline,9AA,negative,2,0
50,False,False,MLP,Cyclic adenosine monophosphate,9AA,negative,2,0
51,True,False,MLP,Gluconic acid,9AA,negative,3,0
52,True,False,MLP,Glucosamine 6-phosphate,9AA,negative,3,0
53,True,True,MLP,Glucose,9AA,negative,3,0
54,True,False,MLP,Glucose 6-phosphate,9AA,negative,3,0
