,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
0,4.814306627793246,4.507189273028731,MLP,2-Oxoglutaric acid,9AA,negative,0,0
1,3.754200406487889,3.780017855054719,MLP,3-Hydroxyanthranilic acid,9AA,negative,0,0
2,5.164587787189345,5.052119352354864,MLP,3-Phosphoglyceric acid,9AA,negative,0,0
3,4.971478312451223,4.678625241874107,MLP,"4,5-Dihydroorotic acid",9AA,negative,0,0
4,3.3765543523528434,2.6820101892110317,MLP,4-Hydroxyproline,9AA,negative,0,0
5,2.4740469582469,4.66877787287172,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0,0
6,5.012308835041252,5.470897878412943,MLP,6-Phosphogluconic acid,9AA,negative,0,0
7,5.311557557961862,4.643216167594439,MLP,Acetyl-CoA,9AA,negative,0,0
8,3.40681419340028,3.363526243272492,MLP,Adenine,9AA,negative,0,0
9,5.939249906533922,4.603726948545046,MLP,Adenosine diphosphate,9AA,negative,0,0
10,5.608065874035438,4.416881953435774,MLP,Adenosine monophosphate,9AA,negative,0,0
11,3.823916336254096,3.3537479850892398,MLP,Arginine,9AA,negative,0,0
12,3.9789439936786417,4.183165636055459,MLP,Ascorbic acid,9AA,negative,0,0
13,0.0,4.908175806289401,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0,0
14,0.0,4.5916502910253065,MLP,Acetoacetic acid,9AA,negative,0,0
15,0.0,2.22716326867577,MLP,Acetylcarnitine,9AA,negative,0,0
16,0.0,3.2909219189009136,MLP,Agmatine,9AA,negative,0,0
17,0.0,0.4924899801717918,MLP,Cholecalciferol,9AA,negative,0,0
18,4.443890343962045,4.86774823853664,MLP,Argininosuccinic acid,9AA,negative,1,0
19,3.055972327319788,3.59064812457008,MLP,Asparagine,9AA,negative,1,0
20,4.208115674739658,4.480886734440734,MLP,Aspartic acid,9AA,negative,1,0
21,3.3752408900526563,5.103858056247832,MLP,Cardiolipin 18:1,9AA,negative,1,0
22,1.879065013088656,2.8425073930353446,MLP,Carnitine,9AA,negative,1,0
23,5.079465529733637,2.911202377645515,MLP,Carnosine,9AA,negative,1,0
24,2.496652759332836,2.316766114162856,MLP,Cer d8:1/22:0 Cer,9AA,negative,1,0
25,4.2583717408536526,3.3842720565623536,MLP,Cholic acid,9AA,negative,1,0
26,5.206625379926532,4.9684960189939815,MLP,Citric acid,9AA,negative,1,0
27,4.08369265554015,3.688740304802197,MLP,Citrulline,9AA,negative,1,0
28,4.29330833634685,4.956327366755089,MLP,Dihydroxyacetone phosphate,9AA,negative,1,0
29,5.116510282418326,4.6827643257494085,MLP,Flavin mononucleotide,9AA,negative,1,0
30,5.577610157677287,4.497916031119959,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1,0
31,0.0,1.9947594318814703,MLP,Acetylcholine,9AA,negative,1,0
32,0.0,3.572285089257317,MLP,Biotin,9AA,negative,1,0
33,0.0,4.600763965441646,MLP,Butyric acid,9AA,negative,1,0
34,0.0,1.6911418243536984,MLP,Cholesterol,9AA,negative,1,0
