,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.635538346816773,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,4.213937542137536,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.209500389134,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,4.485330057031149,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.686700139259149,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.423931262223087,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.298515262870326,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.710810999257065,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.2649160001205946,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.537311051887617,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.367628964085696,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.5166302450090323,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.133749858378732,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.599722002178674,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.426451735430321,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,1.9838042606678887,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,2.633032205912308,MLP,Agmatine,9AA,negative,0
17,0.0,0.022185036288228266,MLP,Cholecalciferol,9AA,negative,0
0,4.443890343962045,4.6791287354008455,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.612700872731339,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.38236158973253,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,6.004667115547005,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,2.7831790019423113,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,3.2094090206640065,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,1.3161539896529495,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.5970900052421304,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,4.895160178221821,MLP,Citric acid,9AA,negative,1
